                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 21019 Thread 1 - main                                                |  1025000 |   114000 |    75818736 |   7991691505 |  14848000 |   1024 |     6623101 |      0 |      0 |         0 
 21026 Thread 2 - Reference Handler                                   |     1000 |        0 |       80851 |      7240492 |         0 |      0 |     7102236 |      0 |      0 |         0 
 21027 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |       33889 |      0 |      0 |         0 
 21028 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       27002 |      0 |      0 |         0 
 21034 Thread 11 - Common-Cleaner                                     |     1000 |        0 |      360851 |      9886824 |         0 |      0 |      295656 |      0 |      0 |         0 
 21040 Thread 13 - RMI Scheduler(0)                                   |     2000 |     2000 |     1203066 |     36606984 |      1024 |      0 |      468004 |      0 |      0 |         0 
 21046 Thread 14 - RMI RenewClean-[10.231.182.152:42805]              |     1000 |        0 |       83699 |      7372507 |         0 |      0 |           0 |      0 |      0 |         0 
 21047 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 21054 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 24151000 | 32502000 | 19982648564 | 558629934826 | 573698048 | 113664 | 13666380724 | 468195 |      0 |         0 
 21058 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   259000 |    43000 |   104046753 |   2949234425 |   5408768 |   6144 |    14892294 | 289773 |      0 |         0 
 21061 Thread 18 - PartitionProcessorThre...57f-af49-217f1baec3d0-1-0 |  1086000 |   404000 |   513854387 |  14656046707 |     35840 |      0 |   997170044 |      0 |      0 |         0 
 21062 Thread 19 - PartitionProcessorThre...57f-af49-217f1baec3d0-1-1 |  1125000 |   392000 |   524232989 |  14926378476 |      8192 |      0 |  1213370063 |      0 |      0 |         0 
 21063 Thread 20 - PartitionProcessorThre...57f-af49-217f1baec3d0-1-2 |  1043000 |   404000 |   502087184 |  14245835328 |         0 |      0 |  1032470000 |      0 |      0 |         0 
 21064 Thread 21 - PartitionProcessorThre...57f-af49-217f1baec3d0-1-3 |  1139000 |   402000 |   534551793 |  15172426421 |         0 |      0 |  1243916466 |      0 |      0 |         0 
 21065 Thread 22 - PartitionProcessorThre...57f-af49-217f1baec3d0-1-4 |  1131000 |   353000 |   513217254 |  14612495632 |         0 |      0 |  1258939710 |      0 |      0 |         0 
 21066 Thread 23 - PartitionProcessorThre...57f-af49-217f1baec3d0-1-5 |  1114000 |   353000 |   508037317 |  14438528582 |         0 |      0 |  1134588477 |      0 |      0 |         0 
 21067 Thread 24 - PartitionProcessorThre...57f-af49-217f1baec3d0-1-6 |  1053000 |   367000 |   491029528 |  13973241156 |         0 |      0 |  1129669628 |      0 |      0 |         0 
 21068 Thread 25 - PartitionProcessorThre...57f-af49-217f1baec3d0-1-7 |  1078000 |   394000 |   511545407 |  14491351078 |      3072 |      0 |  1176819695 |      0 |      0 |         0 
 21069 Thread 26 - PartitionProcessorThre...57f-af49-217f1baec3d0-1-8 |  1102000 |   405000 |   522629223 |  14838546925 |         0 |      0 |  1106507409 |      0 |      0 |         0 
 21070 Thread 27 - PartitionProcessorThre...57f-af49-217f1baec3d0-1-9 |  1110000 |   380000 |   515096555 |  14664335742 |         0 |      0 |  1199235244 |      0 |      0 |         0 
 21071 Thread 28 - PartitionProcessorThre...7f-af49-217f1baec3d0-1-10 |  1128000 |   364000 |   516292305 |  14684979906 |      5120 |      0 |  1428373880 |      0 |      0 |         0 
 21072 Thread 29 - PartitionProcessorThre...7f-af49-217f1baec3d0-1-11 |  1084000 |   397000 |   512250977 |  14577879964 |         0 |      0 |  1116087185 |      0 |      0 |         0 
