                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 91857 Thread 1 - main                                                |   966000 |   112000 |    74473127 |   7598764606 |  14848000 |   1024 |    12371242 |      0 |      0 |         0 
 91864 Thread 2 - Reference Handler                                   |        0 |        0 |           0 |            0 |         0 |      0 |       19532 |      0 |      0 |         0 
 91865 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |        8406 |      0 |      0 |         0 
 91866 Thread 4 - Signal Dispatcher                                   |        0 |     1000 |      423589 |      9886957 |         0 |      0 |        4483 |      0 |      0 |         0 
 91872 Thread 11 - Common-Cleaner                                     |     1000 |        0 |       24582 |      6768882 |         0 |      0 |     1216581 |      0 |      0 |         0 
 91878 Thread 13 - RMI Scheduler(0)                                   |     3000 |        0 |     1267054 |     29660472 |      1024 |      0 |     2049451 |      0 |      0 |         0 
 91884 Thread 14 - RMI RenewClean-[10.231.182.152:39325]              |     2000 |        0 |      170578 |     14875023 |         0 |      0 |           0 |      0 |      0 |         0 
 91885 Thread 15 - RMI GC Daemon                                      |        0 |     1000 |       82359 |      7437511 |         0 |      0 |        7782 |      0 |      0 |         0 
 91889 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 22583000 | 31598000 | 22101374592 | 534478411286 | 574015488 | 113664 | 12184130952 | 158301 |      0 |         0 
 91891 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   248000 |    34000 |   113070644 |   2776197819 |   5149696 |   6144 |    24001100 | 325522 |      0 |         0 
 91896 Thread 18 - PartitionProcessorThre...b6d-8b89-e2e821260066-2-0 |   957000 |   344000 |   525381360 |  12836986488 |     33792 |      0 |   895192063 |      0 |      0 |         0 
 91897 Thread 19 - PartitionProcessorThre...b6d-8b89-e2e821260066-2-1 |  1002000 |   380000 |   558165614 |  13641743472 |      8192 |      0 |   839836887 |      0 |      0 |         0 
 91898 Thread 20 - PartitionProcessorThre...b6d-8b89-e2e821260066-2-2 |  1044000 |   351000 |   567882907 |  13778380933 |         0 |      0 |   959267267 |      0 |      0 |         0 
 91899 Thread 21 - PartitionProcessorThre...b6d-8b89-e2e821260066-2-3 |   997000 |   363000 |   551357771 |  13430804261 |         0 |      0 |   847511461 |      0 |      0 |         0 
 91900 Thread 22 - PartitionProcessorThre...b6d-8b89-e2e821260066-2-4 |  1005000 |   367000 |   555282681 |  13543823867 |         0 |      0 |   949727386 |      0 |      0 |         0 
 91901 Thread 23 - PartitionProcessorThre...b6d-8b89-e2e821260066-2-5 |   989000 |   364000 |   550590396 |  13361757500 |      8192 |      0 |  1040789304 |      0 |      0 |         0 
 91902 Thread 24 - PartitionProcessorThre...b6d-8b89-e2e821260066-2-6 |   993000 |   382000 |   559577392 |  13583897464 |         0 |      0 |   968415652 |      0 |      0 |         0 
 91903 Thread 25 - PartitionProcessorThre...b6d-8b89-e2e821260066-2-7 |   950000 |   384000 |   541287478 |  13171819047 |         0 |      0 |   864892623 |      0 |      0 |         0 
 91904 Thread 26 - PartitionProcessorThre...b6d-8b89-e2e821260066-2-8 |  1039000 |   368000 |   569212763 |  13887605457 |         0 |      0 |   986108298 |      0 |      0 |         0 
 91905 Thread 27 - PartitionProcessorThre...b6d-8b89-e2e821260066-2-9 |   988000 |   354000 |   541547853 |  13246233617 |      1024 |      0 |   900441393 |      0 |      0 |         0 
 91906 Thread 28 - PartitionProcessorThre...6d-8b89-e2e821260066-2-10 |   940000 |   343000 |   524240778 |  12673179078 |         0 |      0 |   961171589 |      0 |      0 |         0 
 91907 Thread 29 - PartitionProcessorThre...6d-8b89-e2e821260066-2-11 |   904000 |   352000 |   510972197 |  12405309762 |         0 |      0 |  1049739871 |      0 |      0 |         0 
 91908 Thread 30 - PartitionProcessorThre...6d-8b89-e2e821260066-2-12 |   993000 |   355000 |   546414560 |  13306228797 |         0 |      0 |   896083041 |      0 |      0 |         0 
 91909 Thread 31 - PartitionProcessorThre...6d-8b89-e2e821260066-2-13 |   975000 |   351000 |   536834497 |  13091213808 |      6144 |      0 |   808418580 |      0 |      0 |         0 
 91910 Thread 32 - PartitionProcessorThre...6d-8b89-e2e821260066-2-14 |  1057000 |   354000 |   572773450 |  13937060027 |         0 |      0 |  1015448298 |      0 |      0 |         0 
 91911 Thread 33 - PartitionProcessorThre...6d-8b89-e2e821260066-2-15 |   992000 |   359000 |   546104755 |  13333824383 |         0 |      0 |   895401907 |      0 |      0 |         0 
 91912 Thread 34 - PartitionProcessorThre...6d-8b89-e2e821260066-2-16 |   960000 |   318000 |   517759962 |  12618114684 |         0 |      0 |   978861898 |      0 |      0 |         0 
 91913 Thread 35 - PartitionProcessorThre...6d-8b89-e2e821260066-2-17 |   999000 |   368000 |   555069911 |  13500841246 |         0 |      0 |   918920540 |      0 |      0 |         0 
 91914 Thread 36 - PartitionProcessorThre...6d-8b89-e2e821260066-2-18 |   969000 |   383000 |   551842915 |  13353877808 |         0 |      0 |  1022152646 |      0 |      0 |         0 
