                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 62571 Thread 1 - main                                                |   650000 |    81000 |    44305178 |   5547071791 |  21055488 |   1024 |    58871371 |       0 |      0 |         0 
 62593 Thread 2 - Reference Handler                                   |     8000 |     1000 |      819214 |     68998667 |         0 |      0 |     1681307 |       0 |      0 |         0 
 62594 Thread 3 - Finalizer                                           |     9000 |     1000 |     1084374 |     78818480 |      5120 |      0 |      260477 |       0 |      0 |         0 
 62595 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 62596 Thread 5 - Signal Dispatcher                                   |        0 |     2000 |      329523 |     16984324 |         0 |      0 |        7199 |       0 |      0 |         0 
 62718 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 25592000 | 29157000 | 16020273857 | 532807769170 | 586070016 | 129024 | 16551863395 |  205776 |      0 |         0 
 62722 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   193000 |    42000 |    69589194 |   2291216190 |   5789696 |   4096 |    38124699 |  577391 |      0 |         0 
 62725 Thread 14 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-0-0 |  1281000 |   401000 |   492267529 |  16400717524 |     33792 |      0 |  1244208589 |       0 |      0 |         0 
 62726 Thread 15 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-0-1 |  1247000 |   375000 |   472700587 |  15816707403 |    122880 |      0 |  1324813279 |       0 |      0 |         0 
 62727 Thread 16 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-0-2 |  1236000 |   379000 |   469681716 |  15745302645 |      3072 |      0 |  1326819157 |       0 |      0 |         0 
 62728 Thread 17 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-0-3 |  1273000 |   422000 |   497358587 |  16531413633 |         0 |      0 |  1395569284 |       0 |      0 |         0 
 62729 Thread 18 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-0-4 |  1206000 |   390000 |   466868544 |  15568080008 |         0 |      0 |  1426404803 |       0 |      0 |         0 
 62730 Thread 19 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-0-5 |  1234000 |   367000 |   468262243 |  15615123512 |         0 |      0 |  1494494427 |       0 |      0 |         0 
 62731 Thread 20 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-0-6 |  1234000 |   403000 |   479826279 |  15965626411 |         0 |      0 |  1304249524 |       0 |      0 |         0 
 62732 Thread 21 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-0-7 |  1278000 |   395000 |   488203728 |  16320632875 |      1024 |      0 |  1565831264 | 1197099 |      0 |         0 
 62733 Thread 22 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-0-8 |  1152000 |   405000 |   455308954 |  15187282505 |         0 |      0 |  1373070122 |       0 |      0 |         0 
 62734 Thread 23 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-0-9 |  1269000 |   382000 |   482028052 |  16104321985 |         0 |      0 |  1360776784 |       0 |      0 |         0 
 62735 Thread 24 - PartitionProcessorThre...b5-ae9a-5591b0f909b2-0-10 |  1223000 |   411000 |   477175466 |  15939379329 |         0 |      0 |  1411986906 |       0 |      0 |         0 
 62736 Thread 25 - PartitionProcessorThre...b5-ae9a-5591b0f909b2-0-11 |  1240000 |   398000 |   478405216 |  15978510903 |         0 |      0 |  1385898504 |       0 |      0 |         0 
 62737 Thread 26 - PartitionProcessorThre...b5-ae9a-5591b0f909b2-0-12 |  1198000 |   413000 |   472509165 |  15714913571 |         0 |      0 |  1486807517 |       0 |      0 |         0 
 62738 Thread 27 - PartitionProcessorThre...b5-ae9a-5591b0f909b2-0-13 |  1197000 |   401000 |   468376423 |  15587742493 |         0 |      0 |  1325451996 |       0 |      0 |         0 
 62739 Thread 28 - PartitionProcessorThre...b5-ae9a-5591b0f909b2-0-14 |  1242000 |   407000 |   481806993 |  16085252551 |         0 |      0 |  1391200138 |       0 |      0 |         0 
 62740 Thread 29 - PartitionProcessorThre...b5-ae9a-5591b0f909b2-0-15 |  1286000 |   402000 |   494138275 |  16464987852 |     23552 |      0 |  1376194896 |       0 |      0 |         0 
 62741 Thread 30 - PartitionProcessorThre...b5-ae9a-5591b0f909b2-0-16 |  1214000 |   428000 |   479483212 |  16017252387 |         0 |      0 |  1470919596 |       0 |      0 |         0 
 62742 Thread 31 - PartitionProcessorThre...b5-ae9a-5591b0f909b2-0-17 |  1187000 |   393000 |   463422544 |  15413082465 |         0 |      0 |  1306758906 |       0 |      0 |         0 
 62743 Thread 32 - PartitionProcessorThre...b5-ae9a-5591b0f909b2-0-18 |  1227000 |   366000 |   465161845 |  15539558239 |     12288 |      0 |  1448640730 |       0 |      0 |         0 
 62744 Thread 33 - PartitionProcessorThre...b5-ae9a-5591b0f909b2-0-19 |  1230000 |   368000 |   467453150 |  15588583477 |         0 |      0 |  1389006178 |       0 |      0 |         0 
 62745 Thread 34 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-2-0 |  1174000 |   406000 |   466160716 |  15412869415 |         0 |      0 |  1417784162 |       0 |      0 |         0 
 62746 Thread 35 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-2-1 |  1160000 |   428000 |   467687068 |  15490997551 |         0 |      0 |  1184120812 |       0 |      0 |         0 
 62747 Thread 36 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-2-2 |  1142000 |   395000 |   452019201 |  14993419559 |      6144 |      0 |  1406920433 |       0 |      0 |         0 
 62748 Thread 37 - PartitionProcessorThre...ab5-ae9a-5591b0f909b2-2-3 |  1204000 |   394000 |   471030970 |  15588912032 |         0 |      0 |  1196412913 |       0 |      0 |         0 
