                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 143637 Thread 1 - main                                                |   703000 |   157000 |    52171744 |   6548134482 |  22115328 |   1024 |     2898232 |      0 |      0 |         0 
 143659 Thread 2 - Reference Handler                                   |     6000 |        0 |      619773 |     49369808 |         0 |      0 |     3247305 |      0 |      0 |         0 
 143660 Thread 3 - Finalizer                                           |     5000 |     1000 |      450886 |     46600367 |      5120 |      0 |     2377853 |      0 |      0 |         0 
 143661 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       12640 |      0 |      0 |         0 
 143662 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      286417 |      9757742 |         0 |      0 |           0 |      0 |      0 |         0 
 143671 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      357374 |     17518753 |      4096 |      0 |       58875 |      0 |      0 |         0 
 143672 Thread 13 - RMI RenewClean-[10.231.182.152:34611]              |     1000 |        0 |       81257 |      7893242 |      1024 |      0 |           0 |      0 |      0 |         0 
 143673 Thread 14 - GC Daemon                                          |        0 |     1000 |       75347 |      7893242 |         0 |      0 |           0 |      0 |      0 |         0 
 143676 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28558000 | 30667000 | 16605682675 | 576678339950 | 584649728 | 140288 | 19675406780 | 218884 |      0 |         0 
 143678 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   257000 |    75000 |    93224874 |   3236425627 |   6950912 |   5120 |    45514783 | 408818 |      0 |         0 
 143681 Thread 17 - PartitionProcessorThre...3dc-83ab-d5b4c26e957c-0-0 |  1204000 |   423000 |   456982777 |  15866306807 |     33792 |      0 |  1658101369 |      0 |      0 |         0 
 143682 Thread 18 - PartitionProcessorThre...3dc-83ab-d5b4c26e957c-0-1 |  1365000 |   425000 |   498083163 |  17462095490 |         0 |      0 |  1674374149 |      0 |      0 |         0 
 143683 Thread 19 - PartitionProcessorThre...3dc-83ab-d5b4c26e957c-0-2 |  1286000 |   412000 |   474516980 |  16552821990 |    123904 |      0 |  1786848645 |      0 |      0 |         0 
 143684 Thread 20 - PartitionProcessorThre...3dc-83ab-d5b4c26e957c-0-3 |  1366000 |   379000 |   490574679 |  17027263482 |         0 |      0 |  1688401198 |      0 |      0 |         0 
 143685 Thread 21 - PartitionProcessorThre...3dc-83ab-d5b4c26e957c-0-4 |  1394000 |   425000 |   510805616 |  17745027294 |         0 |      0 |  1915657950 |      0 |      0 |         0 
 143686 Thread 22 - PartitionProcessorThre...3dc-83ab-d5b4c26e957c-0-5 |  1340000 |   452000 |   503187854 |  17484536173 |         0 |      0 |  1942839558 |      0 |      0 |         0 
 143687 Thread 23 - PartitionProcessorThre...3dc-83ab-d5b4c26e957c-0-6 |  1357000 |   407000 |   495651675 |  17212099607 |         0 |      0 |  1719533117 |      0 |      0 |         0 
 143688 Thread 24 - PartitionProcessorThre...3dc-83ab-d5b4c26e957c-0-7 |  1237000 |   439000 |   470166886 |  16352999717 |         0 |      0 |  1700309076 |      0 |      0 |         0 
 143689 Thread 25 - PartitionProcessorThre...3dc-83ab-d5b4c26e957c-0-8 |  1300000 |   383000 |   471604054 |  16421518361 |         0 |      0 |  1590188796 |      0 |      0 |         0 
 143690 Thread 26 - PartitionProcessorThre...3dc-83ab-d5b4c26e957c-0-9 |  1322000 |   435000 |   490504464 |  17143906568 |         0 |      0 |  1835205767 |      0 |      0 |         0 
 143691 Thread 27 - PartitionProcessorThre...dc-83ab-d5b4c26e957c-0-10 |  1350000 |   408000 |   492501776 |  17155175576 |         0 |      0 |  1873256030 |      0 |      0 |         0 
 143692 Thread 28 - PartitionProcessorThre...dc-83ab-d5b4c26e957c-0-11 |  1341000 |   431000 |   497495374 |  17290893580 |      3072 |      0 |  1701661549 |      0 |      0 |         0 
 143693 Thread 29 - PartitionProcessorThre...dc-83ab-d5b4c26e957c-0-12 |  1372000 |   422000 |   503033745 |  17504868076 |         0 |      0 |  1811229429 |      0 |      0 |         0 
 143694 Thread 30 - PartitionProcessorThre...dc-83ab-d5b4c26e957c-0-13 |  1341000 |   422000 |   495401600 |  17202297166 |         0 |      0 |  1882096943 |      0 |      0 |         0 
 143695 Thread 31 - PartitionProcessorThre...dc-83ab-d5b4c26e957c-0-14 |  1391000 |   436000 |   516134757 |  17829110521 |         0 |      0 |  1928369696 |      0 |      0 |         0 
