                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 51706 Thread 1 - main                                                |   782000 |   117000 |    59229314 |   6896802514 |  34516992 |   1024 |     5939217 |      0 |      0 |         0 
 51728 Thread 2 - Reference Handler                                   |     6000 |     2000 |      983781 |     68253964 |         0 |      0 |     2827809 |      0 |      0 |         0 
 51729 Thread 3 - Finalizer                                           |     6000 |        0 |      625132 |     48750324 |      5120 |      0 |      371184 |      0 |      0 |         0 
 51730 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |      523368 |      0 |      0 |         0 
 51731 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |       26714 |      7228289 |         0 |      0 |        7168 |      0 |      0 |         0 
 51742 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      379863 |     17523417 |      2048 |      0 |       66700 |      0 |      0 |         0 
 51743 Thread 13 - RMI RenewClean-[10.231.182.152:33647]              |        0 |        0 |           0 |            0 |      1024 |      0 |      932892 |      0 |      0 |         0 
 51744 Thread 14 - GC Daemon                                          |     1000 |        0 |       82218 |      7893574 |         0 |      0 |       16090 |      0 |      0 |         0 
 51746 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 24103000 | 35977000 | 17860655909 | 585540125987 | 624868352 | 105472 | 17276374040 | 201296 |      0 |         0 
 51747 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   214000 |    39000 |    73675585 |   2464371643 |   6473728 |   5120 |    11707336 | 281583 |      0 |         0 
 51752 Thread 17 - PartitionProcessorThre...09c-b84e-33fef62e99e9-0-0 |  1267000 |   470000 |   509860145 |  16933705273 |     34816 |      0 |  1096835050 |      0 |      0 |         0 
 51753 Thread 18 - PartitionProcessorThre...09c-b84e-33fef62e99e9-0-1 |  1254000 |   418000 |   492972641 |  16306402589 |      1024 |      0 |  1330871760 |      0 |      0 |         0 
 51754 Thread 19 - PartitionProcessorThre...09c-b84e-33fef62e99e9-0-2 |  1263000 |   447000 |   502693587 |  16673628574 |         0 |      0 |  1163655029 |      0 |      0 |         0 
 51755 Thread 20 - PartitionProcessorThre...09c-b84e-33fef62e99e9-0-3 |  1217000 |   439000 |   486724266 |  16149761988 |         0 |      0 |  1105534589 |      0 |      0 |         0 
 51756 Thread 21 - PartitionProcessorThre...09c-b84e-33fef62e99e9-0-4 |  1303000 |   462000 |   518561196 |  17212030437 |         0 |      0 |  1229440949 |      0 |      0 |         0 
 51757 Thread 22 - PartitionProcessorThre...09c-b84e-33fef62e99e9-0-5 |  1286000 |   460000 |   512834141 |  17026039015 |         0 |      0 |  1284935478 |      0 |      0 |         0 
 51758 Thread 23 - PartitionProcessorThre...09c-b84e-33fef62e99e9-0-6 |  1249000 |   429000 |   495321063 |  16370058265 |         0 |      0 |  1106760636 |      0 |      0 |         0 
 51759 Thread 24 - PartitionProcessorThre...09c-b84e-33fef62e99e9-0-7 |  1256000 |   444000 |   501792633 |  16583132796 |         0 |      0 |  1314248154 |      0 |      0 |         0 
 51760 Thread 25 - PartitionProcessorThre...09c-b84e-33fef62e99e9-0-8 |  1313000 |   467000 |   522087809 |  17356645140 |         0 |      0 |  1069416307 |      0 |      0 |         0 
 51761 Thread 26 - PartitionProcessorThre...09c-b84e-33fef62e99e9-0-9 |  1271000 |   455000 |   510912462 |  16836419038 |      2048 |      0 |  1237777821 |      0 |      0 |         0 
 51762 Thread 27 - PartitionProcessorThre...9c-b84e-33fef62e99e9-0-10 |  1236000 |   396000 |   481262934 |  15918878976 |         0 |      0 |  1169050256 |      0 |      0 |         0 
 51763 Thread 28 - PartitionProcessorThre...9c-b84e-33fef62e99e9-0-11 |  1261000 |   474000 |   511850379 |  16922896441 |         0 |      0 |  1247719827 |      0 |      0 |         0 
 51764 Thread 29 - PartitionProcessorThre...9c-b84e-33fef62e99e9-0-12 |  1320000 |   448000 |   520504188 |  17239700390 |         0 |      0 |  1051682613 |      0 |      0 |         0 
 51765 Thread 30 - PartitionProcessorThre...9c-b84e-33fef62e99e9-0-13 |  1241000 |   471000 |   504815465 |  16698582617 |         0 |      0 |  1209814520 |      0 |      0 |         0 
 51766 Thread 31 - PartitionProcessorThre...9c-b84e-33fef62e99e9-0-14 |  1269000 |   414000 |   495510419 |  16409094824 |      6144 |      0 |  1262510858 |      0 |      0 |         0 
 51767 Thread 32 - PartitionProcessorThre...9c-b84e-33fef62e99e9-0-15 |  1309000 |   477000 |   526477161 |  17416270116 |         0 |      0 |  1089112543 |      0 |      0 |         0 
 51768 Thread 33 - PartitionProcessorThre...9c-b84e-33fef62e99e9-0-16 |  1269000 |   420000 |   499360676 |  16473645499 |         0 |      0 |   995675928 |      0 |      0 |         0 
 51769 Thread 34 - PartitionProcessorThre...9c-b84e-33fef62e99e9-0-17 |  1259000 |   428000 |   497567731 |  16453968757 |         0 |      0 |  1160091874 |      0 |      0 |         0 
 51770 Thread 35 - PartitionProcessorThre...9c-b84e-33fef62e99e9-0-18 |  1183000 |   443000 |   480985657 |  15859824304 |         0 |      0 |  1268659658 |      0 |      0 |         0 
 51771 Thread 36 - PartitionProcessorThre...9c-b84e-33fef62e99e9-0-19 |  1228000 |   439000 |   492511688 |  16258086476 |         0 |      0 |  1170467031 |      0 |      0 |         0 
 51772 Thread 37 - PartitionProcessorThre...09c-b84e-33fef62e99e9-2-0 |  1287000 |   479000 |   529213254 |  17242059570 |      1024 |      0 |  1402435426 |      0 |      0 |         0 
