                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 50701 Thread 1 - main                                                |  1020000 |    98000 |    73895271 |   7797182510 |  14848000 |   1024 |    11460363 |      0 |      0 |         0 
 50709 Thread 2 - Reference Handler                                   |        0 |     1000 |       16628 |      6147683 |         0 |      0 |      141327 |      0 |      0 |         0 
 50710 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |       52508 |      0 |      0 |         0 
 50711 Thread 4 - Signal Dispatcher                                   |        0 |     1000 |      319281 |      9886957 |         0 |      0 |        6833 |      0 |      0 |         0 
 50717 Thread 11 - Common-Cleaner                                     |        0 |     1000 |       24558 |      6768882 |         0 |      0 |     1902014 |      0 |      0 |         0 
 50722 Thread 13 - RMI Scheduler(0)                                   |     5000 |        0 |     1321972 |     46462749 |      1024 |      0 |      264600 |      0 |      0 |         0 
 50729 Thread 14 - RMI RenewClean-[10.231.182.152:38297]              |     1000 |     1000 |      167992 |     14745410 |         0 |      0 |        3964 |      0 |      0 |         0 
 50730 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 50733 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 25300000 | 35535000 | 18975957834 | 600371415176 | 625102848 |  99328 | 13886766352 | 122352 |      0 |         0 
 50736 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   213000 |    27000 |    73104472 |   2366767405 |   5346304 |   4096 |    18120338 | 171423 |      0 |         0 
 50741 Thread 18 - PartitionProcessorThre...341-9e86-1b97bc82b52c-2-0 |  1145000 |   440000 |   491542899 |  15648875101 |      4096 |      0 |  1052246858 |      0 |      0 |         0 
 50742 Thread 19 - PartitionProcessorThre...341-9e86-1b97bc82b52c-2-1 |  1115000 |   372000 |   460982282 |  14681459710 |         0 |      0 |  1054800387 |      0 |      0 |         0 
 50743 Thread 20 - PartitionProcessorThre...341-9e86-1b97bc82b52c-2-2 |  1141000 |   375000 |   470853895 |  14970174960 |         0 |      0 |  1043671900 |      0 |      0 |         0 
 50744 Thread 21 - PartitionProcessorThre...341-9e86-1b97bc82b52c-2-3 |  1166000 |   420000 |   490789036 |  15655498667 |     29696 |      0 |   923921315 |      0 |      0 |         0 
 50745 Thread 22 - PartitionProcessorThre...341-9e86-1b97bc82b52c-2-4 |  1149000 |   410000 |   485083625 |  15402603523 |         0 |      0 |  1173644956 |      0 |      0 |         0 
 50746 Thread 23 - PartitionProcessorThre...341-9e86-1b97bc82b52c-2-5 |  1206000 |   433000 |   507279133 |  16181314573 |         0 |      0 |  1075041811 |      0 |      0 |         0 
 50747 Thread 24 - PartitionProcessorThre...341-9e86-1b97bc82b52c-2-6 |  1133000 |   457000 |   493889454 |  15705384023 |         0 |      0 |  1228381139 |      0 |      0 |         0 
 50748 Thread 25 - PartitionProcessorThre...341-9e86-1b97bc82b52c-2-7 |  1199000 |   413000 |   500221547 |  15915127222 |      8192 |      0 |   992797880 |      0 |      0 |         0 
 50749 Thread 26 - PartitionProcessorThre...341-9e86-1b97bc82b52c-2-8 |  1132000 |   441000 |   488581122 |  15535021452 |      1024 |      0 |  1023658830 |      0 |      0 |         0 
 50750 Thread 27 - PartitionProcessorThre...341-9e86-1b97bc82b52c-2-9 |  1095000 |   416000 |   472694258 |  14929886339 |         0 |      0 |  1136202518 |      0 |      0 |         0 
 50751 Thread 28 - PartitionProcessorThre...41-9e86-1b97bc82b52c-2-10 |  1128000 |   400000 |   474014633 |  15089881066 |      3072 |      0 |  1076046152 |      0 |      0 |         0 
 50752 Thread 29 - PartitionProcessorThre...41-9e86-1b97bc82b52c-2-11 |  1152000 |   426000 |   489069188 |  15581994343 |      3072 |      0 |  1154482398 |      0 |      0 |         0 
 50753 Thread 30 - PartitionProcessorThre...41-9e86-1b97bc82b52c-2-12 |  1151000 |   423000 |   489399297 |  15549848019 |      1024 |      0 |  1082096559 |      0 |      0 |         0 
 50754 Thread 31 - PartitionProcessorThre...41-9e86-1b97bc82b52c-2-13 |  1132000 |   380000 |   471336895 |  14937365382 |         0 |      0 |  1016733185 |      0 |      0 |         0 
 50755 Thread 32 - PartitionProcessorThre...41-9e86-1b97bc82b52c-2-14 |  1126000 |   428000 |   485696379 |  15353755667 |         0 |      0 |  1240071057 |      0 |      0 |         0 
 50756 Thread 33 - PartitionProcessorThre...41-9e86-1b97bc82b52c-2-15 |  1103000 |   408000 |   470589559 |  14926614859 |         0 |      0 |  1033552391 |      0 |      0 |         0 
 50757 Thread 34 - PartitionProcessorThre...41-9e86-1b97bc82b52c-2-16 |  1160000 |   405000 |   485134000 |  15455851366 |         0 |      0 |  1006022085 |      0 |      0 |         0 
 50758 Thread 35 - PartitionProcessorThre...41-9e86-1b97bc82b52c-2-17 |  1076000 |   400000 |   457375868 |  14575065550 |         0 |      0 |  1052429666 |      0 |      0 |         0 
 50759 Thread 36 - PartitionProcessorThre...41-9e86-1b97bc82b52c-2-18 |  1150000 |   414000 |   484328606 |  15443438761 |         0 |      0 |  1107856798 |      0 |      0 |         0 
 50760 Thread 37 - PartitionProcessorThre...41-9e86-1b97bc82b52c-2-19 |  1136000 |   418000 |   483887442 |  15350632339 |         0 |      0 |  1063547789 |      0 |      0 |         0 
 50764 Thread 38 - PartitionProcessorThre...341-9e86-1b97bc82b52c-0-0 |  1165000 |   409000 |   488736829 |  15565894995 |         0 |      0 |  1056297722 |      0 |      0 |         0 
 50765 Thread 39 - PartitionProcessorThre...341-9e86-1b97bc82b52c-0-1 |  1206000 |   420000 |   504745590 |  16080693218 |         0 |      0 |  1122106857 |      0 |      0 |         0 
