                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 47691 Thread 1 - main                                                |  1012000 |    87000 |    74761642 |   7705742475 |  14848000 |   1024 |     4180726 |       0 |      0 |         0 
 47698 Thread 2 - Reference Handler                                   |     3000 |        0 |      596113 |     26236039 |         0 |      0 |       67575 |       0 |      0 |         0 
 47699 Thread 3 - Finalizer                                           |     1000 |        0 |       16894 |      6212687 |      5120 |      0 |       38907 |       0 |      0 |         0 
 47700 Thread 4 - Signal Dispatcher                                   |        0 |     1000 |      360011 |      9886957 |         0 |      0 |       31752 |       0 |      0 |         0 
 47706 Thread 11 - Common-Cleaner                                     |     2000 |        0 |      514558 |     18995546 |         0 |      0 |      564145 |       0 |      0 |         0 
 47710 Thread 13 - RMI Scheduler(0)                                   |     2000 |     1000 |     1084121 |     29660472 |      1024 |      0 |       31752 |       0 |      0 |         0 
 47716 Thread 14 - RMI RenewClean-[10.231.182.152:35487]              |     3000 |     1000 |      328242 |     29423019 |         0 |      0 |           0 |       0 |      0 |         0 
 47717 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |       21038 |       0 |      0 |         0 
 47721 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 23292000 | 32076000 | 19374408510 | 545992461165 | 574045184 | 103424 | 12568705976 |  156922 |      0 |         0 
 47723 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   226000 |    36000 |    90046577 |   2570509636 |   5134336 |   4096 |    33423238 | 2347022 |      0 |         0 
 47727 Thread 18 - PartitionProcessorThre...64d-b06c-74b16bc42d79-2-0 |  1142000 |   332000 |   504645481 |  14513274210 |     33792 |      0 |  1085193749 |       0 |      0 |         0 
 47728 Thread 19 - PartitionProcessorThre...64d-b06c-74b16bc42d79-2-1 |  1104000 |   376000 |   509461938 |  14585768535 |         0 |      0 |   946251495 |       0 |      0 |         0 
 47729 Thread 20 - PartitionProcessorThre...64d-b06c-74b16bc42d79-2-2 |  1113000 |   365000 |   509152845 |  14570011503 |         0 |      0 |  1102664155 |       0 |      0 |         0 
 47730 Thread 21 - PartitionProcessorThre...64d-b06c-74b16bc42d79-2-3 |  1066000 |   395000 |   504746259 |  14406774648 |         0 |      0 |  1250919164 |       0 |      0 |         0 
 47731 Thread 22 - PartitionProcessorThre...64d-b06c-74b16bc42d79-2-4 |  1093000 |   344000 |   494234212 |  14156398320 |         0 |      0 |  1044799224 |       0 |      0 |         0 
 47732 Thread 23 - PartitionProcessorThre...64d-b06c-74b16bc42d79-2-5 |  1063000 |   362000 |   490778700 |  14046488070 |         0 |      0 |   977759902 |       0 |      0 |         0 
 47733 Thread 24 - PartitionProcessorThre...64d-b06c-74b16bc42d79-2-6 |  1040000 |   326000 |   469329813 |  13458216523 |         0 |      0 |   928927077 |       0 |      0 |         0 
 47734 Thread 25 - PartitionProcessorThre...64d-b06c-74b16bc42d79-2-7 |  1063000 |   349000 |   488503298 |  13923563195 |         0 |      0 |  1039033406 |       0 |      0 |         0 
 47735 Thread 26 - PartitionProcessorThre...64d-b06c-74b16bc42d79-2-8 |  1064000 |   390000 |   498647864 |  14320991460 |         0 |      0 |  1146779032 |       0 |      0 |         0 
