                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 144819 Thread 1 - main                                                |   533000 |    87000 |    37346080 |   4686725041 |  21055488 |   1024 |     6991383 |       0 |      0 |         0 
 144841 Thread 2 - Reference Handler                                   |     7000 |        0 |      604746 |     53463527 |         0 |      0 |      489333 |       0 |      0 |         0 
 144842 Thread 3 - Finalizer                                           |     6000 |        0 |      575531 |     46467414 |      5120 |      0 |     1393880 |       0 |      0 |         0 
 144843 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       12938 |       0 |      0 |         0 
 144844 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      301203 |      9755031 |         0 |      0 |           0 |       0 |      0 |         0 
 144853 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30626000 | 32496000 | 18787042535 | 614717697550 | 636794880 | 124928 | 19197065090 |  120879 |      0 |         0 
 144855 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   153000 |    53000 |    60532577 |   2006308894 |   6312960 |   4096 |    25406181 |  217240 |      0 |         0 
 144858 Thread 14 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-1-0 |  1261000 |   406000 |   496764622 |  16258079684 |     33792 |      0 |  1344430188 |       0 |      0 |         0 
 144859 Thread 15 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-1-1 |  1232000 |   433000 |   496813962 |  16244492676 |     44032 |      0 |  1411264913 |       0 |      0 |         0 
 144860 Thread 16 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-1-2 |  1197000 |   442000 |   488516548 |  15991233145 |         0 |      0 |  1361762347 |       0 |      0 |         0 
 144861 Thread 17 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-1-3 |  1239000 |   496000 |   519858353 |  16928589766 |         0 |      0 |  1407527257 |       0 |      0 |         0 
 144862 Thread 18 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-1-4 |  1270000 |   473000 |   520405841 |  17006840536 |         0 |      0 |  1461217346 |       0 |      0 |         0 
 144863 Thread 19 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-1-5 |  1227000 |   428000 |   494280118 |  16146870340 |         0 |      0 |  1307366397 |       0 |      0 |         0 
 144864 Thread 20 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-1-6 |  1250000 |   444000 |   504451728 |  16527263141 |         0 |      0 |  1410484268 |       0 |      0 |         0 
 144865 Thread 21 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-1-7 |  1298000 |   472000 |   528252185 |  17270619535 |         0 |      0 |  1435724952 |       0 |      0 |         0 
 144866 Thread 22 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-1-8 |  1323000 |   448000 |   529011388 |  17277021907 |         0 |      0 |  1453445654 |       0 |      0 |         0 
 144867 Thread 23 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-1-9 |  1254000 |   434000 |   505608751 |  16470506047 |         0 |      0 |  1408751984 |       0 |      0 |         0 
 144868 Thread 24 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-1-10 |  1245000 |   418000 |   497455134 |  16226151758 |         0 |      0 |  1379494188 |       0 |      0 |         0 
 144869 Thread 25 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-1-11 |  1330000 |   458000 |   535349638 |  17447606434 |         0 |      0 |  1489309958 | 1382523 |      0 |         0 
 144870 Thread 26 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-1-12 |  1267000 |   469000 |   519202200 |  16938328914 |         0 |      0 |  1334467188 |       0 |      0 |         0 
 144871 Thread 27 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-1-13 |  1364000 |   458000 |   543126649 |  17775365262 |      3072 |      0 |  1298999069 |       0 |      0 |         0 
 144872 Thread 28 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-1-14 |  1241000 |   491000 |   518455083 |  16900266411 |         0 |      0 |  1279968678 |       0 |      0 |         0 
 144873 Thread 29 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-1-15 |  1278000 |   509000 |   534871626 |  17435541305 |    121856 |      0 |  1324149617 |       0 |      0 |         0 
 144874 Thread 30 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-1-16 |  1357000 |   455000 |   541627306 |  17680474746 |         0 |      0 |  1263385065 |       0 |      0 |         0 
 144875 Thread 31 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-1-17 |  1309000 |   489000 |   537243259 |  17542957164 |         0 |      0 |  1369465885 |       0 |      0 |         0 
 144876 Thread 32 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-1-18 |  1242000 |   461000 |   509183860 |  16616924852 |         0 |      0 |  1361928124 |       0 |      0 |         0 
 144877 Thread 33 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-1-19 |  1325000 |   490000 |   541542028 |  17709772141 |         0 |      0 |  1246765094 |       0 |      0 |         0 
 144878 Thread 34 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-0-0 |  1244000 |   467000 |   512399755 |  16696396883 |         0 |      0 |  1410533196 |       0 |      0 |         0 
 144879 Thread 35 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-0-1 |  1205000 |   446000 |   493084790 |  16111213555 |         0 |      0 |  1402906105 |       0 |      0 |         0 
 144880 Thread 36 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-0-2 |  1281000 |   460000 |   520746368 |  16989289649 |         0 |      0 |  1416043826 |       0 |      0 |         0 
 144881 Thread 37 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-0-3 |  1294000 |   447000 |   519978759 |  16988996434 |      1024 |      0 |  1395892080 |       0 |      0 |         0 
 144882 Thread 38 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-0-4 |  1315000 |   452000 |   526793286 |  17242779461 |         0 |      0 |  1364358118 |       0 |      0 |         0 
 144883 Thread 39 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-0-5 |  1211000 |   412000 |   485434954 |  15838390680 |         0 |      0 |  1280278871 |       0 |      0 |         0 
 144884 Thread 40 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-0-6 |  1213000 |   419000 |   487402228 |  15925430290 |      3072 |      0 |  1316847235 |       0 |      0 |         0 
 144885 Thread 41 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-0-7 |  1254000 |   440000 |   505778630 |  16529758250 |         0 |      0 |  1153797245 |       0 |      0 |         0 
 144886 Thread 42 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-0-8 |  1219000 |   459000 |   500611505 |  16374241329 |         0 |      0 |  1365502754 |       0 |      0 |         0 
 144887 Thread 43 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-0-9 |  1309000 |   462000 |   528682989 |  17281374332 |         0 |      0 |  1546501795 |       0 |      0 |         0 
 144888 Thread 44 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-0-10 |  1282000 |   404000 |   503516333 |  16452465895 |         0 |      0 |  1394382659 |       0 |      0 |         0 
 144889 Thread 45 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-0-11 |  1232000 |   464000 |   507127931 |  16549788450 |         0 |      0 |  1228913362 |       0 |      0 |         0 
 144890 Thread 46 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-0-12 |  1276000 |   455000 |   516623724 |  16890625430 |         0 |      0 |  1434116683 |       0 |      0 |         0 
 144891 Thread 47 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-0-13 |  1234000 |   401000 |   487945681 |  15953502891 |         0 |      0 |  1333760926 |       0 |      0 |         0 
 144892 Thread 48 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-0-14 |  1225000 |   415000 |   489328771 |  16002533399 |         0 |      0 |  1610950969 |       0 |      0 |         0 
 144893 Thread 49 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-0-15 |  1246000 |   462000 |   510904364 |  16667841196 |         0 |      0 |  1471787089 |       0 |      0 |         0 
 144894 Thread 50 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-0-16 |  1233000 |   491000 |   515948282 |  16822940289 |         0 |      0 |  1380375672 |       0 |      0 |         0 
 144895 Thread 51 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-0-17 |  1313000 |   441000 |   523670646 |  17115234465 |         0 |      0 |  1366885004 |       0 |      0 |         0 
 144896 Thread 52 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-0-18 |  1325000 |   433000 |   524844321 |  17154317086 |         0 |      0 |  1130195406 |       0 |      0 |         0 
 144897 Thread 53 - PartitionProcessorThre...f2-9d10-ee1468ebc1a7-0-19 |  1305000 |   503000 |   539773044 |  17642958942 |         0 |      0 |  1282803060 |       0 |      0 |         0 
 144898 Thread 54 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-2-0 |  1238000 |   446000 |   505205481 |  16432827020 |         0 |      0 |  1277076039 |       0 |      0 |         0 
 144899 Thread 55 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-2-1 |  1201000 |   432000 |   489383364 |  15934610446 |         0 |      0 |  1074578601 |       0 |      0 |         0 
 144900 Thread 56 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-2-2 |  1311000 |   472000 |   534191821 |  17398200211 |         0 |      0 |  1281684605 |       0 |      0 |         0 
 144901 Thread 57 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-2-3 |  1311000 |   433000 |   522786388 |  17018496164 |         0 |      0 |  1377391928 |       0 |      0 |         0 
 144902 Thread 58 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-2-4 |  1263000 |   467000 |   518218728 |  16881386645 |         0 |      0 |  1468012404 |       0 |      0 |         0 
 144903 Thread 59 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-2-5 |  1321000 |   457000 |   533007032 |  17349658602 |         0 |      0 |  1255345878 |       0 |      0 |         0 
 144904 Thread 60 - PartitionProcessorThre...ef2-9d10-ee1468ebc1a7-2-6 |  1313000 |   470000 |   534041559 |  17398189192 |         0 |      0 |  1276818869 |       0 |      0 |         0 
