                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 157231 Thread 1 - main                                                |   859000 |   169000 |    68015830 |   7881421986 |  34336768 |   1024 |    16861132 |       0 |      0 |         0 
 157253 Thread 2 - Reference Handler                                   |     8000 |        0 |      966406 |     65475289 |         0 |      0 |     9486183 |       0 |      0 |         0 
 157254 Thread 3 - Finalizer                                           |     7000 |        0 |      634472 |     55537363 |      5120 |      0 |     1259979 |       0 |      0 |         0 
 157255 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       61554 |       0 |      0 |         0 
 157256 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      291390 |      9757753 |         0 |      0 |           0 |       0 |      0 |         0 
 157265 Thread 12 - RMI Scheduler(0)                                   |     3000 |     1000 |      944128 |     37035839 |      4096 |      0 |       18528 |       0 |      0 |         0 
 157266 Thread 13 - RMI RenewClean-[10.231.182.152:46120]              |     1000 |     1000 |      167550 |     15721503 |      1024 |      0 |       11967 |       0 |      0 |         0 
 157267 Thread 14 - GC Daemon                                          |        0 |     1000 |       83855 |      7893253 |         0 |      0 |           0 |       0 |      0 |         0 
 157270 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 25701000 | 30003000 | 15840117365 | 542574593685 | 573430784 | 147456 | 19117147381 |  259805 |      0 |         0 
 157273 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   230000 |    47000 |    78326097 |   2699924198 |   6424576 |   6144 |    34517667 | 1012301 |      0 |         0 
 157276 Thread 17 - PartitionProcessorThre...f89-9286-ba99d47003ae-2-0 |  1395000 |   424000 |   513379339 |  17723446293 |     40960 |      0 |  1964404737 |       0 |      0 |         0 
 157277 Thread 18 - PartitionProcessorThre...f89-9286-ba99d47003ae-2-1 |  1402000 |   413000 |   515946866 |  17703443195 |         0 |      0 |  1623524595 |       0 |      0 |         0 
 157278 Thread 19 - PartitionProcessorThre...f89-9286-ba99d47003ae-2-2 |  1436000 |   445000 |   533472155 |  18348637886 |         0 |      0 |  1755081534 |       0 |      0 |         0 
 157279 Thread 20 - PartitionProcessorThre...f89-9286-ba99d47003ae-2-3 |  1383000 |   458000 |   523315507 |  17956367715 |         0 |      0 |  1781426475 |       0 |      0 |         0 
 157280 Thread 21 - PartitionProcessorThre...f89-9286-ba99d47003ae-2-4 |  1416000 |   401000 |   516423132 |  17721267808 |      1024 |      0 |  1893704462 |       0 |      0 |         0 
 157281 Thread 22 - PartitionProcessorThre...f89-9286-ba99d47003ae-2-5 |  1451000 |   446000 |   540441561 |  18508147218 |         0 |      0 |  2087741214 |       0 |      0 |         0 
 157282 Thread 23 - PartitionProcessorThre...f89-9286-ba99d47003ae-2-6 |  1381000 |   431000 |   514991956 |  17673586215 |         0 |      0 |  1815316269 |       0 |      0 |         0 
 157283 Thread 24 - PartitionProcessorThre...f89-9286-ba99d47003ae-2-7 |  1482000 |   414000 |   537257585 |  18489533437 |         0 |      0 |  1867445864 |       0 |      0 |         0 
