                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 42831 Thread 1 - main                                                |   983000 |    86000 |    73351751 |   7492409061 |  14803968 |   1024 |     5611533 |      0 |      0 |         0 
 42839 Thread 2 - Reference Handler                                   |     1000 |     1000 |       96906 |     13324175 |         0 |      0 |      179560 |      0 |      0 |         0 
 42840 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |        8434 |      0 |      0 |         0 
 42841 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 42847 Thread 11 - Common-Cleaner                                     |        0 |        0 |           0 |            0 |         0 |      0 |      144292 |      0 |      0 |         0 
 42850 Thread 13 - RMI Scheduler(0)                                   |     3000 |        0 |     1162113 |     29690527 |      1024 |      0 |      149676 |      0 |      0 |         0 
 42856 Thread 14 - RMI RenewClean-[10.231.182.152:38327]              |     1000 |     1000 |      163378 |     14678003 |         0 |      0 |           0 |      0 |      0 |         0 
 42857 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 42860 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 23844000 | 33880000 | 21376052510 | 569483075373 | 573965312 | 108544 | 12217247167 | 136502 |      0 |         0 
 42862 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   217000 |    38000 |    93541671 |   2515011448 |   5181440 |   5120 |    27292243 | 319227 |      0 |         0 
 42869 Thread 18 - PartitionProcessorThre...ec3-aa6e-069d8f85c818-0-0 |   989000 |   385000 |   503308392 |  13560499535 |      1024 |      0 |  1027166860 |      0 |      0 |         0 
 42870 Thread 19 - PartitionProcessorThre...ec3-aa6e-069d8f85c818-0-1 |   964000 |   419000 |   505884884 |  13643503746 |     35840 |      0 |   960417485 |      0 |      0 |         0 
 42871 Thread 20 - PartitionProcessorThre...ec3-aa6e-069d8f85c818-0-2 |  1053000 |   416000 |   540907153 |  14506513117 |         0 |      0 |  1014472373 |      0 |      0 |         0 
 42872 Thread 21 - PartitionProcessorThre...ec3-aa6e-069d8f85c818-0-3 |   981000 |   395000 |   505437810 |  13591062004 |         0 |      0 |   865878633 |      0 |      0 |         0 
 42873 Thread 22 - PartitionProcessorThre...ec3-aa6e-069d8f85c818-0-4 |   956000 |   376000 |   488660950 |  13151788679 |         0 |      0 |   942708288 |      0 |      0 |         0 
 42874 Thread 23 - PartitionProcessorThre...ec3-aa6e-069d8f85c818-0-5 |   973000 |   355000 |   490172068 |  13113485808 |         0 |      0 |   941974739 |      0 |      0 |         0 
 42875 Thread 24 - PartitionProcessorThre...ec3-aa6e-069d8f85c818-0-6 |   967000 |   389000 |   496844314 |  13392107066 |         0 |      0 |   902255514 |      0 |      0 |         0 
