                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 17702 Thread 1 - main                                                |   598000 |    80000 |    41801651 |   5120404412 |  21194752 |   1024 |     7883868 |      0 |      0 |         0 
 17724 Thread 2 - Reference Handler                                   |     5000 |     2000 |      712808 |     54442050 |         0 |      0 |     5296110 |      0 |      0 |         0 
 17725 Thread 3 - Finalizer                                           |     6000 |     1000 |      600476 |     53528578 |     13312 |      0 |     3248194 |      0 |      0 |         0 
 17726 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       18717 |      0 |      0 |         0 
 17727 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |       30003 |      7292277 |         0 |      0 |           0 |      0 |      0 |         0 
 17736 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29555000 | 32074000 | 18997152771 | 600147138615 | 636825600 | 126976 | 18169598685 | 150026 |      0 |         0 
 17737 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   156000 |    65000 |    67159007 |   2153205190 |   6151168 |   4096 |    17272511 | 311895 |      0 |         0 
 17740 Thread 14 - PartitionProcessorThre...97f-92a5-49e0674efcaf-0-0 |  1311000 |   463000 |   542356742 |  17273903113 |    155648 |      0 |  1503320045 |      0 |      0 |         0 
 17741 Thread 15 - PartitionProcessorThre...97f-92a5-49e0674efcaf-0-1 |  1250000 |   431000 |   516786168 |  16394207574 |         0 |      0 |  1423220400 |      0 |      0 |         0 
 17742 Thread 16 - PartitionProcessorThre...97f-92a5-49e0674efcaf-0-2 |  1327000 |   418000 |   537243797 |  17018675066 |      2048 |      0 |  1534985007 |      0 |      0 |         0 
 17743 Thread 17 - PartitionProcessorThre...97f-92a5-49e0674efcaf-0-3 |  1300000 |   448000 |   535335230 |  17045763527 |      1024 |      0 |  1174070265 |      0 |      0 |         0 
 17744 Thread 18 - PartitionProcessorThre...97f-92a5-49e0674efcaf-0-4 |  1328000 |   444000 |   544981754 |  17286428886 |         0 |      0 |  1500129446 |      0 |      0 |         0 
 17745 Thread 19 - PartitionProcessorThre...97f-92a5-49e0674efcaf-0-5 |  1282000 |   453000 |   534340238 |  16926743894 |         0 |      0 |  1397822373 |      0 |      0 |         0 
 17746 Thread 20 - PartitionProcessorThre...97f-92a5-49e0674efcaf-0-6 |  1279000 |   494000 |   545107215 |  17297615148 |         0 |      0 |  1504813121 |      0 |      0 |         0 
 17747 Thread 21 - PartitionProcessorThre...97f-92a5-49e0674efcaf-0-7 |  1303000 |   448000 |   537319016 |  17084499753 |      3072 |      0 |  1481523605 |      0 |      0 |         0 
 17748 Thread 22 - PartitionProcessorThre...97f-92a5-49e0674efcaf-0-8 |  1309000 |   457000 |   543774051 |  17232682722 |         0 |      0 |  1333872029 |      0 |      0 |         0 
 17749 Thread 23 - PartitionProcessorThre...97f-92a5-49e0674efcaf-0-9 |  1301000 |   447000 |   538090566 |  17054576343 |         0 |      0 |  1563133586 |      0 |      0 |         0 
 17750 Thread 24 - PartitionProcessorThre...7f-92a5-49e0674efcaf-0-10 |  1369000 |   432000 |   552129594 |  17570522890 |         0 |      0 |  1416477834 |      0 |      0 |         0 
