                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 57709 Thread 1 - main                                                |   824000 |   135000 |    63981970 |   7387764661 |  34250752 |   1024 |    14125259 |      0 |      0 |         0 
 57731 Thread 2 - Reference Handler                                   |     7000 |        0 |      726734 |     57335058 |         0 |      0 |      460874 |      0 |      0 |         0 
 57732 Thread 3 - Finalizer                                           |     7000 |        0 |      705921 |     57262019 |     13312 |      0 |      940190 |      0 |      0 |         0 
 57733 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        8255 |      0 |      0 |         0 
 57734 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      301867 |      9757738 |         0 |      0 |           0 |      0 |      0 |         0 
 57742 Thread 12 - RMI Scheduler(0)                                   |     2000 |     1000 |      666183 |     27276261 |      4096 |      0 |      947164 |      0 |      0 |         0 
 57743 Thread 13 - RMI RenewClean-[10.231.182.152:40161]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 57744 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 57747 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 31623000 | 34590000 | 19590253992 | 645277645548 | 624819200 | 125952 | 19673806542 | 130145 |      0 |         0 
 57748 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   207000 |    57000 |    76112241 |   2560236273 |   6114304 |   4096 |    21435094 | 412182 |      0 |         0 
 57753 Thread 17 - PartitionProcessorThre...402-8ed6-e70ffea02f99-1-0 |  1318000 |   437000 |   514213372 |  17105042892 |     39936 |      0 |  1427231519 |      0 |      0 |         0 
 57754 Thread 18 - PartitionProcessorThre...402-8ed6-e70ffea02f99-1-1 |  1435000 |   461000 |   556776407 |  18485264415 |         0 |      0 |  1512224344 |      0 |      0 |         0 
 57755 Thread 19 - PartitionProcessorThre...402-8ed6-e70ffea02f99-1-2 |  1393000 |   480000 |   548607298 |  18258452568 |      3072 |      0 |  1583600071 |      0 |      0 |         0 
 57756 Thread 20 - PartitionProcessorThre...402-8ed6-e70ffea02f99-1-3 |  1427000 |   509000 |   568541212 |  18877651044 |      1024 |      0 |  1540412762 |      0 |      0 |         0 
 57757 Thread 21 - PartitionProcessorThre...402-8ed6-e70ffea02f99-1-4 |  1265000 |   465000 |   508975380 |  16871326040 |         0 |      0 |  1541598821 |      0 |      0 |         0 
 57758 Thread 22 - PartitionProcessorThre...402-8ed6-e70ffea02f99-1-5 |  1375000 |   468000 |   542552306 |  17973530642 |         0 |      0 |  1673834936 |      0 |      0 |         0 
 57759 Thread 23 - PartitionProcessorThre...402-8ed6-e70ffea02f99-1-6 |  1380000 |   465000 |   543045516 |  17994773509 |         0 |      0 |  1687060268 |      0 |      0 |         0 
 57760 Thread 24 - PartitionProcessorThre...402-8ed6-e70ffea02f99-1-7 |  1398000 |   486000 |   552377040 |  18372673392 |         0 |      0 |  1650336970 |      0 |      0 |         0 
 57761 Thread 25 - PartitionProcessorThre...402-8ed6-e70ffea02f99-1-8 |  1363000 |   470000 |   538391106 |  17873800056 |         0 |      0 |  1646762609 |      0 |      0 |         0 
 57762 Thread 26 - PartitionProcessorThre...402-8ed6-e70ffea02f99-1-9 |  1322000 |   473000 |   528559997 |  17507936857 |         0 |      0 |  1583490312 |      0 |      0 |         0 
 57763 Thread 27 - PartitionProcessorThre...02-8ed6-e70ffea02f99-1-10 |  1329000 |   458000 |   525776036 |  17429734076 |         0 |      0 |  1424470460 |      0 |      0 |         0 
 57764 Thread 28 - PartitionProcessorThre...02-8ed6-e70ffea02f99-1-11 |  1445000 |   440000 |   553676083 |  18380848997 |         0 |      0 |  1341216668 |      0 |      0 |         0 
 57765 Thread 29 - PartitionProcessorThre...02-8ed6-e70ffea02f99-1-12 |  1401000 |   464000 |   547229962 |  18185102181 |         0 |      0 |  1410803068 |      0 |      0 |         0 
 57766 Thread 30 - PartitionProcessorThre...02-8ed6-e70ffea02f99-1-13 |  1364000 |   429000 |   527067985 |  17485856728 |         0 |      0 |  1605967084 |      0 |      0 |         0 
 57767 Thread 31 - PartitionProcessorThre...02-8ed6-e70ffea02f99-1-14 |  1295000 |   450000 |   514489348 |  17022352607 |         0 |      0 |  1397252746 |      0 |      0 |         0 
 57768 Thread 32 - PartitionProcessorThre...02-8ed6-e70ffea02f99-1-15 |  1379000 |   451000 |   539140505 |  17848559861 |         0 |      0 |  1592100308 |      0 |      0 |         0 
 57769 Thread 33 - PartitionProcessorThre...02-8ed6-e70ffea02f99-1-16 |  1462000 |   458000 |   567169204 |  18732314521 |         0 |      0 |  1662571329 |      0 |      0 |         0 
 57770 Thread 34 - PartitionProcessorThre...02-8ed6-e70ffea02f99-1-17 |  1407000 |   472000 |   549451692 |  18319543876 |         0 |      0 |  1489884450 |      0 |      0 |         0 
 57771 Thread 35 - PartitionProcessorThre...02-8ed6-e70ffea02f99-1-18 |  1375000 |   472000 |   542583372 |  18016014568 |         0 |      0 |  1631625923 |      0 |      0 |         0 
 57772 Thread 36 - PartitionProcessorThre...02-8ed6-e70ffea02f99-1-19 |  1379000 |   448000 |   534877595 |  17815867950 |         0 |      0 |  1702194560 |      0 |      0 |         0 
 57774 Thread 37 - PartitionProcessorThre...402-8ed6-e70ffea02f99-0-0 |  1324000 |   493000 |   538623501 |  17735184103 |         0 |      0 |  1459625622 |      0 |      0 |         0 
 57775 Thread 38 - PartitionProcessorThre...402-8ed6-e70ffea02f99-0-1 |  1249000 |   459000 |   506524954 |  16670694029 |         0 |      0 |  1457336505 |      0 |      0 |         0 
