                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 54771 Thread 1 - main                                                |   807000 |   115000 |    59568615 |   7080619009 |  34258944 |   1024 |     6004966 |       0 |      0 |         0 
 54793 Thread 2 - Reference Handler                                   |     7000 |        0 |      635097 |     55471785 |         0 |      0 |     3263326 |       0 |      0 |         0 
 54794 Thread 3 - Finalizer                                           |     7000 |        0 |      536523 |     54493585 |      5120 |      0 |     3425552 |       0 |      0 |         0 
 54795 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 54796 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 54805 Thread 12 - RMI Scheduler(0)                                   |     2000 |     1000 |      651167 |     27276261 |      4096 |      0 |      164274 |       0 |      0 |         0 
 54806 Thread 13 - RMI RenewClean-[10.231.182.152:41197]              |     1000 |        0 |       81816 |      7893238 |      1024 |      0 |           0 |       0 |      0 |         0 
 54807 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |       15752 |       0 |      0 |         0 
 54809 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 29656000 | 30985000 | 17358298475 | 590829493562 | 573207552 | 134144 | 18127017615 |  151337 |      0 |         0 
 54810 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   212000 |    45000 |    72908710 |   2497563570 |   6486016 |   5120 |    48290174 |  280352 |      0 |         0 
 54816 Thread 17 - PartitionProcessorThre...a05-960e-146b8bcd4741-0-0 |  1233000 |   467000 |   488272980 |  16582543451 |         0 |      0 |  1405105962 |       0 |      0 |         0 
 54817 Thread 18 - PartitionProcessorThre...a05-960e-146b8bcd4741-0-1 |  1244000 |   385000 |   466414937 |  15879576072 |     34816 |      0 |  1557768400 |       0 |      0 |         0 
 54818 Thread 19 - PartitionProcessorThre...a05-960e-146b8bcd4741-0-2 |  1339000 |   400000 |   497180269 |  16948924240 |      3072 |      0 |  1656243547 |       0 |      0 |         0 
 54819 Thread 20 - PartitionProcessorThre...a05-960e-146b8bcd4741-0-3 |  1227000 |   365000 |   457146765 |  15524986627 |      4096 |      0 |  1679549490 |       0 |      0 |         0 
 54820 Thread 21 - PartitionProcessorThre...a05-960e-146b8bcd4741-0-4 |  1308000 |   428000 |   499769929 |  16933376529 |         0 |      0 |  1727792602 |       0 |      0 |         0 
 54821 Thread 22 - PartitionProcessorThre...a05-960e-146b8bcd4741-0-5 |  1246000 |   406000 |   473770046 |  16111566994 |         0 |      0 |  1662602658 |       0 |      0 |         0 
 54822 Thread 23 - PartitionProcessorThre...a05-960e-146b8bcd4741-0-6 |  1272000 |   425000 |   489428730 |  16556577677 |         0 |      0 |  1602496007 |       0 |      0 |         0 
 54823 Thread 24 - PartitionProcessorThre...a05-960e-146b8bcd4741-0-7 |  1215000 |   489000 |   488558335 |  16621147017 |         0 |      0 |  1724522756 |       0 |      0 |         0 
 54824 Thread 25 - PartitionProcessorThre...a05-960e-146b8bcd4741-0-8 |  1223000 |   398000 |   465158558 |  15811189084 |         0 |      0 |  1474040964 |       0 |      0 |         0 
 54825 Thread 26 - PartitionProcessorThre...a05-960e-146b8bcd4741-0-9 |  1299000 |   444000 |   500017105 |  17002262236 |         0 |      0 |  1541043025 |       0 |      0 |         0 
 54826 Thread 27 - PartitionProcessorThre...05-960e-146b8bcd4741-0-10 |  1278000 |   448000 |   496821159 |  16837173923 |         0 |      0 |  1582944686 |       0 |      0 |         0 
 54827 Thread 28 - PartitionProcessorThre...05-960e-146b8bcd4741-0-11 |  1228000 |   431000 |   477177867 |  16183704115 |         0 |      0 |  1484105245 | 7115916 |      0 |         0 
 54828 Thread 29 - PartitionProcessorThre...05-960e-146b8bcd4741-0-12 |  1258000 |   385000 |   470903531 |  16024737779 |         0 |      0 |  1291553392 |       0 |      0 |         0 
 54829 Thread 30 - PartitionProcessorThre...05-960e-146b8bcd4741-0-13 |  1264000 |   416000 |   483542230 |  16389489865 |         0 |      0 |  1544997442 |       0 |      0 |         0 
 54830 Thread 31 - PartitionProcessorThre...05-960e-146b8bcd4741-0-14 |  1304000 |   419000 |   494997472 |  16808064201 |         0 |      0 |  1697633567 |       0 |      0 |         0 
 54831 Thread 32 - PartitionProcessorThre...05-960e-146b8bcd4741-0-15 |  1297000 |   415000 |   492161460 |  16698346873 |         0 |      0 |  1513975999 |       0 |      0 |         0 
 54832 Thread 33 - PartitionProcessorThre...05-960e-146b8bcd4741-0-16 |  1270000 |   408000 |   481827116 |  16368301533 |         0 |      0 |  1562659196 |       0 |      0 |         0 
 54833 Thread 34 - PartitionProcessorThre...05-960e-146b8bcd4741-0-17 |  1261000 |   378000 |   470688449 |  15987705490 |         0 |      0 |  1433513393 |       0 |      0 |         0 
 54834 Thread 35 - PartitionProcessorThre...05-960e-146b8bcd4741-0-18 |  1363000 |   412000 |   509983605 |  17315705646 |         0 |      0 |  1510050552 |       0 |      0 |         0 
 54835 Thread 36 - PartitionProcessorThre...05-960e-146b8bcd4741-0-19 |  1293000 |   392000 |   483559718 |  16435722939 |         0 |      0 |  1552626862 |       0 |      0 |         0 
 54836 Thread 37 - PartitionProcessorThre...a05-960e-146b8bcd4741-2-0 |  1290000 |   455000 |   498112460 |  17027034541 |         0 |      0 |  1680170556 |       0 |      0 |         0 
 54837 Thread 38 - PartitionProcessorThre...a05-960e-146b8bcd4741-2-1 |  1202000 |   397000 |   456007898 |  15603117412 |         0 |      0 |  1719197579 |       0 |      0 |         0 
 54838 Thread 39 - PartitionProcessorThre...a05-960e-146b8bcd4741-2-2 |  1326000 |   424000 |   497414827 |  17075803584 |         0 |      0 |  1674667926 |       0 |      0 |         0 
 54839 Thread 40 - PartitionProcessorThre...a05-960e-146b8bcd4741-2-3 |  1287000 |   419000 |   485869401 |  16646515756 |         0 |      0 |  1731124285 |       0 |      0 |         0 
 54840 Thread 41 - PartitionProcessorThre...a05-960e-146b8bcd4741-2-4 |  1339000 |   439000 |   508330655 |  17349609736 |         0 |      0 |  1793607980 |       0 |      0 |         0 
 54841 Thread 42 - PartitionProcessorThre...a05-960e-146b8bcd4741-2-5 |  1323000 |   453000 |   507462093 |  17329651943 |         0 |      0 |  1581506484 |       0 |      0 |         0 
 54842 Thread 43 - PartitionProcessorThre...a05-960e-146b8bcd4741-2-6 |  1344000 |   459000 |   517475460 |  17593578080 |         0 |      0 |  1614412977 |       0 |      0 |         0 
 54843 Thread 44 - PartitionProcessorThre...a05-960e-146b8bcd4741-2-7 |  1237000 |   453000 |   483969421 |  16491207779 |      1024 |      0 |  1675561868 |       0 |      0 |         0 
 54844 Thread 45 - PartitionProcessorThre...a05-960e-146b8bcd4741-2-8 |  1298000 |   421000 |   490712632 |  16773961900 |         0 |      0 |  1674551370 |       0 |      0 |         0 
 54845 Thread 46 - PartitionProcessorThre...a05-960e-146b8bcd4741-2-9 |  1289000 |   427000 |   491012241 |  16744631482 |      1024 |      0 |  1497222724 |  240914 |      0 |         0 
 54846 Thread 47 - PartitionProcessorThre...05-960e-146b8bcd4741-2-10 |  1330000 |   438000 |   505514636 |  17252008439 |         0 |      0 |  1561845570 |       0 |      0 |         0 
 54847 Thread 48 - PartitionProcessorThre...05-960e-146b8bcd4741-2-11 |  1173000 |   439000 |   458739835 |  15729570736 |         0 |      0 |  1445467547 |       0 |      0 |         0 
 54848 Thread 49 - PartitionProcessorThre...05-960e-146b8bcd4741-2-12 |  1303000 |   427000 |   493583245 |  16881184248 |         0 |      0 |  1694415964 |       0 |      0 |         0 
 54849 Thread 50 - PartitionProcessorThre...05-960e-146b8bcd4741-2-13 |  1354000 |   430000 |   507427503 |  17407943306 |         0 |      0 |  1577940772 |       0 |      0 |         0 
 54850 Thread 51 - PartitionProcessorThre...05-960e-146b8bcd4741-2-14 |  1311000 |   470000 |   506616519 |  17378914353 |         0 |      0 |  1689077043 |       0 |      0 |         0 
 54851 Thread 52 - PartitionProcessorThre...05-960e-146b8bcd4741-2-15 |  1257000 |   433000 |   480920589 |  16490541271 |         0 |      0 |  1862470131 |       0 |      0 |         0 
 54852 Thread 53 - PartitionProcessorThre...05-960e-146b8bcd4741-2-16 |  1198000 |   422000 |   463025722 |  15807858693 |         0 |      0 |  1732913699 |       0 |      0 |         0 
 54853 Thread 54 - PartitionProcessorThre...05-960e-146b8bcd4741-2-17 |  1274000 |   442000 |   489514515 |  16744481990 |         0 |      0 |  1595076214 |       0 |      0 |         0 
 54854 Thread 55 - PartitionProcessorThre...05-960e-146b8bcd4741-2-18 |  1208000 |   443000 |   471640320 |  16110592576 |  10831872 |      0 |  1872976373 |       0 |      0 |         0 
 54855 Thread 56 - PartitionProcessorThre...05-960e-146b8bcd4741-2-19 |  1324000 |   463000 |   511385351 |  17437843584 |         0 |      0 |  1516807635 |       0 |      0 |         0 
 54856 Thread 57 - PartitionProcessorThre...a05-960e-146b8bcd4741-1-0 |  1162000 |   414000 |   454542914 |  15379200838 |         0 |      0 |  1601598740 |       0 |      0 |         0 
 54857 Thread 58 - PartitionProcessorThre...a05-960e-146b8bcd4741-1-1 |  1228000 |   454000 |   485666948 |  16413653549 |         0 |      0 |  1660398375 |       0 |      0 |         0 
 54858 Thread 59 - PartitionProcessorThre...a05-960e-146b8bcd4741-1-2 |  1240000 |   408000 |   476231659 |  16081478131 |         0 |      0 |  1621059885 |       0 |      0 |         0 
 54859 Thread 60 - PartitionProcessorThre...a05-960e-146b8bcd4741-1-3 |  1211000 |   377000 |   459878843 |  15496651412 |         0 |      0 |  1633332475 |       0 |      0 |         0 
 54860 Thread 61 - PartitionProcessorThre...a05-960e-146b8bcd4741-1-4 |  1238000 |   408000 |   475710429 |  16062462474 |         0 |      0 |  1573941183 |       0 |      0 |         0 
 54861 Thread 62 - PartitionProcessorThre...a05-960e-146b8bcd4741-1-5 |  1246000 |   407000 |   477144281 |  16130577818 |         0 |      0 |  1501818197 |       0 |      0 |         0 
 54862 Thread 63 - PartitionProcessorThre...a05-960e-146b8bcd4741-1-6 |  1231000 |   419000 |   476284343 |  16101230802 |         0 |      0 |  1540941115 |       0 |      0 |         0 
 54863 Thread 64 - PartitionProcessorThre...a05-960e-146b8bcd4741-1-7 |  1275000 |   404000 |   485232851 |  16384710181 |         0 |      0 |  1470541793 |       0 |      0 |         0 
 54864 Thread 65 - PartitionProcessorThre...a05-960e-146b8bcd4741-1-8 |  1190000 |   425000 |   467178765 |  15760229115 |         0 |      0 |  1638548246 |       0 |      0 |         0 
 54865 Thread 66 - PartitionProcessorThre...a05-960e-146b8bcd4741-1-9 |  1292000 |   412000 |   491912737 |  16628023849 |         0 |      0 |  1696974976 |       0 |      0 |         0 
 54866 Thread 67 - PartitionProcessorThre...05-960e-146b8bcd4741-1-10 |  1293000 |   387000 |   485496113 |  16394124373 |         0 |      0 |  1699053221 |       0 |      0 |         0 
 54867 Thread 68 - PartitionProcessorThre...05-960e-146b8bcd4741-1-11 |  1312000 |   421000 |   500829374 |  16911022951 |         0 |      0 |  1634621696 |       0 |      0 |         0 
 54868 Thread 69 - PartitionProcessorThre...05-960e-146b8bcd4741-1-12 |  1317000 |   404000 |   497024675 |  16794213724 |         0 |      0 |  1722094873 |       0 |      0 |         0 
 54869 Thread 70 - PartitionProcessorThre...05-960e-146b8bcd4741-1-13 |  1225000 |   421000 |   475198800 |  16062269123 |         0 |      0 |  1621846645 |       0 |      0 |         0 
 54870 Thread 71 - PartitionProcessorThre...05-960e-146b8bcd4741-1-14 |  1148000 |   380000 |   441086543 |  14910950787 |         0 |      0 |  1713017639 |       0 |      0 |         0 
 54871 Thread 72 - PartitionProcessorThre...05-960e-146b8bcd4741-1-15 |  1311000 |   398000 |   493631058 |  16677248384 |         0 |      0 |  1766088207 |       0 |      0 |         0 
 54872 Thread 73 - PartitionProcessorThre...05-960e-146b8bcd4741-1-16 |  1251000 |   401000 |   476928054 |  16120851513 |         0 |      0 |  1587851172 |       0 |      0 |         0 
 54873 Thread 74 - PartitionProcessorThre...05-960e-146b8bcd4741-1-17 |  1191000 |   421000 |   465092214 |  15730675670 |         0 |      0 |  1571238754 |       0 |      0 |         0 
 54874 Thread 75 - PartitionProcessorThre...05-960e-146b8bcd4741-1-18 |  1258000 |   385000 |   474442870 |  16033345982 |         0 |      0 |  1726520223 |       0 |      0 |         0 
 54875 Thread 76 - PartitionProcessorThre...05-960e-146b8bcd4741-1-19 |  1264000 |   409000 |   483443273 |  16325603287 |         0 |      0 |  1592394062 |       0 |      0 |         0 
 55301 Thread 77 - process reaper                                     |     1000 |        0 |      296953 |      9788726 |         0 |      0 |       19434 |       0 |      0 |         0 
 55307 Thread 78 - Attach Listener                                    |   422000 |   108000 |   155760882 |   5180710178 |   5144576 | 167936 |     5954710 |       0 |      0 |         0 
