                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 6890 Thread 1 - main                                                |   836000 |   120000 |    61925248 |   7309534150 |  34339840 |   1024 |     5961303 |      0 |      0 |         0 
 6912 Thread 2 - Reference Handler                                   |     9000 |        0 |     1146914 |     74475328 |         0 |      0 |     3562143 |      0 |      0 |         0 
 6913 Thread 3 - Finalizer                                           |     8000 |        0 |      750312 |     63781898 |      5120 |      0 |     1204435 |      0 |      0 |         0 
 6914 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        8074 |      0 |      0 |         0 
 6915 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 6929 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      667128 |     27278332 |      4096 |      0 |       27336 |      0 |      0 |         0 
 6930 Thread 13 - RMI RenewClean-[10.231.182.152:37248]              |     1000 |        0 |       82472 |      7893261 |      1024 |      0 |           0 |      0 |      0 |         0 
 6931 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 6934 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 23776000 | 34008000 | 16818906051 | 562971009668 | 574654464 | 123904 | 16705281202 | 198621 |      0 |         0 
 6936 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   184000 |    31000 |    61679808 |   2087112827 |   5041152 |   5120 |    23983948 | 198387 |      0 |         0 
 6940 Thread 17 - PartitionProcessorThre...4a8-a05b-28398824e883-2-0 |  1243000 |   458000 |   492638413 |  16588466808 |     34816 |      0 |   985757811 |      0 |      0 |         0 
 6941 Thread 18 - PartitionProcessorThre...4a8-a05b-28398824e883-2-1 |  1255000 |   422000 |   486794085 |  16358811386 |         0 |      0 |  1046005646 |      0 |      0 |         0 
 6942 Thread 19 - PartitionProcessorThre...4a8-a05b-28398824e883-2-2 |  1169000 |   443000 |   467121617 |  15719617445 |         0 |      0 |  1052148448 |      0 |      0 |         0 
 6943 Thread 20 - PartitionProcessorThre...4a8-a05b-28398824e883-2-3 |  1188000 |   443000 |   473515468 |  15908144226 |         0 |      0 |  1116830385 |      0 |      0 |         0 
 6944 Thread 21 - PartitionProcessorThre...4a8-a05b-28398824e883-2-4 |  1217000 |   456000 |   486626339 |  16319731827 |         0 |      0 |  1023713013 |      0 |      0 |         0 
 6945 Thread 22 - PartitionProcessorThre...4a8-a05b-28398824e883-2-5 |  1149000 |   421000 |   457192562 |  15315405828 |      1024 |      0 |  1063984507 |      0 |      0 |         0 
 6946 Thread 23 - PartitionProcessorThre...4a8-a05b-28398824e883-2-6 |  1308000 |   421000 |   504799949 |  16867030359 |      3072 |      0 |  1134353459 |      0 |      0 |         0 
 6947 Thread 24 - PartitionProcessorThre...4a8-a05b-28398824e883-2-7 |  1255000 |   403000 |   482951421 |  16175030980 |         0 |      0 |  1083455407 |      0 |      0 |         0 
 6948 Thread 25 - PartitionProcessorThre...4a8-a05b-28398824e883-2-8 |  1325000 |   440000 |   514969773 |  17219695733 |         0 |      0 |   994080317 |      0 |      0 |         0 
 6949 Thread 26 - PartitionProcessorThre...4a8-a05b-28398824e883-2-9 |  1282000 |   391000 |   485482058 |  16317688984 |         0 |      0 |  1022381709 |      0 |      0 |         0 
 6950 Thread 27 - PartitionProcessorThre...a8-a05b-28398824e883-2-10 |  1237000 |   413000 |   480448624 |  16095720312 |         0 |      0 |  1089011566 |      0 |      0 |         0 
 6951 Thread 28 - PartitionProcessorThre...a8-a05b-28398824e883-2-11 |  1123000 |   426000 |   451114058 |  15109259183 |         0 |      0 |  1157660034 |      0 |      0 |         0 
 6952 Thread 29 - PartitionProcessorThre...a8-a05b-28398824e883-2-12 |  1153000 |   438000 |   463577730 |  15520891261 |         0 |      0 |  1030106158 |      0 |      0 |         0 
 6953 Thread 30 - PartitionProcessorThre...a8-a05b-28398824e883-2-13 |  1161000 |   457000 |   471285027 |  15785513230 |         0 |      0 |  1149571815 |      0 |      0 |         0 
 6954 Thread 31 - PartitionProcessorThre...a8-a05b-28398824e883-2-14 |  1167000 |   455000 |   471669453 |  15823234210 |         0 |      0 |  1158591715 |      0 |      0 |         0 
 6955 Thread 32 - PartitionProcessorThre...a8-a05b-28398824e883-2-15 |  1242000 |   438000 |   489305437 |  16386722601 |      1024 |      0 |   958955848 |      0 |      0 |         0 
 6956 Thread 33 - PartitionProcessorThre...a8-a05b-28398824e883-2-16 |  1222000 |   393000 |   470630749 |  15752316249 |      2048 |      0 |  1012652257 |      0 |      0 |         0 
 6957 Thread 34 - PartitionProcessorThre...a8-a05b-28398824e883-2-17 |  1248000 |   450000 |   495312121 |  16564884851 |         0 |      0 |  1152029992 |      0 |      0 |         0 
 6958 Thread 35 - PartitionProcessorThre...a8-a05b-28398824e883-2-18 |  1254000 |   422000 |   486833925 |  16347557995 |         0 |      0 |  1037177152 |      0 |      0 |         0 
 6959 Thread 36 - PartitionProcessorThre...a8-a05b-28398824e883-2-19 |  1264000 |   441000 |   496733921 |  16633402249 |         0 |      0 |  1100366907 |      0 |      0 |         0 
 6960 Thread 37 - PartitionProcessorThre...4a8-a05b-28398824e883-0-0 |  1235000 |   417000 |   476628996 |  16119326597 |         0 |      0 |  1223479627 |      0 |      0 |         0 
 6961 Thread 38 - PartitionProcessorThre...4a8-a05b-28398824e883-0-1 |  1252000 |   439000 |   488795062 |  16500311234 |         0 |      0 |  1046581280 |      0 |      0 |         0 
 6962 Thread 39 - PartitionProcessorThre...4a8-a05b-28398824e883-0-2 |  1228000 |   432000 |   480130847 |  16197911628 |         0 |      0 |  1111518878 |      0 |      0 |         0 
 6963 Thread 40 - PartitionProcessorThre...4a8-a05b-28398824e883-0-3 |  1201000 |   426000 |   470567566 |  15875920851 |         0 |      0 |  1204584949 |      0 |      0 |         0 
 6964 Thread 41 - PartitionProcessorThre...4a8-a05b-28398824e883-0-4 |  1220000 |   445000 |   479189183 |  16246330038 |         0 |      0 |  1351162369 |      0 |      0 |         0 
 6965 Thread 42 - PartitionProcessorThre...4a8-a05b-28398824e883-0-5 |  1191000 |   441000 |   472412316 |  15924759878 |         0 |      0 |  1248168840 |      0 |      0 |         0 
 6966 Thread 43 - PartitionProcessorThre...4a8-a05b-28398824e883-0-6 |  1182000 |   462000 |   475882582 |  16041633519 |         0 |      0 |  1314674826 |      0 |      0 |         0 
 6967 Thread 44 - PartitionProcessorThre...4a8-a05b-28398824e883-0-7 |  1278000 |   437000 |   495984542 |  16734292652 |         0 |      0 |  1201754670 |      0 |      0 |         0 
 6968 Thread 45 - PartitionProcessorThre...4a8-a05b-28398824e883-0-8 |  1226000 |   418000 |   475079605 |  16041600952 |         0 |      0 |  1145727330 |      0 |      0 |         0 
 6969 Thread 46 - PartitionProcessorThre...4a8-a05b-28398824e883-0-9 |  1171000 |   424000 |   460237933 |  15563462367 |         0 |      0 |   917078381 |      0 |      0 |         0 
 6970 Thread 47 - PartitionProcessorThre...a8-a05b-28398824e883-0-10 |  1202000 |   457000 |   480008808 |  16188283171 |         0 |      0 |  1190384579 |      0 |      0 |         0 
 6971 Thread 48 - PartitionProcessorThre...a8-a05b-28398824e883-0-11 |  1181000 |   421000 |   462094910 |  15631937316 |         0 |      0 |   921069891 |      0 |      0 |         0 
 6972 Thread 49 - PartitionProcessorThre...a8-a05b-28398824e883-0-12 |  1176000 |   443000 |   468557796 |  15797713277 |         0 |      0 |  1165719148 |      0 |      0 |         0 
 6973 Thread 50 - PartitionProcessorThre...a8-a05b-28398824e883-0-13 |  1137000 |   413000 |   447390703 |  15124492492 |         0 |      0 |  1083653630 |      0 |      0 |         0 
 6974 Thread 51 - PartitionProcessorThre...a8-a05b-28398824e883-0-14 |  1280000 |   443000 |   498238823 |  16812349230 |         0 |      0 |  1233530087 |      0 |      0 |         0 
