                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 105969 Thread 1 - main                                                |   754000 |    92000 |    58089006 |   6487261502 |  34339840 |   1024 |     5856181 |      0 |      0 |         0 
 105992 Thread 2 - Reference Handler                                   |     6000 |        0 |      663628 |     48754480 |         0 |      0 |       50739 |      0 |      0 |         0 
 105993 Thread 3 - Finalizer                                           |     6000 |        0 |      663628 |     48754480 |      5120 |      0 |      694309 |      0 |      0 |         0 
 105994 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       30363 |      7291285 |         0 |      0 |           0 |      0 |      0 |         0 
 105995 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 106004 Thread 12 - RMI Scheduler(0)                                   |     1000 |        0 |      299972 |      9757539 |      4096 |      0 |           0 |      0 |      0 |         0 
 106005 Thread 13 - RMI RenewClean-[10.231.182.152:33830]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 106006 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 106008 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 27163000 | 38986000 | 19947790679 | 644869247303 | 624276480 | 135168 | 18417724864 | 189034 |      0 |         0 
 106009 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   198000 |    34000 |    69098003 |   2261999788 |   6645760 |   5120 |     7382448 | 363467 |      0 |         0 
 106013 Thread 17 - PartitionProcessorThre...95f-bc71-ead0e4689eae-0-0 |  1249000 |   476000 |   517961281 |  16821165476 |     34816 |      0 |   997444118 |      0 |      0 |         0 
 106014 Thread 18 - PartitionProcessorThre...95f-bc71-ead0e4689eae-0-1 |  1387000 |   479000 |   558419757 |  18196932624 |         0 |      0 |  1233326010 |      0 |      0 |         0 
 106015 Thread 19 - PartitionProcessorThre...95f-bc71-ead0e4689eae-0-2 |  1226000 |   486000 |   515182562 |  16703467308 |      1024 |      0 |  1133864157 |      0 |      0 |         0 
 106016 Thread 20 - PartitionProcessorThre...95f-bc71-ead0e4689eae-0-3 |  1235000 |   457000 |   508150957 |  16504572211 |      4096 |      0 |  1223029406 |      0 |      0 |         0 
 106017 Thread 21 - PartitionProcessorThre...95f-bc71-ead0e4689eae-0-4 |  1199000 |   499000 |   510414418 |  16563577340 |      2048 |      0 |  1280273634 |      0 |      0 |         0 
 106018 Thread 22 - PartitionProcessorThre...95f-bc71-ead0e4689eae-0-5 |  1265000 |   502000 |   530642371 |  17241991445 |      1024 |      0 |  1291923540 |      0 |      0 |         0 
 106019 Thread 23 - PartitionProcessorThre...95f-bc71-ead0e4689eae-0-6 |  1296000 |   462000 |   525304324 |  17147861261 |         0 |      0 |  1194626687 |      0 |      0 |         0 
 106020 Thread 24 - PartitionProcessorThre...95f-bc71-ead0e4689eae-0-7 |  1248000 |   444000 |   507718684 |  16508764222 |         0 |      0 |  1216227226 |      0 |      0 |         0 
 106021 Thread 25 - PartitionProcessorThre...95f-bc71-ead0e4689eae-0-8 |  1271000 |   510000 |   533749422 |  17372007347 |         0 |      0 |  1075853328 |      0 |      0 |         0 
 106022 Thread 26 - PartitionProcessorThre...95f-bc71-ead0e4689eae-0-9 |  1240000 |   484000 |   516862918 |  16817110652 |         0 |      0 |  1065729978 |      0 |      0 |         0 
 106023 Thread 27 - PartitionProcessorThre...5f-bc71-ead0e4689eae-0-10 |  1396000 |   495000 |   565414296 |  18445822316 |         0 |      0 |  1070036525 |      0 |      0 |         0 
