                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 87474 Thread 1 - main                                                |   573000 |    79000 |    39889170 |   4938891271 |  21054464 |   1024 |    11093834 |       0 |      0 |         0 
 87496 Thread 2 - Reference Handler                                   |     5000 |        0 |      678738 |     40823089 |         0 |      0 |      695524 |       0 |      0 |         0 
 87497 Thread 3 - Finalizer                                           |     8000 |     1000 |     1251624 |     73099765 |      5120 |      0 |     1297028 |       0 |      0 |         0 
 87498 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |        0 |       32011 |      7163285 |         0 |      0 |       13604 |       0 |      0 |         0 
 87499 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        3786 |       0 |      0 |         0 
 87508 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29320000 | 32234000 | 18798635156 | 599433886400 | 637069312 | 121856 | 18307566465 |  153207 |      0 |         0 
 87510 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   172000 |    38000 |    63863839 |   2047031304 |   6089728 |   4096 |    22349930 |  919272 |      0 |         0 
 87513 Thread 14 - PartitionProcessorThre...4df-a321-2975d133118d-1-0 |  1307000 |   450000 |   532119898 |  17129606106 |    159744 |      0 |  1348241361 |       0 |      0 |         0 
 87514 Thread 15 - PartitionProcessorThre...4df-a321-2975d133118d-1-1 |  1286000 |   479000 |   534584293 |  17216682676 |         0 |      0 |  1509860650 |       0 |      0 |         0 
 87515 Thread 16 - PartitionProcessorThre...4df-a321-2975d133118d-1-2 |  1236000 |   429000 |   506879586 |  16245545895 |         0 |      0 |  1078890554 |       0 |      0 |         0 
 87516 Thread 17 - PartitionProcessorThre...4df-a321-2975d133118d-1-3 |  1332000 |   463000 |   543841633 |  17510657703 |         0 |      0 |  1245562208 |       0 |      0 |         0 
 87517 Thread 18 - PartitionProcessorThre...4df-a321-2975d133118d-1-4 |  1237000 |   447000 |   511212844 |  16428350582 |      4096 |      0 |  1495041593 |       0 |      0 |         0 
 87518 Thread 19 - PartitionProcessorThre...4df-a321-2975d133118d-1-5 |  1210000 |   458000 |   506873098 |  16273369047 |         0 |      0 |  1511738968 |       0 |      0 |         0 
 87519 Thread 20 - PartitionProcessorThre...4df-a321-2975d133118d-1-6 |  1308000 |   413000 |   523720781 |  16788997250 |         0 |      0 |  1547027413 |       0 |      0 |         0 
 87520 Thread 21 - PartitionProcessorThre...4df-a321-2975d133118d-1-7 |  1284000 |   444000 |   524050938 |  16857736348 |         0 |      0 |  1445208010 |       0 |      0 |         0 
 87521 Thread 22 - PartitionProcessorThre...4df-a321-2975d133118d-1-8 |  1286000 |   453000 |   529071231 |  16961298969 |      3072 |      0 |  1424179589 |       0 |      0 |         0 
