                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 84509 Thread 1 - main                                                |   575000 |    84000 |    41404674 |   4998129096 |  21054464 |   1024 |     7676287 |      0 |      0 |         0 
 84531 Thread 2 - Reference Handler                                   |     5000 |        0 |      513433 |     38906855 |         0 |      0 |     2001097 |      0 |      0 |         0 
 84532 Thread 3 - Finalizer                                           |     6000 |        0 |      514937 |     45829964 |      5120 |      0 |     2732147 |      0 |      0 |         0 
 84533 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        6229 |      0 |      0 |         0 
 84534 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 84544 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26812000 | 28885000 | 18373312324 | 542081792230 | 585475072 | 121856 | 18400392830 | 175057 |      0 |         0 
 84545 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   165000 |    42000 |    68650780 |   2019678296 |   6513664 |   4096 |    33621658 | 266105 |      0 |         0 
 84548 Thread 14 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-1-0 |  1212000 |   416000 |   538473879 |  15877971711 |         0 |      0 |  1353591108 |      0 |      0 |         0 
 84549 Thread 15 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-1-1 |  1232000 |   412000 |   539190832 |  16032204434 |     33792 |      0 |  1590056137 |      0 |      0 |         0 
 84550 Thread 16 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-1-2 |  1291000 |   404000 |   559480793 |  16532361129 |         0 |      0 |  1442416631 |      0 |      0 |         0 
 84551 Thread 17 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-1-3 |  1293000 |   432000 |   568479277 |  16825079184 |         0 |      0 |  1485015126 |      0 |      0 |         0 
 84552 Thread 18 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-1-4 |  1322000 |   399000 |   568345699 |  16787693750 |         0 |      0 |  1547870667 |      0 |      0 |         0 
 84553 Thread 19 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-1-5 |  1258000 |   434000 |   559016746 |  16503410899 |         0 |      0 |  1479967228 |      0 |      0 |         0 
 84554 Thread 20 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-1-6 |  1323000 |   406000 |   570021352 |  16864604032 |         0 |      0 |  1560957831 |      0 |      0 |         0 
 84555 Thread 21 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-1-7 |  1285000 |   400000 |   554946070 |  16435487512 |         0 |      0 |  1430889475 |      0 |      0 |         0 
 84556 Thread 22 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-1-8 |  1288000 |   380000 |   548279836 |  16269126164 |      1024 |      0 |  1502931806 |      0 |      0 |         0 
 84557 Thread 23 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-1-9 |  1211000 |   374000 |   520456102 |  15460659305 |         0 |      0 |  1606955058 |      0 |      0 |         0 
 84558 Thread 24 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-1-10 |  1334000 |   396000 |   569212828 |  16875176184 |         0 |      0 |  1536458916 |      0 |      0 |         0 
 84559 Thread 25 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-1-11 |  1343000 |   385000 |   568523164 |  16854730821 |     35840 |      0 |  1822464489 |      0 |      0 |         0 
 84560 Thread 26 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-1-12 |  1293000 |   434000 |   568637910 |  16844093914 |    117760 |      0 |  1556317510 |      0 |      0 |         0 
 84561 Thread 27 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-1-13 |  1180000 |   423000 |   527500535 |  15635372602 |         0 |      0 |  1458734348 | 571783 |      0 |         0 
 84562 Thread 28 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-1-14 |  1289000 |   426000 |   562238246 |  16724612844 |      1024 |      0 |  1577657864 |      0 |      0 |         0 
 84563 Thread 29 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-1-15 |  1255000 |   432000 |   556877906 |  16456435746 |         0 |      0 |  1666346379 |      0 |      0 |         0 
 84564 Thread 30 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-1-16 |  1337000 |   390000 |   569967203 |  16844830063 |         0 |      0 |  1635711412 |      0 |      0 |         0 
 84565 Thread 31 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-1-17 |  1253000 |   364000 |   531796403 |  15772331821 |      1024 |      0 |  1517773618 |      0 |      0 |         0 
 84566 Thread 32 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-1-18 |  1206000 |   413000 |   533917871 |  15793085430 |         0 |      0 |  1536131318 |      0 |      0 |         0 
 84567 Thread 33 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-1-19 |  1260000 |   407000 |   548960067 |  16260278118 |      2048 |      0 |  1499445663 |      0 |      0 |         0 
 84568 Thread 34 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-2-0 |  1202000 |   438000 |   544244363 |  15998307782 |      4096 |      0 |  1515005344 |      0 |      0 |         0 
 84569 Thread 35 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-2-1 |  1297000 |   400000 |   562628758 |  16554684645 |         0 |      0 |  1708479921 |      0 |      0 |         0 
 84570 Thread 36 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-2-2 |  1226000 |   378000 |   532042262 |  15647189950 |         0 |      0 |  1556586819 |      0 |      0 |         0 
 84571 Thread 37 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-2-3 |  1270000 |   446000 |   569063269 |  16740014551 |         0 |      0 |  1719687855 |      0 |      0 |         0 
 84572 Thread 38 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-2-4 |  1175000 |   413000 |   525215809 |  15491663176 |         0 |      0 |  1493378194 |      0 |      0 |         0 
 84573 Thread 39 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-2-5 |  1188000 |   409000 |   529220547 |  15579453825 |         0 |      0 |  1638602199 |      0 |      0 |         0 
 84574 Thread 40 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-2-6 |  1219000 |   421000 |   542832859 |  15999264875 |         0 |      0 |  1481456626 |      0 |      0 |         0 
 84575 Thread 41 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-2-7 |  1168000 |   399000 |   519063090 |  15286913258 |         0 |      0 |  1663810287 |      0 |      0 |         0 
 84576 Thread 42 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-2-8 |  1216000 |   431000 |   546256426 |  16067289547 |         0 |      0 |  1590063844 |      0 |      0 |         0 
 84577 Thread 43 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-2-9 |  1286000 |   434000 |   569651934 |  16779460625 |         0 |      0 |  1536280907 |      0 |      0 |         0 
 84578 Thread 44 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-2-10 |  1245000 |   421000 |   551427402 |  16252839137 |         0 |      0 |  1598496872 |      0 |      0 |         0 
 84579 Thread 45 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-2-11 |  1325000 |   381000 |   565933473 |  16642522571 |         0 |      0 |  1693940167 |      0 |      0 |         0 
 84580 Thread 46 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-2-12 |  1246000 |   384000 |   540139492 |  15901167723 |         0 |      0 |  1743388099 |      0 |      0 |         0 
 84581 Thread 47 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-2-13 |  1250000 |   409000 |   550945059 |  16184312719 |         0 |      0 |  1648612653 |      0 |      0 |         0 
 84582 Thread 48 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-2-14 |  1266000 |   377000 |   542723012 |  16028259278 |         0 |      0 |  1595127032 |      0 |      0 |         0 
 84583 Thread 49 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-2-15 |  1230000 |   423000 |   547666266 |  16125798145 |         0 |      0 |  1702899064 |      0 |      0 |         0 
 84584 Thread 50 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-2-16 |  1229000 |   404000 |   541447695 |  15930489516 |         0 |      0 |  1752995883 |      0 |      0 |         0 
 84585 Thread 51 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-2-17 |  1153000 |   391000 |   511803653 |  15062079079 |         0 |      0 |  1544308185 |      0 |      0 |         0 
 84586 Thread 52 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-2-18 |  1288000 |   427000 |   569481062 |  16730617289 |      1024 |      0 |  1610765154 |      0 |      0 |         0 
 84587 Thread 53 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-2-19 |  1178000 |   425000 |   531198735 |  15638236829 |         0 |      0 |  1571430534 |      0 |      0 |         0 
 84588 Thread 54 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-0-0 |  1145000 |   392000 |   511668672 |  14994226751 |  10831872 |      0 |  1523046568 |      0 |      0 |         0 
 84589 Thread 55 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-0-1 |  1224000 |   407000 |   543453875 |  15911117727 |         0 |      0 |  1482844182 |      0 |      0 |         0 
 84590 Thread 56 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-0-2 |  1223000 |   394000 |   537602645 |  15774282786 |         0 |      0 |  1408147050 |      0 |      0 |         0 
 84591 Thread 57 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-0-3 |  1200000 |   417000 |   537483696 |  15774455485 |         0 |      0 |  1457147169 |      0 |      0 |         0 
 84592 Thread 58 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-0-4 |  1282000 |   423000 |   566966691 |  16632877891 |         0 |      0 |  1546055929 |      0 |      0 |         0 
 84593 Thread 59 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-0-5 |  1273000 |   424000 |   565217664 |  16554969266 |         0 |      0 |  1430436383 |      0 |      0 |         0 
 84594 Thread 60 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-0-6 |  1243000 |   390000 |   542910274 |  15930250751 |         0 |      0 |  1499166821 |      0 |      0 |         0 
 84595 Thread 61 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-0-7 |  1230000 |   441000 |   556024297 |  16301304602 |         0 |      0 |  1553603275 |      0 |      0 |         0 
 84596 Thread 62 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-0-8 |  1225000 |   467000 |   564220504 |  16506061348 |         0 |      0 |  1561497252 |      0 |      0 |         0 
 84597 Thread 63 - PartitionProcessorThre...6fe-9f72-c1ce2580a0e5-0-9 |  1247000 |   433000 |   559084227 |  16389221153 |      3072 |      0 |  1521976658 |      0 |      0 |         0 
 84598 Thread 64 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-0-10 |  1248000 |   394000 |   546021203 |  16018090454 |         0 |      0 |  1401932365 |      0 |      0 |         0 
 84599 Thread 65 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-0-11 |  1180000 |   385000 |   520368965 |  15267405442 |         0 |      0 |  1395803032 |      0 |      0 |         0 
 84600 Thread 66 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-0-12 |  1176000 |   400000 |   523433485 |  15374449172 |         0 |      0 |  1457489088 |      0 |      0 |         0 
 84601 Thread 67 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-0-13 |  1221000 |   400000 |   538771188 |  15813440067 |         0 |      0 |  1424206698 |      0 |      0 |         0 
 84602 Thread 68 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-0-14 |  1166000 |   417000 |   526829836 |  15442795540 |         0 |      0 |  1453600137 |      0 |      0 |         0 
 84603 Thread 69 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-0-15 |  1233000 |   415000 |   546816211 |  16076633016 |         0 |      0 |  1460844524 |      0 |      0 |         0 
 84604 Thread 70 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-0-16 |  1183000 |   416000 |   531862633 |  15599009598 |         0 |      0 |  1601796797 |      0 |      0 |         0 
 84605 Thread 71 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-0-17 |  1253000 |   405000 |   552281121 |  16174698723 |         0 |      0 |  1480780141 |      0 |      0 |         0 
 84606 Thread 72 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-0-18 |  1256000 |   410000 |   553427223 |  16252353649 |         0 |      0 |  1436141943 |      0 |      0 |         0 
 84607 Thread 73 - PartitionProcessorThre...fe-9f72-c1ce2580a0e5-0-19 |  1186000 |   440000 |   540528403 |  15862453641 |         0 |      0 |  1511672424 |      0 |      0 |         0 
 84989 Thread 74 - process reaper                                     |     2000 |     1000 |     1058648 |     29349718 |      2048 |      0 |           0 |      0 |      0 |         0 
 84995 Thread 75 - Attach Listener                                    |   372000 |    89000 |   156482229 |   4504977503 |   5304320 | 119808 |     2124284 |      0 |      0 |         0 
