                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 126146 Thread 1 - main                                                |   584000 |   101000 |    41603705 |   5180053076 |  21055488 |   1024 |     3954769 |       0 |      0 |         0 
 126168 Thread 2 - Reference Handler                                   |     6000 |        0 |      608273 |     46605421 |         0 |      0 |      818166 |       0 |      0 |         0 
 126169 Thread 3 - Finalizer                                           |     7000 |     1000 |      723339 |     61365105 |      5120 |      0 |       97991 |       0 |      0 |         0 
 126170 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 126171 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      310363 |      9756035 |         0 |      0 |           0 |       0 |      0 |         0 
 126182 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28352000 | 29489000 | 17576986752 | 562963810692 | 585543680 | 134144 | 17672402506 |  130244 |      0 |         0 
 126183 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   183000 |    39000 |    67629022 |   2164821741 |   6350848 |   5120 |    45371834 |  192780 |      0 |         0 
 126186 Thread 14 - PartitionProcessorThre...c0a-b613-35f940e8411d-0-0 |  1224000 |   381000 |   489011223 |  15649649368 |      2048 |      0 |  1490367243 |       0 |      0 |         0 
 126187 Thread 15 - PartitionProcessorThre...c0a-b613-35f940e8411d-0-1 |  1169000 |   421000 |   482023113 |  15495349856 |     33792 |      0 |  1486981167 |       0 |      0 |         0 
 126188 Thread 16 - PartitionProcessorThre...c0a-b613-35f940e8411d-0-2 |  1161000 |   381000 |   470552480 |  15041176243 |         0 |      0 |  1509601034 |       0 |      0 |         0 
 126189 Thread 17 - PartitionProcessorThre...c0a-b613-35f940e8411d-0-3 |  1199000 |   391000 |   484084957 |  15504157313 |         0 |      0 |  1558844575 |       0 |      0 |         0 
 126190 Thread 18 - PartitionProcessorThre...c0a-b613-35f940e8411d-0-4 |  1180000 |   394000 |   478031070 |  15342398844 |      1024 |      0 |  1396767769 |       0 |      0 |         0 
 126191 Thread 19 - PartitionProcessorThre...c0a-b613-35f940e8411d-0-5 |  1173000 |   413000 |   482269453 |  15463642536 |    121856 |      0 |  1322275941 |       0 |      0 |         0 
 126192 Thread 20 - PartitionProcessorThre...c0a-b613-35f940e8411d-0-6 |  1144000 |   378000 |   463823316 |  14844026723 |         0 |      0 |  1593701127 |       0 |      0 |         0 
 126193 Thread 21 - PartitionProcessorThre...c0a-b613-35f940e8411d-0-7 |  1196000 |   439000 |   497314820 |  15944955450 |         0 |      0 |  1183692561 |       0 |      0 |         0 
 126194 Thread 22 - PartitionProcessorThre...c0a-b613-35f940e8411d-0-8 |  1223000 |   364000 |   482708148 |  15475045395 |      1024 |      0 |  1220404466 |       0 |      0 |         0 
 126195 Thread 23 - PartitionProcessorThre...c0a-b613-35f940e8411d-0-9 |  1225000 |   396000 |   495492410 |  15812101805 |         0 |      0 |  1403303907 |       0 |      0 |         0 
 126196 Thread 24 - PartitionProcessorThre...0a-b613-35f940e8411d-0-10 |  1203000 |   386000 |   483073824 |  15500096809 |         0 |      0 |  1361580912 |       0 |      0 |         0 
