                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 65102 Thread 1 - main                                                |   623000 |    92000 |    43629689 |   5410282021 |  21197824 |   1024 |     4337694 |      0 |      0 |         0 
 65124 Thread 2 - Reference Handler                                   |     5000 |        0 |      512074 |     38906894 |         0 |      0 |      201079 |      0 |      0 |         0 
 65125 Thread 3 - Finalizer                                           |     4000 |     1000 |      485054 |     38768886 |     10240 |      0 |      959814 |      0 |      0 |         0 
 65126 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        5629 |      0 |      0 |         0 
 65127 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      297953 |      9755039 |         0 |      0 |       16475 |      0 |      0 |         0 
 65135 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 31821000 | 33789000 | 19316142992 | 639024115536 | 636865536 | 128000 | 19879533854 |  97403 |      0 |         0 
 65137 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   180000 |    52000 |    67546690 |   2260459007 |   6118400 |   5120 |    55041776 | 388231 |      0 |         0 
 65140 Thread 14 - PartitionProcessorThre...904-81df-d224d28b855e-0-0 |  1260000 |   499000 |   516960676 |  17158013714 |     34816 |      0 |  1445755746 |      0 |      0 |         0 
 65141 Thread 15 - PartitionProcessorThre...904-81df-d224d28b855e-0-1 |  1198000 |   489000 |   497139403 |  16458258156 |         0 |      0 |  1335961221 |      0 |      0 |         0 
 65142 Thread 16 - PartitionProcessorThre...904-81df-d224d28b855e-0-2 |  1312000 |   436000 |   513590196 |  17052557066 |      6144 |      0 |  1294502227 |      0 |      0 |         0 
 65143 Thread 17 - PartitionProcessorThre...904-81df-d224d28b855e-0-3 |  1249000 |   501000 |   515200496 |  17071112187 |      3072 |      0 |  1426237625 |      0 |      0 |         0 
 65144 Thread 18 - PartitionProcessorThre...904-81df-d224d28b855e-0-4 |  1273000 |   477000 |   514378618 |  17073324289 |         0 |      0 |  1556429782 |      0 |      0 |         0 
 65145 Thread 19 - PartitionProcessorThre...904-81df-d224d28b855e-0-5 |  1298000 |   494000 |   527342520 |  17483084570 |     43008 |      0 |  1439485249 |      0 |      0 |         0 
 65146 Thread 20 - PartitionProcessorThre...904-81df-d224d28b855e-0-6 |  1295000 |   442000 |   511885551 |  16948204984 |         0 |      0 |  1375410273 |      0 |      0 |         0 
 65147 Thread 21 - PartitionProcessorThre...904-81df-d224d28b855e-0-7 |  1182000 |   510000 |   498286001 |  16509950046 |         0 |      0 |  1364511123 |      0 |      0 |         0 
 65148 Thread 22 - PartitionProcessorThre...904-81df-d224d28b855e-0-8 |  1235000 |   440000 |   492182235 |  16343021828 |         0 |      0 |  1446876318 |      0 |      0 |         0 
 65149 Thread 23 - PartitionProcessorThre...904-81df-d224d28b855e-0-9 |  1228000 |   429000 |   486129047 |  16167089277 |         0 |      0 |  1398717516 |      0 |      0 |         0 
 65150 Thread 24 - PartitionProcessorThre...04-81df-d224d28b855e-0-10 |  1307000 |   476000 |   524205836 |  17392887581 |         0 |      0 |  1401597002 |      0 |      0 |         0 
 65151 Thread 25 - PartitionProcessorThre...04-81df-d224d28b855e-0-11 |  1264000 |   482000 |   513948610 |  17033107441 |         0 |      0 |  1359249486 |      0 |      0 |         0 
 65152 Thread 26 - PartitionProcessorThre...04-81df-d224d28b855e-0-12 |  1349000 |   436000 |   525185594 |  17416074898 |         0 |      0 |  1403064046 |      0 |      0 |         0 
 65153 Thread 27 - PartitionProcessorThre...04-81df-d224d28b855e-0-13 |  1274000 |   513000 |   526148242 |  17436333835 |      1024 |      0 |  1341106302 |      0 |      0 |         0 
 65154 Thread 28 - PartitionProcessorThre...04-81df-d224d28b855e-0-14 |  1252000 |   440000 |   495489090 |  16503926035 |    118784 |      0 |  1408005974 |      0 |      0 |         0 
 65155 Thread 29 - PartitionProcessorThre...04-81df-d224d28b855e-0-15 |  1233000 |   448000 |   493809399 |  16400583750 |         0 |      0 |  1478553344 |      0 |      0 |         0 
 65156 Thread 30 - PartitionProcessorThre...04-81df-d224d28b855e-0-16 |  1295000 |   431000 |   507290969 |  16840488285 |         0 |      0 |  1422458455 |      0 |      0 |         0 
 65157 Thread 31 - PartitionProcessorThre...04-81df-d224d28b855e-0-17 |  1310000 |   480000 |   526051996 |  17464302742 |         0 |      0 |  1504465666 |      0 |      0 |         0 
 65158 Thread 32 - PartitionProcessorThre...04-81df-d224d28b855e-0-18 |  1162000 |   497000 |   488370352 |  16187955586 |         0 |      0 |  1416778955 |      0 |      0 |         0 
 65159 Thread 33 - PartitionProcessorThre...04-81df-d224d28b855e-0-19 |  1266000 |   402000 |   491224368 |  16274243047 |         0 |      0 |  1302908461 |      0 |      0 |         0 
 65160 Thread 34 - PartitionProcessorThre...904-81df-d224d28b855e-2-0 |  1300000 |   461000 |   521076309 |  17183358363 |         0 |      0 |  1294323516 |      0 |      0 |         0 
 65161 Thread 35 - PartitionProcessorThre...904-81df-d224d28b855e-2-1 |  1277000 |   469000 |   514917563 |  17037083734 |         0 |      0 |  1401213686 |      0 |      0 |         0 
 65162 Thread 36 - PartitionProcessorThre...904-81df-d224d28b855e-2-2 |  1223000 |   476000 |   501397539 |  16578508546 |         0 |      0 |  1305151894 |      0 |      0 |         0 
 65163 Thread 37 - PartitionProcessorThre...904-81df-d224d28b855e-2-3 |  1320000 |   441000 |   520448852 |  17183269269 |         0 |      0 |  1350359853 |      0 |      0 |         0 
 65164 Thread 38 - PartitionProcessorThre...904-81df-d224d28b855e-2-4 |  1339000 |   499000 |   541451461 |  17934690062 |         0 |      0 |  1394243701 |      0 |      0 |         0 
 65165 Thread 39 - PartitionProcessorThre...904-81df-d224d28b855e-2-5 |  1228000 |   457000 |   497455809 |  16441867765 |         0 |      0 |  1407665980 |      0 |      0 |         0 
 65166 Thread 40 - PartitionProcessorThre...904-81df-d224d28b855e-2-6 |  1240000 |   433000 |   494797735 |  16325132593 |         0 |      0 |  1431306271 |      0 |      0 |         0 
 65167 Thread 41 - PartitionProcessorThre...904-81df-d224d28b855e-2-7 |  1287000 |   524000 |   534890793 |  17672202273 |         0 |      0 |  1613073312 |      0 |      0 |         0 
 65168 Thread 42 - PartitionProcessorThre...904-81df-d224d28b855e-2-8 |  1309000 |   452000 |   518411750 |  17183201531 |         0 |      0 |  1436896352 |      0 |      0 |         0 
 65169 Thread 43 - PartitionProcessorThre...904-81df-d224d28b855e-2-9 |  1260000 |   417000 |   495841118 |  16364561800 |         0 |      0 |  1275841441 |      0 |      0 |         0 
 65170 Thread 44 - PartitionProcessorThre...04-81df-d224d28b855e-2-10 |  1249000 |   424000 |   494256848 |  16325116797 |         0 |      0 |  1280684156 |      0 |      0 |         0 
 65171 Thread 45 - PartitionProcessorThre...04-81df-d224d28b855e-2-11 |  1200000 |   423000 |   479019157 |  15836715336 |         0 |      0 |  1441213775 |      0 |      0 |         0 
