                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 1896 Thread 1 - main                                                |   580000 |    84000 |    41336721 |   5033139056 |  21203968 |   1024 |     5791473 |      0 |      0 |         0 
 1918 Thread 2 - Reference Handler                                   |     5000 |        0 |      493484 |     38768886 |         0 |      0 |     1986756 |      0 |      0 |         0 
 1919 Thread 3 - Finalizer                                           |     6000 |        0 |      579562 |     46467460 |      5120 |      0 |      869703 |      0 |      0 |         0 
 1920 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 1921 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      314796 |      9755039 |         0 |      0 |           0 |      0 |      0 |         0 
 1930 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29180000 | 32875000 | 19256723997 | 604322038204 | 637040640 | 125952 | 19752476443 |  81490 |      0 |         0 
 1932 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   173000 |    48000 |    67633667 |   2151836780 |   5993472 |   4096 |    34109983 | 272923 |      0 |         0 
 1936 Thread 14 - PartitionProcessorThre...7f9-92c8-27b492648d1c-1-0 |  1320000 |   453000 |   547604008 |  17286186871 |     36864 |      0 |  1495330992 |      0 |      0 |         0 
 1937 Thread 15 - PartitionProcessorThre...7f9-92c8-27b492648d1c-1-1 |  1320000 |   474000 |   555734860 |  17502738023 |         0 |      0 |  1716853718 |      0 |      0 |         0 
 1938 Thread 16 - PartitionProcessorThre...7f9-92c8-27b492648d1c-1-2 |  1267000 |   494000 |   541431368 |  17170893675 |    121856 |      0 |  1594081406 |      0 |      0 |         0 
 1939 Thread 17 - PartitionProcessorThre...7f9-92c8-27b492648d1c-1-3 |  1220000 |   447000 |   515619317 |  16259614277 |         0 |      0 |  1488721156 |      0 |      0 |         0 
 1940 Thread 18 - PartitionProcessorThre...7f9-92c8-27b492648d1c-1-4 |  1357000 |   456000 |   561047735 |  17687386679 |         0 |      0 |  1580396355 |      0 |      0 |         0 
 1941 Thread 19 - PartitionProcessorThre...7f9-92c8-27b492648d1c-1-5 |  1218000 |   443000 |   514681727 |  16205878093 |         0 |      0 |  1519759436 |      0 |      0 |         0 
 1942 Thread 20 - PartitionProcessorThre...7f9-92c8-27b492648d1c-1-6 |  1340000 |   451000 |   553938165 |  17473720261 |         0 |      0 |  1464811317 |      0 |      0 |         0 
 1945 Thread 21 - PartitionProcessorThre...7f9-92c8-27b492648d1c-1-7 |  1292000 |   466000 |   545205969 |  17154139445 |         0 |      0 |  1556053048 |      0 |      0 |         0 
 1946 Thread 22 - PartitionProcessorThre...7f9-92c8-27b492648d1c-1-8 |  1326000 |   458000 |   553202770 |  17405147527 |         0 |      0 |  1307689304 |      0 |      0 |         0 
 1947 Thread 23 - PartitionProcessorThre...7f9-92c8-27b492648d1c-1-9 |  1271000 |   411000 |   520281274 |  16410640804 |         0 |      0 |  1546848399 |      0 |      0 |         0 
 1948 Thread 24 - PartitionProcessorThre...f9-92c8-27b492648d1c-1-10 |  1277000 |   419000 |   523977884 |  16547481371 |         0 |      0 |  1554620363 |      0 |      0 |         0 
 1949 Thread 25 - PartitionProcessorThre...f9-92c8-27b492648d1c-1-11 |  1347000 |   457000 |   559082876 |  17599207781 |      4096 |      0 |  1635187395 |      0 |      0 |         0 
 1950 Thread 26 - PartitionProcessorThre...f9-92c8-27b492648d1c-1-12 |  1421000 |   475000 |   584627747 |  18498489034 |         0 |      0 |  1366675181 |      0 |      0 |         0 
 1951 Thread 27 - PartitionProcessorThre...f9-92c8-27b492648d1c-1-13 |  1316000 |   482000 |   556336747 |  17542135101 |         0 |      0 |  1464255440 |      0 |      0 |         0 
 1952 Thread 28 - PartitionProcessorThre...f9-92c8-27b492648d1c-1-14 |  1391000 |   458000 |   572285168 |  18041609671 |         0 |      0 |  1580080831 |      0 |      0 |         0 
 1953 Thread 29 - PartitionProcessorThre...f9-92c8-27b492648d1c-1-15 |  1297000 |   441000 |   536020219 |  16956155960 |         0 |      0 |  1539795104 |      0 |      0 |         0 
 1954 Thread 30 - PartitionProcessorThre...f9-92c8-27b492648d1c-1-16 |  1339000 |   447000 |   549399969 |  17423896097 |     14336 |      0 |  1419002975 |      0 |      0 |         0 
 1955 Thread 31 - PartitionProcessorThre...f9-92c8-27b492648d1c-1-17 |  1394000 |   516000 |   589061344 |  18636186269 |      1024 |      0 |  1514134038 |      0 |      0 |         0 
 1956 Thread 32 - PartitionProcessorThre...f9-92c8-27b492648d1c-1-18 |  1289000 |   431000 |   531451052 |  16780984816 |         0 |      0 |  1461361291 |      0 |      0 |         0 
 1957 Thread 33 - PartitionProcessorThre...f9-92c8-27b492648d1c-1-19 |  1264000 |   450000 |   530418098 |  16722767660 |     24576 |      0 |  1567740857 |      0 |      0 |         0 
 1958 Thread 34 - PartitionProcessorThre...7f9-92c8-27b492648d1c-0-0 |  1265000 |   442000 |   532780973 |  16656463976 |         0 |      0 |  1559772410 |      0 |      0 |         0 
 1959 Thread 35 - PartitionProcessorThre...7f9-92c8-27b492648d1c-0-1 |  1253000 |   413000 |   520106059 |  16256745543 |         0 |      0 |  1427471439 |      0 |      0 |         0 
 1960 Thread 36 - PartitionProcessorThre...7f9-92c8-27b492648d1c-0-2 |  1272000 |   464000 |   539966012 |  16938703875 |         0 |      0 |  1525927275 |      0 |      0 |         0 
 1961 Thread 37 - PartitionProcessorThre...7f9-92c8-27b492648d1c-0-3 |  1251000 |   481000 |   541209430 |  16900298214 |         0 |      0 |  1338560587 |      0 |      0 |         0 
 1962 Thread 38 - PartitionProcessorThre...7f9-92c8-27b492648d1c-0-4 |  1264000 |   444000 |   532933731 |  16666635711 |         0 |      0 |  1418850938 |      0 |      0 |         0 
 1963 Thread 39 - PartitionProcessorThre...7f9-92c8-27b492648d1c-0-5 |  1251000 |   483000 |   541124231 |  16919989992 |         0 |      0 |  1514821096 |      0 |      0 |         0 
 1964 Thread 40 - PartitionProcessorThre...7f9-92c8-27b492648d1c-0-6 |  1251000 |   487000 |   541816235 |  16959842574 |      3072 |      0 |  1523268765 |      0 |      0 |         0 
 1965 Thread 41 - PartitionProcessorThre...7f9-92c8-27b492648d1c-0-7 |  1306000 |   399000 |   532003997 |  16637310980 |         0 |      0 |  1583274498 |      0 |      0 |         0 
 1966 Thread 42 - PartitionProcessorThre...7f9-92c8-27b492648d1c-0-8 |  1212000 |   430000 |   511742450 |  16022060136 |         0 |      0 |  1445534675 |      0 |      0 |         0 
 1967 Thread 43 - PartitionProcessorThre...7f9-92c8-27b492648d1c-0-9 |  1285000 |   498000 |   554209618 |  17398705652 |         0 |      0 |  1523207202 |      0 |      0 |         0 
 1968 Thread 44 - PartitionProcessorThre...f9-92c8-27b492648d1c-0-10 |  1314000 |   476000 |   558089622 |  17466757933 |         0 |      0 |  1476307695 |      0 |      0 |         0 
 1969 Thread 45 - PartitionProcessorThre...f9-92c8-27b492648d1c-0-11 |  1307000 |   475000 |   556099926 |  17388446777 |         0 |      0 |  1428277742 |      0 |      0 |         0 
 1970 Thread 46 - PartitionProcessorThre...f9-92c8-27b492648d1c-0-12 |  1189000 |   470000 |   518298755 |  16188314355 |         0 |      0 |  1506653361 |      0 |      0 |         0 
 1971 Thread 47 - PartitionProcessorThre...f9-92c8-27b492648d1c-0-13 |  1245000 |   469000 |   534587598 |  16725333859 |      1024 |      0 |  1571371166 |      0 |      0 |         0 
 1972 Thread 48 - PartitionProcessorThre...f9-92c8-27b492648d1c-0-14 |  1274000 |   446000 |   536148216 |  16783361875 |         0 |      0 |  1486251980 |      0 |      0 |         0 
 1973 Thread 49 - PartitionProcessorThre...f9-92c8-27b492648d1c-0-15 |  1235000 |   475000 |   533932235 |  16686766371 |         0 |      0 |  1559996574 |      0 |      0 |         0 
 1974 Thread 50 - PartitionProcessorThre...f9-92c8-27b492648d1c-0-16 |  1276000 |   451000 |   537929614 |  16851552757 |         0 |      0 |  1565447692 |      0 |      0 |         0 
 1975 Thread 51 - PartitionProcessorThre...f9-92c8-27b492648d1c-0-17 |  1287000 |   438000 |   536926927 |  16832205511 |         0 |      0 |  1441545168 |      0 |      0 |         0 
 1976 Thread 52 - PartitionProcessorThre...f9-92c8-27b492648d1c-0-18 |  1247000 |   418000 |   519813481 |  16247126890 |         0 |      0 |  1337979671 |      0 |      0 |         0 
 1977 Thread 53 - PartitionProcessorThre...f9-92c8-27b492648d1c-0-19 |  1277000 |   402000 |   525059720 |  16383688179 |         0 |      0 |  1675889515 |      0 |      0 |         0 
 1978 Thread 54 - PartitionProcessorThre...7f9-92c8-27b492648d1c-2-0 |  1319000 |   461000 |   556478036 |  17369530870 |         0 |      0 |  1576845067 |      0 |      0 |         0 
 1979 Thread 55 - PartitionProcessorThre...7f9-92c8-27b492648d1c-2-1 |  1301000 |   455000 |   549424399 |  17135419312 |         0 |      0 |  1472637813 |      0 |      0 |         0 
