                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 162887 Thread 1 - main                                                |   581000 |    85000 |    41102240 |   5055316322 |  21203968 |   1024 |     3069547 |       0 |      0 |         0 
 162910 Thread 2 - Reference Handler                                   |     5000 |     1000 |      760492 |     48521703 |         0 |      0 |       58184 |       0 |      0 |         0 
 162911 Thread 3 - Finalizer                                           |     4000 |        0 |      376933 |     30932304 |      5120 |      0 |     2176016 |       0 |      0 |         0 
 162912 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 162913 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 162921 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 25962000 | 29595000 | 17092085439 | 540755124703 | 586795008 | 124928 | 15976504724 |  182006 |      0 |         0 
 162922 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   185000 |    50000 |    72223851 |   2291324698 |   4911104 |   4096 |    29202956 |  294362 |      0 |         0 
 162926 Thread 14 - PartitionProcessorThre...edd-bcc0-d67b616ba222-0-0 |  1251000 |   388000 |   497245328 |  15967563843 |     35840 |      0 |  1510718271 |       0 |      0 |         0 
 162927 Thread 15 - PartitionProcessorThre...edd-bcc0-d67b616ba222-0-1 |  1248000 |   422000 |   507015636 |  16279280808 |    117760 |      0 |  1599220313 |       0 |      0 |         0 
 162928 Thread 16 - PartitionProcessorThre...edd-bcc0-d67b616ba222-0-2 |  1271000 |   410000 |   511087023 |  16393379238 |      5120 |      0 |  1493272579 |       0 |      0 |         0 
 162929 Thread 17 - PartitionProcessorThre...edd-bcc0-d67b616ba222-0-3 |  1220000 |   385000 |   491456652 |  15654585422 |         0 |      0 |  1506806243 |       0 |      0 |         0 
 162930 Thread 18 - PartitionProcessorThre...edd-bcc0-d67b616ba222-0-4 |  1308000 |   408000 |   525500335 |  16739968605 |         0 |      0 |  1519854445 |       0 |      0 |         0 
 162931 Thread 19 - PartitionProcessorThre...edd-bcc0-d67b616ba222-0-5 |  1268000 |   401000 |   511520148 |  16280890484 |         0 |      0 |  1635888594 |       0 |      0 |         0 
 162932 Thread 20 - PartitionProcessorThre...edd-bcc0-d67b616ba222-0-6 |  1260000 |   435000 |   516736097 |  16534738398 |         0 |      0 |  1652289303 |       0 |      0 |         0 
 162933 Thread 21 - PartitionProcessorThre...edd-bcc0-d67b616ba222-0-7 |  1235000 |   402000 |   500848218 |  15967760734 |         0 |      0 |  1544048176 |       0 |      0 |         0 
 162934 Thread 22 - PartitionProcessorThre...edd-bcc0-d67b616ba222-0-8 |  1233000 |   386000 |   493147230 |  15791986004 |         0 |      0 |  1489450067 |       0 |      0 |         0 
 162935 Thread 23 - PartitionProcessorThre...edd-bcc0-d67b616ba222-0-9 |  1163000 |   430000 |   487028984 |  15537266996 |         0 |      0 |  1434423035 |       0 |      0 |         0 
 162936 Thread 24 - PartitionProcessorThre...dd-bcc0-d67b616ba222-0-10 |  1245000 |   384000 |   497722367 |  15887927047 |         0 |      0 |  1483895489 |       0 |      0 |         0 
 162937 Thread 25 - PartitionProcessorThre...dd-bcc0-d67b616ba222-0-11 |  1235000 |   399000 |   496984964 |  15937233539 |         0 |      0 |  1539715070 |       0 |      0 |         0 
 162938 Thread 26 - PartitionProcessorThre...dd-bcc0-d67b616ba222-0-12 |  1255000 |   387000 |   498766370 |  16015584207 |         0 |      0 |  1437039665 |       0 |      0 |         0 
 162939 Thread 27 - PartitionProcessorThre...dd-bcc0-d67b616ba222-0-13 |  1189000 |   393000 |   485357835 |  15429734476 |         0 |      0 |  1597140606 |       0 |      0 |         0 
 162940 Thread 28 - PartitionProcessorThre...dd-bcc0-d67b616ba222-0-14 |  1202000 |   427000 |   498458503 |  15889174422 |         0 |      0 |  1429733463 |       0 |      0 |         0 
 162941 Thread 29 - PartitionProcessorThre...dd-bcc0-d67b616ba222-0-15 |  1205000 |   377000 |   481410261 |  15430107426 |         0 |      0 |  1495200312 |       0 |      0 |         0 
 162942 Thread 30 - PartitionProcessorThre...dd-bcc0-d67b616ba222-0-16 |  1179000 |   422000 |   485962015 |  15614728453 |     30720 |      0 |  1558235148 |       0 |      0 |         0 
 162943 Thread 31 - PartitionProcessorThre...dd-bcc0-d67b616ba222-0-17 |  1179000 |   433000 |   488339335 |  15723528449 |         0 |      0 |  1389651887 |       0 |      0 |         0 
 162944 Thread 32 - PartitionProcessorThre...dd-bcc0-d67b616ba222-0-18 |  1232000 |   402000 |   499104644 |  15937050265 |     11264 |      0 |  1684305422 |       0 |      0 |         0 
 162945 Thread 33 - PartitionProcessorThre...dd-bcc0-d67b616ba222-0-19 |  1240000 |   449000 |   515591636 |  16474696539 |         0 |      0 |  1485890776 |       0 |      0 |         0 
 162946 Thread 34 - PartitionProcessorThre...edd-bcc0-d67b616ba222-2-0 |  1153000 |   397000 |   478394589 |  15119741199 |         0 |      0 |  1318531921 |       0 |      0 |         0 
 162947 Thread 35 - PartitionProcessorThre...edd-bcc0-d67b616ba222-2-1 |  1164000 |   379000 |   476469675 |  15052712828 |         0 |      0 |  1365559733 |       0 |      0 |         0 
 162948 Thread 36 - PartitionProcessorThre...edd-bcc0-d67b616ba222-2-2 |  1159000 |   412000 |   486488652 |  15326084187 |         0 |      0 |  1655950953 |       0 |      0 |         0 
 162949 Thread 37 - PartitionProcessorThre...edd-bcc0-d67b616ba222-2-3 |  1199000 |   385000 |   489027839 |  15452559402 |      1024 |      0 |  1583337946 |       0 |      0 |         0 
 162950 Thread 38 - PartitionProcessorThre...edd-bcc0-d67b616ba222-2-4 |  1168000 |   408000 |   487111136 |  15374363824 |         0 |      0 |  1447806798 |       0 |      0 |         0 
 162951 Thread 39 - PartitionProcessorThre...edd-bcc0-d67b616ba222-2-5 |  1159000 |   379000 |   474945214 |  15003870039 |         0 |      0 |  1364497396 |       0 |      0 |         0 
 162952 Thread 40 - PartitionProcessorThre...edd-bcc0-d67b616ba222-2-6 |  1259000 |   361000 |   500028433 |  15803788097 |         0 |      0 |  1323904336 |       0 |      0 |         0 
 162953 Thread 41 - PartitionProcessorThre...edd-bcc0-d67b616ba222-2-7 |  1170000 |   390000 |   483433750 |  15218799207 |         0 |      0 |  1324941599 | 1581376 |      0 |         0 
 162954 Thread 42 - PartitionProcessorThre...edd-bcc0-d67b616ba222-2-8 |  1214000 |   392000 |   496626320 |  15667578801 |         0 |      0 |  1399937843 |       0 |      0 |         0 
 162955 Thread 43 - PartitionProcessorThre...edd-bcc0-d67b616ba222-2-9 |  1250000 |   360000 |   498066769 |  15706419910 |         0 |      0 |  1562189153 |       0 |      0 |         0 
 162956 Thread 44 - PartitionProcessorThre...dd-bcc0-d67b616ba222-2-10 |  1136000 |   420000 |   480916640 |  15179721644 |         0 |      0 |  1549256167 |       0 |      0 |         0 
 162957 Thread 45 - PartitionProcessorThre...dd-bcc0-d67b616ba222-2-11 |  1171000 |   386000 |   483256285 |  15189452578 |         0 |      0 |  1454108656 |       0 |      0 |         0 
 162958 Thread 46 - PartitionProcessorThre...dd-bcc0-d67b616ba222-2-12 |  1189000 |   404000 |   491392371 |  15540150515 |         0 |      0 |  1513820140 |       0 |      0 |         0 
 162959 Thread 47 - PartitionProcessorThre...dd-bcc0-d67b616ba222-2-13 |  1125000 |   408000 |   475266285 |  14955177312 |         0 |      0 |  1544346268 |       0 |      0 |         0 
 162960 Thread 48 - PartitionProcessorThre...dd-bcc0-d67b616ba222-2-14 |  1225000 |   403000 |   503759640 |  15881352699 |         0 |      0 |  1504754031 |       0 |      0 |         0 
 162961 Thread 49 - PartitionProcessorThre...dd-bcc0-d67b616ba222-2-15 |  1178000 |   427000 |   496115285 |  15657432594 |         0 |      0 |  1435265052 |       0 |      0 |         0 
 162962 Thread 50 - PartitionProcessorThre...dd-bcc0-d67b616ba222-2-16 |  1108000 |   418000 |   472890484 |  14886957777 |         0 |      0 |  1662195595 |       0 |      0 |         0 
 162963 Thread 51 - PartitionProcessorThre...dd-bcc0-d67b616ba222-2-17 |  1224000 |   376000 |   495560538 |  15608579015 |         0 |      0 |  1530153417 |       0 |      0 |         0 
 162964 Thread 52 - PartitionProcessorThre...dd-bcc0-d67b616ba222-2-18 |  1261000 |   385000 |   509360253 |  16057270457 |         0 |      0 |  1432092342 |       0 |      0 |         0 
 162965 Thread 53 - PartitionProcessorThre...dd-bcc0-d67b616ba222-2-19 |  1193000 |   402000 |   493601460 |  15559959363 |         0 |      0 |  1507974006 |       0 |      0 |         0 
 162966 Thread 54 - PartitionProcessorThre...edd-bcc0-d67b616ba222-1-0 |  1204000 |   387000 |   493128246 |  15521057211 |         0 |      0 |  1573310139 |       0 |      0 |         0 
 162967 Thread 55 - PartitionProcessorThre...edd-bcc0-d67b616ba222-1-1 |  1143000 |   384000 |   472618644 |  14896489461 |         0 |      0 |  1466407507 |       0 |      0 |         0 
 162968 Thread 56 - PartitionProcessorThre...edd-bcc0-d67b616ba222-1-2 |  1127000 |   369000 |   465103418 |  14594748148 |  10831872 |      0 |  1495005337 |       0 |      0 |         0 
 162969 Thread 57 - PartitionProcessorThre...edd-bcc0-d67b616ba222-1-3 |  1220000 |   427000 |   511998351 |  16067083468 |         0 |      0 |  1381317200 |       0 |      0 |         0 
 162970 Thread 58 - PartitionProcessorThre...edd-bcc0-d67b616ba222-1-4 |  1242000 |   414000 |   514470593 |  16154991863 |         0 |      0 |  1546971827 |       0 |      0 |         0 
 162971 Thread 59 - PartitionProcessorThre...edd-bcc0-d67b616ba222-1-5 |  1152000 |   456000 |   500105093 |  15686771195 |         0 |      0 |  1574061145 |       0 |      0 |         0 
 162972 Thread 60 - PartitionProcessorThre...edd-bcc0-d67b616ba222-1-6 |  1230000 |   407000 |   509292757 |  15969921883 |         0 |      0 |  1654963280 |       0 |      0 |         0 
 162973 Thread 61 - PartitionProcessorThre...edd-bcc0-d67b616ba222-1-7 |  1119000 |   372000 |   464569672 |  14545473262 |         0 |      0 |  1423339919 |       0 |      0 |         0 
 162974 Thread 62 - PartitionProcessorThre...edd-bcc0-d67b616ba222-1-8 |  1128000 |   384000 |   469806886 |  14750317934 |         0 |      0 |  1361818768 |       0 |      0 |         0 
 162975 Thread 63 - PartitionProcessorThre...edd-bcc0-d67b616ba222-1-9 |  1177000 |   450000 |   505342995 |  15871966051 |         0 |      0 |  1419399716 |       0 |      0 |         0 
 162976 Thread 64 - PartitionProcessorThre...dd-bcc0-d67b616ba222-1-10 |  1235000 |   430000 |   517671456 |  16242922082 |         0 |      0 |  1453010985 |       0 |      0 |         0 
 162977 Thread 65 - PartitionProcessorThre...dd-bcc0-d67b616ba222-1-11 |  1220000 |   404000 |   504533796 |  15842721879 |         0 |      0 |  1317525780 |       0 |      0 |         0 
 162978 Thread 66 - PartitionProcessorThre...dd-bcc0-d67b616ba222-1-12 |  1178000 |   414000 |   495270886 |  15531138746 |         0 |      0 |  1575727041 |       0 |      0 |         0 
 162979 Thread 67 - PartitionProcessorThre...dd-bcc0-d67b616ba222-1-13 |  1217000 |   410000 |   505888414 |  15872205457 |         0 |      0 |  1562465675 |       0 |      0 |         0 
 162980 Thread 68 - PartitionProcessorThre...dd-bcc0-d67b616ba222-1-14 |  1203000 |   402000 |   498664351 |  15657617082 |         0 |      0 |  1366952692 |       0 |      0 |         0 
 162981 Thread 69 - PartitionProcessorThre...dd-bcc0-d67b616ba222-1-15 |  1249000 |   447000 |   526934624 |  16545194996 |         0 |      0 |  1650367562 |       0 |      0 |         0 
 162982 Thread 70 - PartitionProcessorThre...dd-bcc0-d67b616ba222-1-16 |  1134000 |   438000 |   488173976 |  15335881637 |         0 |      0 |  1261389004 |       0 |      0 |         0 
 162983 Thread 71 - PartitionProcessorThre...dd-bcc0-d67b616ba222-1-17 |  1148000 |   400000 |   481074457 |  15101884035 |         0 |      0 |  1263707245 |       0 |      0 |         0 
 162984 Thread 72 - PartitionProcessorThre...dd-bcc0-d67b616ba222-1-18 |  1194000 |   437000 |   505132445 |  15911075929 |      3072 |      0 |  1453808819 |       0 |      0 |         0 
 162985 Thread 73 - PartitionProcessorThre...dd-bcc0-d67b616ba222-1-19 |  1204000 |   413000 |   501394710 |  15774719625 |         0 |      0 |  1337198939 |       0 |      0 |         0 
 163354 Thread 74 - process reaper                                     |        0 |        0 |           0 |            0 |      2048 |      0 |        7982 |       0 |      0 |         0 
 163360 Thread 75 - Attach Listener                                    |   367000 |   102000 |   149133335 |   4583308581 |   5304320 | 147456 |     2425554 |       0 |      0 |         0 
