                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 89233 Thread 1 - main                                                |  1005000 |   117000 |    76064384 |   7913941430 |  14801920 |   1024 |     4227272 |      0 |      0 |         0 
 89240 Thread 2 - Reference Handler                                   |        0 |        0 |           0 |            0 |         0 |      0 |      287352 |      0 |      0 |         0 
 89241 Thread 3 - Finalizer                                           |     1000 |        0 |       16898 |      6212687 |      5120 |      0 |       19122 |      0 |      0 |         0 
 89242 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 89248 Thread 11 - Common-Cleaner                                     |        0 |        0 |           0 |            0 |         0 |      0 |      512223 |      0 |      0 |         0 
 89254 Thread 13 - RMI Scheduler(0)                                   |     4000 |        0 |     1097070 |     36640929 |      1024 |      0 |       30936 |      0 |      0 |         0 
 89260 Thread 14 - RMI RenewClean-[10.231.182.152:42982]              |     1000 |     1000 |      167921 |     14875023 |         0 |      0 |           0 |      0 |      0 |         0 
 89261 Thread 15 - RMI GC Daemon                                      |        0 |     1000 |       81437 |      7437511 |         0 |      0 |           0 |      0 |      0 |         0 
 89264 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 25447000 | 37322000 | 21408757648 | 619498522222 | 624496640 | 102400 | 12929020156 |  70116 |      0 |         0 
 89269 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   194000 |    36000 |    76946015 |   2267394265 |   5900288 |   4096 |    15041501 | 143808 |      0 |         0 
 89274 Thread 18 - PartitionProcessorThre...d98-8699-1ec08b6447c4-1-0 |  1059000 |   441000 |   504716282 |  14792745773 |     36864 |      0 |   829294456 |      0 |      0 |         0 
 89275 Thread 19 - PartitionProcessorThre...d98-8699-1ec08b6447c4-1-1 |  1079000 |   429000 |   511916731 |  14888823288 |         0 |      0 |   870714846 |      0 |      0 |         0 
 89276 Thread 20 - PartitionProcessorThre...d98-8699-1ec08b6447c4-1-2 |  1179000 |   483000 |   566807118 |  16418674015 |         0 |      0 |   946389193 |      0 |      0 |         0 
 89277 Thread 21 - PartitionProcessorThre...d98-8699-1ec08b6447c4-1-3 |  1076000 |   418000 |   504437110 |  14745705300 |         0 |      0 |   904518311 |      0 |      0 |         0 
 89278 Thread 22 - PartitionProcessorThre...d98-8699-1ec08b6447c4-1-4 |  1143000 |   424000 |   525357739 |  15453912402 |      1024 |      0 |   862506193 |      0 |      0 |         0 
 89279 Thread 23 - PartitionProcessorThre...d98-8699-1ec08b6447c4-1-5 |  1147000 |   441000 |   532370836 |  15660856862 |         0 |      0 |   957634034 |      0 |      0 |         0 
 89280 Thread 24 - PartitionProcessorThre...d98-8699-1ec08b6447c4-1-6 |  1114000 |   434000 |   520735204 |  15276290148 |         0 |      0 |   922128874 |      0 |      0 |         0 
 89281 Thread 25 - PartitionProcessorThre...d98-8699-1ec08b6447c4-1-7 |  1181000 |   440000 |   548371668 |  15999649351 |         0 |      0 |   830358620 |      0 |      0 |         0 
 89282 Thread 26 - PartitionProcessorThre...d98-8699-1ec08b6447c4-1-8 |  1105000 |   438000 |   521816247 |  15235511159 |         0 |      0 |   924767527 |      0 |      0 |         0 
 89283 Thread 27 - PartitionProcessorThre...d98-8699-1ec08b6447c4-1-9 |  1169000 |   443000 |   542802926 |  15909955577 |         0 |      0 |   888022042 |      0 |      0 |         0 
 89284 Thread 28 - PartitionProcessorThre...98-8699-1ec08b6447c4-1-10 |  1085000 |   430000 |   512253661 |  14962497195 |         0 |      0 |  1012981709 |      0 |      0 |         0 
 89285 Thread 29 - PartitionProcessorThre...98-8699-1ec08b6447c4-1-11 |  1150000 |   422000 |   533178395 |  15518862296 |      5120 |      0 |   889381096 |      0 |      0 |         0 
 89286 Thread 30 - PartitionProcessorThre...98-8699-1ec08b6447c4-1-12 |  1129000 |   388000 |   513064930 |  14978034714 |         0 |      0 |   756057766 |      0 |      0 |         0 
 89287 Thread 31 - PartitionProcessorThre...98-8699-1ec08b6447c4-1-13 |  1128000 |   423000 |   524421852 |  15315614351 |      8192 |      0 |   920243431 |      0 |      0 |         0 
 89288 Thread 32 - PartitionProcessorThre...98-8699-1ec08b6447c4-1-14 |  1072000 |   425000 |   509777087 |  14785139449 |         0 |      0 |   911189224 |      0 |      0 |         0 
 89289 Thread 33 - PartitionProcessorThre...98-8699-1ec08b6447c4-1-15 |  1089000 |   397000 |   503087372 |  14668590921 |         0 |      0 |   923538736 |      0 |      0 |         0 
 89290 Thread 34 - PartitionProcessorThre...98-8699-1ec08b6447c4-1-16 |  1172000 |   384000 |   524362668 |  15349445359 |         0 |      0 |   778029838 |      0 |      0 |         0 
 89291 Thread 35 - PartitionProcessorThre...98-8699-1ec08b6447c4-1-17 |  1103000 |   447000 |   522720465 |  15302524577 |         0 |      0 |   822662681 |      0 |      0 |         0 
 89292 Thread 36 - PartitionProcessorThre...98-8699-1ec08b6447c4-1-18 |  1132000 |   456000 |   538077106 |  15676954710 |         0 |      0 |   840373626 |      0 |      0 |         0 
 89293 Thread 37 - PartitionProcessorThre...98-8699-1ec08b6447c4-1-19 |  1167000 |   450000 |   547827153 |  15969231581 |         0 |      0 |   917804909 |      0 |      0 |         0 
 89298 Thread 38 - PartitionProcessorThre...d98-8699-1ec08b6447c4-0-0 |  1113000 |   421000 |   524074387 |  15171066406 |         0 |      0 |   789917348 |      0 |      0 |         0 
 89299 Thread 39 - PartitionProcessorThre...d98-8699-1ec08b6447c4-0-1 |  1079000 |   456000 |   524050626 |  15180425355 |         0 |      0 |   892813306 |      0 |      0 |         0 
 89300 Thread 40 - PartitionProcessorThre...d98-8699-1ec08b6447c4-0-2 |  1092000 |   409000 |   512170454 |  14844730878 |         0 |      0 |   918197584 |      0 |      0 |         0 
 89301 Thread 41 - PartitionProcessorThre...d98-8699-1ec08b6447c4-0-3 |  1055000 |   482000 |   525523450 |  15201167730 |         0 |      0 |   772382985 |      0 |      0 |         0 
 89302 Thread 42 - PartitionProcessorThre...d98-8699-1ec08b6447c4-0-4 |  1114000 |   422000 |   524178704 |  15190539507 |         0 |      0 |   850929688 |      0 |      0 |         0 
