                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 96764 Thread 1 - main                                                |   847000 |   134000 |    64207400 |   7536187084 |  34140160 |      0 |    10905042 |      0 |      0 |         0 
 96786 Thread 2 - Reference Handler                                   |     7000 |        0 |      875636 |     59054316 |         0 |      0 |      535709 |      0 |      0 |         0 
 96787 Thread 3 - Finalizer                                           |     6000 |        0 |      430921 |     46527347 |      5120 |      0 |     2383138 |      0 |      0 |         0 
 96788 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       25184 |      0 |      0 |         0 
 96789 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       46874 |      0 |      0 |         0 
 96798 Thread 12 - RMI Scheduler(0)                                   |     3000 |     1000 |      977308 |     37033808 |      4096 |      0 |     2226429 |      0 |      0 |         0 
 96799 Thread 13 - RMI RenewClean-[10.231.182.152:42289]              |        0 |        0 |           0 |            0 |      1024 |      0 |       18972 |      0 |      0 |         0 
 96800 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 96803 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 31679000 | 34121000 | 19681951933 | 641306810906 | 623616000 | 118784 | 20630096864 | 139055 |      0 |         0 
 96804 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   184000 |    53000 |    69239765 |   2307387202 |   7262208 |   4096 |    24590685 | 107248 |      0 |         0 
 96808 Thread 17 - PartitionProcessorThre...d02-9aa8-19ea656109ae-0-0 |  1325000 |   436000 |   520033875 |  17154628563 |     33792 |      0 |  1462575063 |      0 |      0 |         0 
 96809 Thread 18 - PartitionProcessorThre...d02-9aa8-19ea656109ae-0-1 |  1341000 |   455000 |   532802566 |  17513934227 |         0 |      0 |  1695835116 |      0 |      0 |         0 
 96810 Thread 19 - PartitionProcessorThre...d02-9aa8-19ea656109ae-0-2 |  1393000 |   501000 |   563148906 |  18467794196 |         0 |      0 |  1558309424 |      0 |      0 |         0 
 96811 Thread 20 - PartitionProcessorThre...d02-9aa8-19ea656109ae-0-3 |  1366000 |   471000 |   543143609 |  17901435942 |         0 |      0 |  1490207020 |      0 |      0 |         0 
 96812 Thread 21 - PartitionProcessorThre...d02-9aa8-19ea656109ae-0-4 |  1336000 |   492000 |   541262273 |  17819259352 |    125952 |      0 |  1784203725 |      0 |      0 |         0 
 96813 Thread 22 - PartitionProcessorThre...d02-9aa8-19ea656109ae-0-5 |  1402000 |   455000 |   551800628 |  18110720333 |         0 |      0 |  1734362166 |      0 |      0 |         0 
 96814 Thread 23 - PartitionProcessorThre...d02-9aa8-19ea656109ae-0-6 |  1304000 |   461000 |   527926011 |  17221292024 |         0 |      0 |  1747666278 |      0 |      0 |         0 
 96815 Thread 24 - PartitionProcessorThre...d02-9aa8-19ea656109ae-0-7 |  1362000 |   455000 |   539953285 |  17722283559 |         0 |      0 |  1789121352 |      0 |      0 |         0 
 96816 Thread 25 - PartitionProcessorThre...d02-9aa8-19ea656109ae-0-8 |  1353000 |   466000 |   539405097 |  17737959149 |         0 |      0 |  1686906363 |      0 |      0 |         0 
 96817 Thread 26 - PartitionProcessorThre...d02-9aa8-19ea656109ae-0-9 |  1351000 |   424000 |   527983597 |  17311542649 |         0 |      0 |  1819631232 |      0 |      0 |         0 
 96818 Thread 27 - PartitionProcessorThre...02-9aa8-19ea656109ae-0-10 |  1275000 |   455000 |   513380761 |  16869539665 |         0 |      0 |  1805591609 |      0 |      0 |         0 
 96819 Thread 28 - PartitionProcessorThre...02-9aa8-19ea656109ae-0-11 |  1381000 |   434000 |   540871257 |  17703160880 |         0 |      0 |  1721331137 |      0 |      0 |         0 
 96820 Thread 29 - PartitionProcessorThre...02-9aa8-19ea656109ae-0-12 |  1447000 |   478000 |   573081019 |  18774420215 |         0 |      0 |  1867879732 |      0 |      0 |         0 
 96821 Thread 30 - PartitionProcessorThre...02-9aa8-19ea656109ae-0-13 |  1367000 |   484000 |   552736960 |  18056402137 |         0 |      0 |  1937018950 |      0 |      0 |         0 
 96822 Thread 31 - PartitionProcessorThre...02-9aa8-19ea656109ae-0-14 |  1280000 |   433000 |   510850625 |  16708249329 |         0 |      0 |  1830319673 |      0 |      0 |         0 
 96823 Thread 32 - PartitionProcessorThre...02-9aa8-19ea656109ae-0-15 |  1357000 |   448000 |   536672402 |  17602873915 |         0 |      0 |  1734139205 |      0 |      0 |         0 
 96824 Thread 33 - PartitionProcessorThre...02-9aa8-19ea656109ae-0-16 |  1370000 |   483000 |   552492175 |  18076285235 |         0 |      0 |  1756895152 |      0 |      0 |         0 
 96825 Thread 34 - PartitionProcessorThre...02-9aa8-19ea656109ae-0-17 |  1299000 |   473000 |   529123863 |  17289194610 |         0 |      0 |  1713794908 |      0 |      0 |         0 
 96826 Thread 35 - PartitionProcessorThre...02-9aa8-19ea656109ae-0-18 |  1429000 |   455000 |   561249972 |  18376937044 |         0 |      0 |  1692320476 |      0 |      0 |         0 
 96827 Thread 36 - PartitionProcessorThre...02-9aa8-19ea656109ae-0-19 |  1324000 |   455000 |   530804179 |  17354058118 |         0 |      0 |  1756169666 |      0 |      0 |         0 
 96829 Thread 37 - PartitionProcessorThre...d02-9aa8-19ea656109ae-1-0 |  1262000 |   496000 |   526249480 |  17159242942 |         0 |      0 |  1504835266 |      0 |      0 |         0 
 96830 Thread 38 - PartitionProcessorThre...d02-9aa8-19ea656109ae-1-1 |  1369000 |   448000 |   542989406 |  17733750645 |         0 |      0 |  1655483774 |      0 |      0 |         0 
 96831 Thread 39 - PartitionProcessorThre...d02-9aa8-19ea656109ae-1-2 |  1319000 |   483000 |   539030187 |  17587212270 |         0 |      0 |  1791999401 |      0 |      0 |         0 
 96832 Thread 40 - PartitionProcessorThre...d02-9aa8-19ea656109ae-1-3 |  1380000 |   459000 |   550411664 |  17948514294 |         0 |      0 |  1808837524 |      0 |      0 |         0 
 96833 Thread 41 - PartitionProcessorThre...d02-9aa8-19ea656109ae-1-4 |  1313000 |   471000 |   533134062 |  17411619559 |         0 |      0 |  1774348714 |      0 |      0 |         0 
 96834 Thread 42 - PartitionProcessorThre...d02-9aa8-19ea656109ae-1-5 |  1336000 |   466000 |   539670847 |  17588473544 |         0 |      0 |  1516107901 |      0 |      0 |         0 
 96835 Thread 43 - PartitionProcessorThre...d02-9aa8-19ea656109ae-1-6 |  1414000 |   487000 |   569794855 |  18554668458 |         0 |      0 |  1770712210 |      0 |      0 |         0 
 96836 Thread 44 - PartitionProcessorThre...d02-9aa8-19ea656109ae-1-7 |  1420000 |   491000 |   573893202 |  18653174493 |         0 |      0 |  1861102726 |      0 |      0 |         0 
 96837 Thread 45 - PartitionProcessorThre...d02-9aa8-19ea656109ae-1-8 |  1430000 |   530000 |   588774171 |  19131224278 |      1024 |      0 |  1805028201 |      0 |      0 |         0 
 96838 Thread 46 - PartitionProcessorThre...d02-9aa8-19ea656109ae-1-9 |  1463000 |   477000 |   581971870 |  18935470962 |         0 |      0 |  1929918375 |      0 |      0 |         0 
 96839 Thread 47 - PartitionProcessorThre...02-9aa8-19ea656109ae-1-10 |  1360000 |   532000 |   566749375 |  18467021024 |         0 |      0 |  1762791787 |      0 |      0 |         0 
 96840 Thread 48 - PartitionProcessorThre...02-9aa8-19ea656109ae-1-11 |  1407000 |   459000 |   559581937 |  18213576985 |      3072 |      0 |  1888197300 |      0 |      0 |         0 
 96841 Thread 49 - PartitionProcessorThre...02-9aa8-19ea656109ae-1-12 |  1314000 |   467000 |   532891742 |  17383403645 |         0 |      0 |  1886802925 |      0 |      0 |         0 
 96842 Thread 50 - PartitionProcessorThre...02-9aa8-19ea656109ae-1-13 |  1330000 |   459000 |   535366511 |  17461413212 |         0 |      0 |  1474035680 |      0 |      0 |         0 
 96843 Thread 51 - PartitionProcessorThre...02-9aa8-19ea656109ae-1-14 |  1382000 |   449000 |   548161101 |  17871055970 |         0 |      0 |  1857523990 |      0 |      0 |         0 
 96844 Thread 52 - PartitionProcessorThre...02-9aa8-19ea656109ae-1-15 |  1315000 |   432000 |   523587730 |  17051411700 |         0 |      0 |  1837157063 |      0 |      0 |         0 
 96845 Thread 53 - PartitionProcessorThre...02-9aa8-19ea656109ae-1-16 |  1375000 |   466000 |   551952687 |  17969229395 |         0 |      0 |  1852151730 |      0 |      0 |         0 
 96846 Thread 54 - PartitionProcessorThre...02-9aa8-19ea656109ae-1-17 |  1455000 |   465000 |   574599109 |  18739007872 |         0 |      0 |  1662304997 |      0 |      0 |         0 
 96847 Thread 55 - PartitionProcessorThre...02-9aa8-19ea656109ae-1-18 |  1307000 |   491000 |   539537554 |  17549407040 |         0 |      0 |  1815292947 |      0 |      0 |         0 
 96848 Thread 56 - PartitionProcessorThre...02-9aa8-19ea656109ae-1-19 |  1329000 |   468000 |   538202859 |  17538940399 |         0 |      0 |  1648866296 |      0 |      0 |         0 
