                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 58933 Thread 1 - main                                                |   793000 |   179000 |    65204341 |   7474606342 |  34140160 |   1024 |     5459227 |      0 |      0 |         0 
 58955 Thread 2 - Reference Handler                                   |     5000 |     1000 |      453605 |     46535382 |         0 |      0 |     1327194 |      0 |      0 |         0 
 58956 Thread 3 - Finalizer                                           |     6000 |        0 |      453609 |     46600386 |      5120 |      0 |     1727380 |      0 |      0 |         0 
 58957 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       26710 |      7227273 |         0 |      0 |       16505 |      0 |      0 |         0 
 58958 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       13085 |      0 |      0 |         0 
 58966 Thread 12 - RMI Scheduler(0)                                   |     4000 |        0 |     1036492 |     37096230 |      4096 |      0 |      207219 |      0 |      0 |         0 
 58967 Thread 13 - RMI RenewClean-[10.231.182.152:37577]              |        0 |        0 |           0 |            0 |      1024 |      0 |      120447 |      0 |      0 |         0 
 58968 Thread 14 - GC Daemon                                          |        0 |     1000 |       75378 |      7893246 |         0 |      0 |      123192 |      0 |      0 |         0 
 58971 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 29437000 | 30944000 | 17498449041 | 588270147362 | 573138944 | 145408 | 18760739735 | 189990 |      0 |         0 
 58976 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   250000 |    83000 |    96070643 |   3240051444 |   6508544 |   6144 |    61046077 | 474916 |      0 |         0 
 58981 Thread 17 - PartitionProcessorThre...7a1-b50f-5e5f1cdff869-0-0 |  1280000 |   438000 |   496279418 |  16744769860 |     33792 |      0 |  1675222043 |      0 |      0 |         0 
 58982 Thread 18 - PartitionProcessorThre...7a1-b50f-5e5f1cdff869-0-1 |  1261000 |   403000 |   481793840 |  16226109540 |         0 |      0 |  1693090884 |      0 |      0 |         0 
 58983 Thread 19 - PartitionProcessorThre...7a1-b50f-5e5f1cdff869-0-2 |  1345000 |   387000 |   502662750 |  16890408821 |         0 |      0 |  1789527351 |      0 |      0 |         0 
 58984 Thread 20 - PartitionProcessorThre...7a1-b50f-5e5f1cdff869-0-3 |  1365000 |   389000 |   506717461 |  17100298059 |         0 |      0 |  1906911323 |      0 |      0 |         0 
 58985 Thread 21 - PartitionProcessorThre...7a1-b50f-5e5f1cdff869-0-4 |  1242000 |   399000 |   473388211 |  15998703923 |         0 |      0 |  1774308106 |      0 |      0 |         0 
 58986 Thread 22 - PartitionProcessorThre...7a1-b50f-5e5f1cdff869-0-5 |  1287000 |   410000 |   490596203 |  16543476630 |         0 |      0 |  1583547149 |      0 |      0 |         0 
 58987 Thread 23 - PartitionProcessorThre...7a1-b50f-5e5f1cdff869-0-6 |  1315000 |   429000 |   503388715 |  17002770844 |         0 |      0 |  1768020292 |      0 |      0 |         0 
