                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 6756 Thread 1 - main                                                |   575000 |    74000 |    39174444 |   4913181983 |  21218304 |   1024 |     5682575 |      0 |      0 |         0 
 6778 Thread 2 - Reference Handler                                   |     6000 |     3000 |      995332 |     70988941 |         0 |      0 |     3201974 |      0 |      0 |         0 
 6779 Thread 3 - Finalizer                                           |     6000 |        0 |      491960 |     45691976 |      5120 |      0 |      309344 |      0 |      0 |         0 
 6780 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        3873 |      0 |      0 |         0 
 6781 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 6789 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29518000 | 32337000 | 18740439545 | 602367691146 | 637937664 | 114688 | 18443594057 | 114151 |      0 |         0 
 6791 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   130000 |    38000 |    50376796 |   1635393242 |   4995072 |   4096 |    12450286 |  73617 |      0 |         0 
 6794 Thread 14 - PartitionProcessorThre...c27-bfae-68113eeebd80-0-0 |  1324000 |   455000 |   532672897 |  17343158382 |     33792 |      0 |  1461625422 |      0 |      0 |         0 
 6795 Thread 15 - PartitionProcessorThre...c27-bfae-68113eeebd80-0-1 |  1211000 |   407000 |   485833706 |  15777241281 |     59392 |      0 |  1474436768 |      0 |      0 |         0 
 6796 Thread 16 - PartitionProcessorThre...c27-bfae-68113eeebd80-0-2 |  1239000 |   388000 |   490103386 |  15873178175 |         0 |      0 |  1322623405 |      0 |      0 |         0 
 6797 Thread 17 - PartitionProcessorThre...c27-bfae-68113eeebd80-0-3 |  1162000 |   459000 |   487462691 |  15813311464 |         0 |      0 |  1299352682 |      0 |      0 |         0 
 6798 Thread 18 - PartitionProcessorThre...c27-bfae-68113eeebd80-0-4 |  1223000 |   440000 |   502673249 |  16226767769 |         0 |      0 |  1294892159 |      0 |      0 |         0 
 6799 Thread 19 - PartitionProcessorThre...c27-bfae-68113eeebd80-0-5 |  1253000 |   466000 |   519137792 |  16769132164 |         0 |      0 |  1322945399 |      0 |      0 |         0 
 6800 Thread 20 - PartitionProcessorThre...c27-bfae-68113eeebd80-0-6 |  1304000 |   500000 |   543273772 |  17594168847 |     78848 |      0 |  1395942799 |      0 |      0 |         0 
 6801 Thread 21 - PartitionProcessorThre...c27-bfae-68113eeebd80-0-7 |  1279000 |   496000 |   534374710 |  17316474328 |         0 |      0 |  1383893055 |      0 |      0 |         0 
 6802 Thread 22 - PartitionProcessorThre...c27-bfae-68113eeebd80-0-8 |  1310000 |   442000 |   527015913 |  17092125707 |         0 |      0 |  1279282635 |      0 |      0 |         0 
 6803 Thread 23 - PartitionProcessorThre...c27-bfae-68113eeebd80-0-9 |  1225000 |   501000 |   520527698 |  16839671515 |         0 |      0 |  1371744826 |      0 |      0 |         0 
 6804 Thread 24 - PartitionProcessorThre...27-bfae-68113eeebd80-0-10 |  1266000 |   438000 |   515582456 |  16626343140 |         0 |      0 |  1366767848 |      0 |      0 |         0 
 6805 Thread 25 - PartitionProcessorThre...27-bfae-68113eeebd80-0-11 |  1269000 |   415000 |   510526718 |  16432098593 |         0 |      0 |  1257438948 |      0 |      0 |         0 
 6806 Thread 26 - PartitionProcessorThre...27-bfae-68113eeebd80-0-12 |  1340000 |   476000 |   546820218 |  17719685843 |         0 |      0 |  1509462648 |      0 |      0 |         0 
 6807 Thread 27 - PartitionProcessorThre...27-bfae-68113eeebd80-0-13 |  1281000 |   475000 |   527502241 |  17131803324 |      1024 |      0 |  1368987608 |      0 |      0 |         0 
 6808 Thread 28 - PartitionProcessorThre...27-bfae-68113eeebd80-0-14 |  1254000 |   453000 |   515936253 |  16656193781 |         0 |      0 |  1497797315 |      0 |      0 |         0 
 6809 Thread 29 - PartitionProcessorThre...27-bfae-68113eeebd80-0-15 |  1252000 |   446000 |   513317390 |  16566577683 |     24576 |      0 |  1352142031 |      0 |      0 |         0 
 6810 Thread 30 - PartitionProcessorThre...27-bfae-68113eeebd80-0-16 |  1205000 |   481000 |   508668089 |  16448488714 |      4096 |      0 |  1260223908 |      0 |      0 |         0 
 6811 Thread 31 - PartitionProcessorThre...27-bfae-68113eeebd80-0-17 |  1192000 |   463000 |   500008491 |  16147453839 |         0 |      0 |  1311374772 |      0 |      0 |         0 
 6812 Thread 32 - PartitionProcessorThre...27-bfae-68113eeebd80-0-18 |  1211000 |   432000 |   492863808 |  16031384761 |         0 |      0 |  1306947459 |      0 |      0 |         0 
 6813 Thread 33 - PartitionProcessorThre...27-bfae-68113eeebd80-0-19 |  1278000 |   458000 |   523623530 |  16939464781 |         0 |      0 |  1282755275 |      0 |      0 |         0 
