                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 62620 Thread 1 - main                                                |   603000 |    84000 |    42451197 |   5215517791 |  21194752 |   1024 |    10477615 |      0 |      0 |         0 
 62642 Thread 2 - Reference Handler                                   |     6000 |     2000 |      972367 |     63386828 |         0 |      0 |     2988048 |      0 |      0 |         0 
 62643 Thread 3 - Finalizer                                           |     6000 |        0 |      550667 |     45968011 |     13312 |      0 |      410928 |      0 |      0 |         0 
 62644 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 62645 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        5940 |      0 |      0 |         0 
 62654 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26154000 | 29322000 | 16960731115 | 540003935887 | 586880000 | 129024 | 17166806357 | 145089 |      0 |         0 
 62666 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   179000 |    40000 |    66929155 |   2132956179 |   4831232 |   4096 |    23089203 | 328843 |      0 |         0 
 62669 Thread 14 - PartitionProcessorThre...32b-95bb-2b0777393055-0-0 |  1132000 |   403000 |   465674263 |  14941651840 |    158720 |      0 |  1421956524 |      0 |      0 |         0 
 62670 Thread 15 - PartitionProcessorThre...32b-95bb-2b0777393055-0-1 |  1207000 |   411000 |   493587853 |  15775134738 |         0 |      0 |  1261505365 |      0 |      0 |         0 
 62671 Thread 16 - PartitionProcessorThre...32b-95bb-2b0777393055-0-2 |  1141000 |   395000 |   468150259 |  14979050074 |     44032 |      0 |  1153375421 |      0 |      0 |         0 
 62672 Thread 17 - PartitionProcessorThre...32b-95bb-2b0777393055-0-3 |  1207000 |   369000 |   481713334 |  15372011890 |         0 |      0 |  1489965190 |      0 |      0 |         0 
 62673 Thread 18 - PartitionProcessorThre...32b-95bb-2b0777393055-0-4 |  1176000 |   371000 |   472868951 |  15089683949 |      3072 |      0 |  1470923891 |      0 |      0 |         0 
 62674 Thread 19 - PartitionProcessorThre...32b-95bb-2b0777393055-0-5 |  1234000 |   398000 |   497680775 |  15914274781 |         0 |      0 |  1411311906 |      0 |      0 |         0 
 62675 Thread 20 - PartitionProcessorThre...32b-95bb-2b0777393055-0-6 |  1207000 |   410000 |   494059716 |  15771433394 |         0 |      0 |  1416041417 |      0 |      0 |         0 
 62676 Thread 21 - PartitionProcessorThre...32b-95bb-2b0777393055-0-7 |  1185000 |   367000 |   473857990 |  15138578769 |         0 |      0 |  1469973812 |      0 |      0 |         0 
 62677 Thread 22 - PartitionProcessorThre...32b-95bb-2b0777393055-0-8 |  1171000 |   408000 |   484254599 |  15400532129 |         0 |      0 |  1404182373 |      0 |      0 |         0 
 62678 Thread 23 - PartitionProcessorThre...32b-95bb-2b0777393055-0-9 |  1222000 |   403000 |   498278638 |  15850297586 |         0 |      0 |  1319018487 |      0 |      0 |         0 
 62679 Thread 24 - PartitionProcessorThre...2b-95bb-2b0777393055-0-10 |  1195000 |   415000 |   492797373 |  15704651816 |         0 |      0 |  1386293218 |      0 |      0 |         0 
 62680 Thread 25 - PartitionProcessorThre...2b-95bb-2b0777393055-0-11 |  1166000 |   412000 |   483255384 |  15391243894 |      1024 |      0 |  1271373676 |      0 |      0 |         0 
 62681 Thread 26 - PartitionProcessorThre...2b-95bb-2b0777393055-0-12 |  1256000 |   385000 |   501253314 |  16006506668 |         0 |      0 |  1525549405 |      0 |      0 |         0 
 62682 Thread 27 - PartitionProcessorThre...2b-95bb-2b0777393055-0-13 |  1235000 |   413000 |   503905771 |  16075515211 |         0 |      0 |  1153548813 |      0 |      0 |         0 
 62683 Thread 28 - PartitionProcessorThre...2b-95bb-2b0777393055-0-14 |  1175000 |   417000 |   486398142 |  15528231918 |         0 |      0 |  1267711055 |      0 |      0 |         0 
 62684 Thread 29 - PartitionProcessorThre...2b-95bb-2b0777393055-0-15 |  1205000 |   388000 |   487678439 |  15537201293 |         0 |      0 |  1476422084 |      0 |      0 |         0 
 62685 Thread 30 - PartitionProcessorThre...2b-95bb-2b0777393055-0-16 |  1216000 |   342000 |   476990763 |  15197218484 |         0 |      0 |  1459688676 |      0 |      0 |         0 
 62686 Thread 31 - PartitionProcessorThre...2b-95bb-2b0777393055-0-17 |  1188000 |   388000 |   480332861 |  15371643519 |         0 |      0 |  1378862653 |      0 |      0 |         0 
 62687 Thread 32 - PartitionProcessorThre...2b-95bb-2b0777393055-0-18 |  1243000 |   438000 |   513845228 |  16396622961 |         0 |      0 |  1387613097 |      0 |      0 |         0 
 62688 Thread 33 - PartitionProcessorThre...2b-95bb-2b0777393055-0-19 |  1153000 |   485000 |   499659353 |  15976256238 |         0 |      0 |  1529656703 |      0 |      0 |         0 
 62689 Thread 34 - PartitionProcessorThre...32b-95bb-2b0777393055-2-0 |  1171000 |   397000 |   481653443 |  15296637695 |         0 |      0 |  1211959685 |      0 |      0 |         0 
 62690 Thread 35 - PartitionProcessorThre...32b-95bb-2b0777393055-2-1 |  1117000 |   416000 |   470423596 |  14954488504 |         0 |      0 |  1266711840 |      0 |      0 |         0 
 62691 Thread 36 - PartitionProcessorThre...32b-95bb-2b0777393055-2-2 |  1101000 |   421000 |   468900799 |  14847702500 |         0 |      0 |  1267432598 |      0 |      0 |         0 
 62692 Thread 37 - PartitionProcessorThre...32b-95bb-2b0777393055-2-3 |  1145000 |   413000 |   479611717 |  15198976406 |         0 |      0 |  1389217390 |      0 |      0 |         0 
 62693 Thread 38 - PartitionProcessorThre...32b-95bb-2b0777393055-2-4 |  1161000 |   451000 |   496383025 |  15725989722 |  10831872 |      0 |  1232510130 |      0 |      0 |         0 
 62694 Thread 39 - PartitionProcessorThre...32b-95bb-2b0777393055-2-5 |  1200000 |   430000 |   501874826 |  15901509191 |         0 |      0 |  1352159482 |      0 |      0 |         0 
 62695 Thread 40 - PartitionProcessorThre...32b-95bb-2b0777393055-2-6 |  1202000 |   428000 |   500618935 |  15901157176 |         0 |      0 |  1293610872 |      0 |      0 |         0 
 62696 Thread 41 - PartitionProcessorThre...32b-95bb-2b0777393055-2-7 |  1135000 |   417000 |   476802033 |  15140430168 |         0 |      0 |  1218130900 |      0 |      0 |         0 
 62697 Thread 42 - PartitionProcessorThre...32b-95bb-2b0777393055-2-8 |  1178000 |   384000 |   481981826 |  15238292086 |         0 |      0 |  1390639837 |      0 |      0 |         0 
 62698 Thread 43 - PartitionProcessorThre...32b-95bb-2b0777393055-2-9 |  1155000 |   413000 |   484187806 |  15297004109 |         0 |      0 |  1124939029 |      0 |      0 |         0 
 62699 Thread 44 - PartitionProcessorThre...2b-95bb-2b0777393055-2-10 |  1198000 |   440000 |   504418463 |  15980045207 |         0 |      0 |  1375579122 |      0 |      0 |         0 
 62700 Thread 45 - PartitionProcessorThre...2b-95bb-2b0777393055-2-11 |  1186000 |   415000 |   491207181 |  15618229125 |         0 |      0 |  1411695042 |      0 |      0 |         0 
 62701 Thread 46 - PartitionProcessorThre...2b-95bb-2b0777393055-2-12 |  1172000 |   421000 |   489724076 |  15540730699 |         0 |      0 |  1336740133 |      0 |      0 |         0 
 62702 Thread 47 - PartitionProcessorThre...2b-95bb-2b0777393055-2-13 |  1178000 |   398000 |   485249931 |  15374838449 |         0 |      0 |  1277576950 |      0 |      0 |         0 
 62703 Thread 48 - PartitionProcessorThre...2b-95bb-2b0777393055-2-14 |  1123000 |   404000 |   469597279 |  14896584945 |         0 |      0 |  1338399540 |      0 |      0 |         0 
 62704 Thread 49 - PartitionProcessorThre...2b-95bb-2b0777393055-2-15 |  1150000 |   358000 |   463620111 |  14711042090 |         0 |      0 |  1375055047 |      0 |      0 |         0 
