                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 48171 Thread 1 - main                                                |   627000 |   114000 |    43839920 |   5633109342 |  21206016 |   1024 |     6370187 |      0 |      0 |         0 
 48193 Thread 2 - Reference Handler                                   |     6000 |        0 |      934324 |     50607164 |         0 |      0 |     3528906 |      0 |      0 |         0 
 48194 Thread 3 - Finalizer                                           |     7000 |        0 |      698917 |     55442843 |      5120 |      0 |      441138 |      0 |      0 |         0 
 48195 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       26699 |      7228289 |         0 |      0 |       11142 |      0 |      0 |         0 
 48196 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        4209 |      0 |      0 |         0 
 48206 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 31520000 | 34202000 | 19503446469 | 639987765941 | 634618880 | 124928 | 21573256013 | 121354 |      0 |         0 
 48207 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   200000 |    52000 |    73991788 |   2456700167 |   8392704 |   4096 |    48040625 | 471965 |      0 |         0 
 48211 Thread 14 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-0-0 |  1329000 |   462000 |   528172645 |  17472648638 |      1024 |      0 |  1526202215 |      0 |      0 |         0 
 48212 Thread 15 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-0-1 |  1406000 |   463000 |   552324852 |  18234788087 |         0 |      0 |  1521470438 |      0 |      0 |         0 
 48213 Thread 16 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-0-2 |  1387000 |   476000 |   550522016 |  18176159970 |         0 |      0 |  1700079153 |      0 |      0 |         0 
 48214 Thread 17 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-0-3 |  1384000 |   478000 |   549972130 |  18156896169 |     33792 |      0 |  1643046219 |      0 |      0 |         0 
 48215 Thread 18 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-0-4 |  1441000 |   453000 |   558980466 |  18474874298 |      6144 |      0 |  1586686841 |      0 |      0 |         0 
 48216 Thread 19 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-0-5 |  1441000 |   442000 |   555981817 |  18368042595 |      1024 |      0 |  1804960478 |      0 |      0 |         0 
 48217 Thread 20 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-0-6 |  1430000 |   453000 |   557044309 |  18373184064 |         0 |      0 |  1837493495 |      0 |      0 |         0 
 48218 Thread 21 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-0-7 |  1381000 |   512000 |   559891770 |  18469207575 |         0 |      0 |  1719554968 |      0 |      0 |         0 
 48219 Thread 22 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-0-8 |  1355000 |   488000 |   543649774 |  17981977837 |         0 |      0 |  1698131398 |      0 |      0 |         0 
 48220 Thread 23 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-0-9 |  1425000 |   448000 |   552202536 |  18273627622 |         0 |      0 |  1766649476 |      0 |      0 |         0 
 48221 Thread 24 - PartitionProcessorThre...5b-9f0b-6c6f7abc1e91-0-10 |  1483000 |   510000 |   586882102 |  19445759614 |         0 |      0 |  1941540215 |      0 |      0 |         0 
 48222 Thread 25 - PartitionProcessorThre...5b-9f0b-6c6f7abc1e91-0-11 |  1343000 |   488000 |   540977809 |  17865196275 |         0 |      0 |  1985042969 |      0 |      0 |         0 
 48223 Thread 26 - PartitionProcessorThre...5b-9f0b-6c6f7abc1e91-0-12 |  1451000 |   448000 |   561731692 |  18526232677 |         0 |      0 |  1599874452 |      0 |      0 |         0 
 48224 Thread 27 - PartitionProcessorThre...5b-9f0b-6c6f7abc1e91-0-13 |  1382000 |   501000 |   556934106 |  18369783384 |      7168 |      0 |  1781505269 |      0 |      0 |         0 
 48225 Thread 28 - PartitionProcessorThre...5b-9f0b-6c6f7abc1e91-0-14 |  1448000 |   447000 |   557374630 |  18486573142 |    117760 |      0 |  1671597624 |      0 |      0 |         0 
 48226 Thread 29 - PartitionProcessorThre...5b-9f0b-6c6f7abc1e91-0-15 |  1375000 |   440000 |   538755024 |  17708329083 |         0 |      0 |  1815327439 |      0 |      0 |         0 
 48227 Thread 30 - PartitionProcessorThre...5b-9f0b-6c6f7abc1e91-0-16 |  1447000 |   488000 |   574934739 |  18879848079 |         0 |      0 |  1899546232 |      0 |      0 |         0 
 48228 Thread 31 - PartitionProcessorThre...5b-9f0b-6c6f7abc1e91-0-17 |  1409000 |   527000 |   572766856 |  18887345872 |         0 |      0 |  1925310291 |      0 |      0 |         0 
 48229 Thread 32 - PartitionProcessorThre...5b-9f0b-6c6f7abc1e91-0-18 |  1337000 |   510000 |   544261727 |  18020682978 |         0 |      0 |  1565159418 |      0 |      0 |         0 
 48230 Thread 33 - PartitionProcessorThre...5b-9f0b-6c6f7abc1e91-0-19 |  1280000 |   427000 |   503964134 |  16655849474 |         0 |      0 |  1575454160 |      0 |      0 |         0 
 48231 Thread 34 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-2-0 |  1409000 |   475000 |   560412426 |  18381895790 |     34816 |      0 |  1742191528 |      0 |      0 |         0 
 48232 Thread 35 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-2-1 |  1364000 |   453000 |   541588106 |  17728994728 |         0 |      0 |  1684585786 |      0 |      0 |         0 
 48233 Thread 36 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-2-2 |  1304000 |   476000 |   531335731 |  17369309611 |         0 |      0 |  1669051232 |      0 |      0 |         0 
 48234 Thread 37 - PartitionProcessorThre...35b-9f0b-6c6f7abc1e91-2-3 |  1473000 |   429000 |   566770583 |  18559587489 |         0 |      0 |  1743904099 |      0 |      0 |         0 
