                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 160217 Thread 1 - main                                                |   588000 |    96000 |    43432635 |   5195204912 |  21203968 |   2048 |     6397813 |       0 |      0 |         0 
 160239 Thread 2 - Reference Handler                                   |     8000 |        0 |      775800 |     62002617 |         0 |      0 |       69664 |       0 |      0 |         0 
 160240 Thread 3 - Finalizer                                           |     7000 |        0 |      897746 |     56253464 |      5120 |      0 |      371791 |       0 |      0 |         0 
 160241 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 160242 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      311828 |      9755039 |         0 |      0 |           0 |       0 |      0 |         0 
 160251 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29530000 | 32743000 | 19346637283 | 606460951555 | 637769728 | 136192 | 18999050940 |  141735 |      0 |         0 
 160252 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   205000 |    54000 |    79441952 |   2523277319 |   5220352 |   5120 |    26204263 |  847260 |      0 |         0 
 160256 Thread 14 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-2-0 |  1307000 |   407000 |   529454746 |  16699571304 |    162816 |      0 |  1284062927 |       0 |      0 |         0 
 160257 Thread 15 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-2-1 |  1402000 |   447000 |   574407918 |  18039738077 |         0 |      0 |  1503570866 |       0 |      0 |         0 
 160258 Thread 16 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-2-2 |  1371000 |   482000 |   574502816 |  18074847081 |         0 |      0 |  1493161720 |       0 |      0 |         0 
 160259 Thread 17 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-2-3 |  1302000 |   452000 |   546347223 |  17110840664 |         0 |      0 |  1252766271 |       0 |      0 |         0 
 160260 Thread 18 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-2-4 |  1218000 |   476000 |   525302918 |  16526852464 |         0 |      0 |  1538812656 |       0 |      0 |         0 
 160261 Thread 19 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-2-5 |  1263000 |   425000 |   522933641 |  16468820660 |         0 |      0 |  1311939221 |       0 |      0 |         0 
 160262 Thread 20 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-2-6 |  1320000 |   441000 |   546995859 |  17183217656 |         0 |      0 |  1518031274 |       0 |      0 |         0 
 160263 Thread 21 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-2-7 |  1372000 |   412000 |   551870246 |  17406002761 |         0 |      0 |  1404431162 |       0 |      0 |         0 
 160264 Thread 22 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-2-8 |  1440000 |   456000 |   586107515 |  18497644542 |         0 |      0 |  1340595527 |       0 |      0 |         0 
 160265 Thread 23 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-2-9 |  1384000 |   452000 |   568849918 |  17913701347 |         0 |      0 |  1649842544 |       0 |      0 |         0 
 160266 Thread 24 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-2-10 |  1284000 |   409000 |   524522520 |  16518650394 |         0 |      0 |  1391457705 |       0 |      0 |         0 
 160267 Thread 25 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-2-11 |  1345000 |   425000 |   547559320 |  17270175812 |         0 |      0 |  1567881338 |       0 |      0 |         0 
 160268 Thread 26 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-2-12 |  1330000 |   466000 |   554741371 |  17522850214 |         0 |      0 |  1436087669 |       0 |      0 |         0 
 160269 Thread 27 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-2-13 |  1381000 |   443000 |   565259012 |  17796813710 |         0 |      0 |  1508381988 |       0 |      0 |         0 
 160270 Thread 28 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-2-14 |  1339000 |   420000 |   543345570 |  17160544890 |     18432 |      0 |  1529251661 |       0 |      0 |         0 
 160271 Thread 29 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-2-15 |  1279000 |   467000 |   540232359 |  17036471617 |         0 |      0 |  1380166632 |       0 |      0 |         0 
 160272 Thread 30 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-2-16 |  1328000 |   452000 |   552763082 |  17366509890 |     24576 |      0 |  1609083398 |       0 |      0 |         0 
 160273 Thread 31 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-2-17 |  1285000 |   423000 |   531042176 |  16665237199 |         0 |      0 |  1541097451 |       0 |      0 |         0 
 160274 Thread 32 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-2-18 |  1249000 |   445000 |   527078672 |  16528864117 |         0 |      0 |  1481690661 |       0 |      0 |         0 
 160275 Thread 33 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-2-19 |  1247000 |   434000 |   523007317 |  16403032039 |         0 |      0 |  1426321798 |       0 |      0 |         0 
 160276 Thread 34 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-1-0 |  1321000 |   459000 |   556326191 |  17369636339 |         0 |      0 |  1282960515 |       0 |      0 |         0 
 160277 Thread 35 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-1-1 |  1267000 |   479000 |   545532469 |  17038007511 |         0 |      0 |  1383195728 |       0 |      0 |         0 
 160278 Thread 36 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-1-2 |  1296000 |   463000 |   549451047 |  17164589706 |         0 |      0 |  1420159432 |       0 |      0 |         0 
 160279 Thread 37 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-1-3 |  1255000 |   452000 |   533643176 |  16657287425 |         0 |      0 |  1336696427 |       0 |      0 |         0 
 160280 Thread 38 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-1-4 |  1340000 |   489000 |   571509359 |  17848244023 |         0 |      0 |  1483480521 |       0 |      0 |         0 
 160281 Thread 39 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-1-5 |  1373000 |   423000 |   560898539 |  17525126468 |         0 |      0 |  1403708117 |       0 |      0 |         0 
 160282 Thread 40 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-1-6 |  1303000 |   441000 |   545151371 |  17017807144 |         0 |      0 |  1436351652 |       0 |      0 |         0 
 160283 Thread 41 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-1-7 |  1252000 |   466000 |   536068090 |  16763627984 |         0 |      0 |  1347218399 |       0 |      0 |         0 
 160284 Thread 42 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-1-8 |  1344000 |   419000 |   551653367 |  17204191601 |         0 |      0 |  1620721225 |       0 |      0 |         0 
 160285 Thread 43 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-1-9 |  1366000 |   466000 |   572742898 |  17876360214 |         0 |      0 |  1545318279 |       0 |      0 |         0 
 160286 Thread 44 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-1-10 |  1301000 |   459000 |   549711371 |  17174126300 |         0 |      0 |  1433776492 |       0 |      0 |         0 
 160287 Thread 45 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-1-11 |  1225000 |   513000 |   541311129 |  16958918285 |         0 |      0 |  1492273198 |       0 |      0 |         0 
 160288 Thread 46 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-1-12 |  1328000 |   446000 |   553014461 |  17310552253 |         0 |      0 |  1440986165 |       0 |      0 |         0 
 160289 Thread 47 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-1-13 |  1357000 |   438000 |   560154297 |  17515851062 |         0 |      0 |  1460624549 | 2285085 |      0 |         0 
 160290 Thread 48 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-1-14 |  1301000 |   448000 |   546553164 |  17066992914 |         0 |      0 |  1303425800 |       0 |      0 |         0 
 160291 Thread 49 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-1-15 |  1242000 |   456000 |   530315289 |  16569291339 |         0 |      0 |  1520632213 |       0 |      0 |         0 
 160292 Thread 50 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-1-16 |  1300000 |   449000 |   546241227 |  17066884386 |         0 |      0 |  1432648002 |       0 |      0 |         0 
 160293 Thread 51 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-1-17 |  1224000 |   444000 |   520426473 |  16276372550 |         0 |      0 |  1397465095 |       0 |      0 |         0 
 160294 Thread 52 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-1-18 |  1284000 |   482000 |   551871270 |  17232854425 |         0 |      0 |  1337585465 |       0 |      0 |         0 
 160295 Thread 53 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-1-19 |  1305000 |   455000 |   548275961 |  17174395351 |         0 |      0 |  1338320455 |       0 |      0 |         0 
 160296 Thread 54 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-0-0 |  1312000 |   445000 |   550854336 |  17145292484 |         0 |      0 |  1435913487 |       0 |      0 |         0 
 160297 Thread 55 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-0-1 |  1270000 |   452000 |   539260266 |  16803207246 |         0 |      0 |  1323758384 |       0 |      0 |         0 
 160298 Thread 56 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-0-2 |  1239000 |   401000 |   513297481 |  16003063781 |         0 |      0 |  1070597420 |       0 |      0 |         0 
 160299 Thread 57 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-0-3 |  1315000 |   477000 |   561661465 |  17486050999 |         0 |      0 |  1597708420 |       0 |      0 |         0 
 160300 Thread 58 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-0-4 |  1360000 |   445000 |   565663625 |  17613021800 |         0 |      0 |  1463466385 |       0 |      0 |         0 
 160301 Thread 59 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-0-5 |  1311000 |   459000 |   555156629 |  17271777538 |         0 |      0 |  1487306332 |       0 |      0 |         0 
 160302 Thread 60 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-0-6 |  1268000 |   465000 |   543074832 |  16911095781 |         0 |      0 |  1368716954 |       0 |      0 |         0 
 160303 Thread 61 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-0-7 |  1228000 |   428000 |   518869738 |  16159220152 |         0 |      0 |  1478006020 |       0 |      0 |         0 
 160304 Thread 62 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-0-8 |  1233000 |   404000 |   513029176 |  15973336301 |         0 |      0 |  1221332770 |       0 |      0 |         0 
 160305 Thread 63 - PartitionProcessorThre...59a-af07-1ca6fcc2fd3a-0-9 |  1233000 |   402000 |   511684379 |  15953310511 |         0 |      0 |  1288660465 |       0 |      0 |         0 
 160306 Thread 64 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-0-10 |  1328000 |   427000 |   549966031 |  17126125597 |         0 |      0 |  1372620481 |       0 |      0 |         0 
 160307 Thread 65 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-0-11 |  1275000 |   435000 |   535539063 |  16686120031 |         0 |      0 |  1406613219 |       0 |      0 |         0 
 160308 Thread 66 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-0-12 |  1298000 |   447000 |   547144512 |  17028544425 |         0 |      0 |  1505191141 |       0 |      0 |         0 
 160309 Thread 67 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-0-13 |  1300000 |   452000 |   548484172 |  17095672406 |         0 |      0 |  1554159340 |       0 |      0 |         0 
 160310 Thread 68 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-0-14 |  1339000 |   427000 |   553190937 |  17232407816 |         0 |      0 |  1509092459 |       0 |      0 |         0 
 160311 Thread 69 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-0-15 |  1318000 |   458000 |   557340269 |  17330764378 |         0 |      0 |  1413029902 |       0 |      0 |         0 
 160312 Thread 70 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-0-16 |  1195000 |   423000 |   506761035 |  15787977441 |         0 |      0 |  1441385454 |       0 |      0 |         0 
 160313 Thread 71 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-0-17 |  1291000 |   438000 |   542163246 |  16871425316 |         0 |      0 |  1548614342 |       0 |      0 |         0 
 160314 Thread 72 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-0-18 |  1278000 |   429000 |   534985637 |  16656301043 |         0 |      0 |  1389110246 |       0 |      0 |         0 
 160315 Thread 73 - PartitionProcessorThre...9a-af07-1ca6fcc2fd3a-0-19 |  1315000 |   463000 |   557673777 |  17350211324 |         0 |      0 |  1539260435 |       0 |      0 |         0 
 160730 Thread 74 - process reaper                                     |     3000 |        0 |      987253 |     29357253 |      2048 |      0 |       58796 |       0 |      0 |         0 
 160736 Thread 75 - Attach Listener                                    |   368000 |    83000 |   142942058 |   4407372999 |   5304320 | 261120 |     1292536 |       0 |      0 |         0 
