                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 157689 Thread 1 - main                                                |   584000 |    86000 |    40702557 |   5060344857 |  21203968 |   1024 |     5301317 |      0 |      0 |         0 
 157711 Thread 2 - Reference Handler                                   |     6000 |     1000 |      887656 |     56358285 |         0 |      0 |     1433340 |      0 |      0 |         0 
 157712 Thread 3 - Finalizer                                           |     6000 |     2000 |     1113285 |     65368824 |      5120 |      0 |     1251187 |      0 |      0 |         0 
 157714 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 157715 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        2694 |      0 |      0 |         0 
 157724 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29001000 | 29982000 | 17239721998 | 574185055285 | 584670208 | 131072 | 17165998703 |  62103 |      0 |         0 
 157725 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   176000 |    48000 |    64633175 |   2173373671 |   7011328 |   4096 |    30146470 | 435986 |      0 |         0 
 157729 Thread 14 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-2-0 |  1232000 |   405000 |   479365156 |  15964541804 |         0 |      0 |  1410583371 |      0 |      0 |         0 
 157730 Thread 15 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-2-1 |  1241000 |   480000 |   501881058 |  16779140257 |     33792 |      0 |  1373193812 |      0 |      0 |         0 
 157731 Thread 16 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-2-2 |  1161000 |   393000 |   453461004 |  15151163316 |    118784 |      0 |  1408265143 |      0 |      0 |         0 
 157732 Thread 17 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-2-3 |  1164000 |   392000 |   452352781 |  15171542547 |      3072 |      0 |  1386840833 |      0 |      0 |         0 
 157733 Thread 18 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-2-4 |  1146000 |   411000 |   453629363 |  15183984254 |         0 |      0 |  1377000867 |      0 |      0 |         0 
 157734 Thread 19 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-2-5 |  1209000 |   430000 |   478049914 |  15978779984 |      2048 |      0 |  1382385218 |      0 |      0 |         0 
 157735 Thread 20 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-2-6 |  1187000 |   435000 |   474803312 |  15818350992 |         0 |      0 |  1465505787 |      0 |      0 |         0 
 157736 Thread 21 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-2-7 |  1224000 |   398000 |   472846476 |  15820895242 |         0 |      0 |  1429006045 |      0 |      0 |         0 
 157737 Thread 22 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-2-8 |  1266000 |   431000 |   496190441 |  16550747343 |      1024 |      0 |  1434821895 |      0 |      0 |         0 
 157738 Thread 23 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-2-9 |  1182000 |   370000 |   453804039 |  15139472398 |         0 |      0 |  1364180442 |      0 |      0 |         0 
 157739 Thread 24 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-2-10 |  1107000 |   404000 |   440743359 |  14737592508 |         0 |      0 |  1385120462 |      0 |      0 |         0 
 157740 Thread 25 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-2-11 |  1135000 |   425000 |   456006808 |  15215470211 |         0 |      0 |  1506256613 |      0 |      0 |         0 
 157741 Thread 26 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-2-12 |  1236000 |   399000 |   478673101 |  15949945488 |      3072 |      0 |  1435717713 |      0 |      0 |         0 
 157742 Thread 27 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-2-13 |  1214000 |   434000 |   482073390 |  16076483414 |         0 |      0 |  1457844917 |      0 |      0 |         0 
 157743 Thread 28 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-2-14 |  1207000 |   398000 |   468237777 |  15655804519 |         0 |      0 |  1383513435 |      0 |      0 |         0 
 157744 Thread 29 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-2-15 |  1182000 |   384000 |   458282992 |  15276974973 |         0 |      0 |  1574383838 |      0 |      0 |         0 
 157745 Thread 30 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-2-16 |  1208000 |   400000 |   469731464 |  15682723648 |     43008 |      0 |  1595514746 |      0 |      0 |         0 
 157746 Thread 31 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-2-17 |  1221000 |   419000 |   480070246 |  15998656968 |         0 |      0 |  1400545489 |      0 |      0 |         0 
 157747 Thread 32 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-2-18 |  1217000 |   405000 |   472566492 |  15822159902 |         0 |      0 |  1629177454 |      0 |      0 |         0 
 157748 Thread 33 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-2-19 |  1178000 |   420000 |   468597781 |  15588270707 |         0 |      0 |  1472923633 |      0 |      0 |         0 
 157749 Thread 34 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-0-0 |  1208000 |   385000 |   468249468 |  15539750703 |         0 |      0 |  1396118751 |      0 |      0 |         0 
 157750 Thread 35 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-0-1 |  1213000 |   413000 |   478247820 |  15862578429 |         0 |      0 |  1283972987 |      0 |      0 |         0 
 157751 Thread 36 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-0-2 |  1256000 |   406000 |   488595250 |  16213691226 |  10831872 |      0 |  1586486994 |      0 |      0 |         0 
 157752 Thread 37 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-0-3 |  1264000 |   376000 |   482461515 |  15998809824 |         0 |      0 |  1403257297 |      0 |      0 |         0 
 157753 Thread 38 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-0-4 |  1164000 |   390000 |   457193105 |  15159961391 |         0 |      0 |  1314057508 |      0 |      0 |         0 
 157754 Thread 39 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-0-5 |  1213000 |   420000 |   480493000 |  15930797687 |         0 |      0 |  1375015147 |      0 |      0 |         0 
 157755 Thread 40 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-0-6 |  1227000 |   409000 |   481616320 |  15959807851 |         0 |      0 |  1309351377 |      0 |      0 |         0 
 157756 Thread 41 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-0-7 |  1166000 |   432000 |   470880906 |  15589511265 |         0 |      0 |  1510572785 |      0 |      0 |         0 
 157757 Thread 42 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-0-8 |  1215000 |   384000 |   470695074 |  15598929375 |         0 |      0 |  1466183838 |      0 |      0 |         0 
 157758 Thread 43 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-0-9 |  1212000 |   396000 |   472705859 |  15686682363 |         0 |      0 |  1456459681 |      0 |      0 |         0 
 157759 Thread 44 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-0-10 |  1168000 |   435000 |   472071726 |  15638008269 |         0 |      0 |  1364271098 |      0 |      0 |         0 
 157760 Thread 45 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-0-11 |  1109000 |   377000 |   437563648 |  14496735438 |         0 |      0 |  1513765624 |      0 |      0 |         0 
 157761 Thread 46 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-0-12 |  1121000 |   394000 |   445413344 |  14779416000 |         0 |      0 |  1381010875 |      0 |      0 |         0 
 157762 Thread 47 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-0-13 |  1160000 |   382000 |   454604824 |  15043013344 |         0 |      0 |  1498489780 |      0 |      0 |         0 
 157763 Thread 48 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-0-14 |  1214000 |   387000 |   470840636 |  15618561012 |         0 |      0 |  1588131937 |      0 |      0 |         0 
 157764 Thread 49 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-0-15 |  1170000 |   432000 |   470663871 |  15628456094 |      1024 |      0 |  1565371130 |      0 |      0 |         0 
 157765 Thread 50 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-0-16 |  1187000 |   414000 |   471244082 |  15618496324 |         0 |      0 |  1372679898 |      0 |      0 |         0 
 157766 Thread 51 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-0-17 |  1211000 |   385000 |   469294519 |  15569789539 |         0 |      0 |  1325742633 |      0 |      0 |         0 
 157767 Thread 52 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-0-18 |  1143000 |   401000 |   454489890 |  15062244215 |         0 |      0 |  1454852446 |      0 |      0 |         0 
 157768 Thread 53 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-0-19 |  1178000 |   425000 |   472098855 |  15637887429 |         0 |      0 |  1407491329 |      0 |      0 |         0 
 157769 Thread 54 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-1-0 |  1141000 |   390000 |   450994703 |  14935837605 |         0 |      0 |  1411639418 |      0 |      0 |         0 
 157770 Thread 55 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-1-1 |  1211000 |   379000 |   469074437 |  15511354394 |         0 |      0 |  1577470975 |      0 |      0 |         0 
 157771 Thread 56 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-1-2 |  1186000 |   401000 |   468594414 |  15482088133 |         0 |      0 |  1493643767 |      0 |      0 |         0 
 157772 Thread 57 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-1-3 |  1142000 |   384000 |   450263805 |  14886872152 |         0 |      0 |  1360162314 |      0 |      0 |         0 
 157773 Thread 58 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-1-4 |  1124000 |   370000 |   440516855 |  14574842777 |         0 |      0 |  1221664588 |      0 |      0 |         0 
 157774 Thread 59 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-1-5 |  1138000 |   392000 |   450327703 |  14925971223 |         0 |      0 |  1306775458 |      0 |      0 |         0 
 157775 Thread 60 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-1-6 |  1175000 |   447000 |   477824847 |  15823365769 |         0 |      0 |  1407221113 |      0 |      0 |         0 
 157776 Thread 61 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-1-7 |  1152000 |   410000 |   460363867 |  15238259863 |         0 |      0 |  1175696021 |      0 |      0 |         0 
 157777 Thread 62 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-1-8 |  1137000 |   411000 |   455935515 |  15101450980 |         0 |      0 |  1311818641 |      0 |      0 |         0 
 157778 Thread 63 - PartitionProcessorThre...83e-9aca-2e34ba46ced8-1-9 |  1169000 |   416000 |   467699129 |  15462609687 |         0 |      0 |  1325275711 |      0 |      0 |         0 
 157779 Thread 64 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-1-10 |  1273000 |   369000 |   484951195 |  16018698410 |         0 |      0 |  1410897839 |      0 |      0 |         0 
 157780 Thread 65 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-1-11 |  1082000 |   384000 |   432265684 |  14301745129 |         0 |      0 |  1357417896 |      0 |      0 |         0 
 157781 Thread 66 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-1-12 |  1124000 |   425000 |   457072726 |  15111521621 |         0 |      0 |  1403036088 |      0 |      0 |         0 
 157782 Thread 67 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-1-13 |  1169000 |   416000 |   467663301 |  15462756418 |         0 |      0 |  1311721184 |      0 |      0 |         0 
 157783 Thread 68 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-1-14 |  1213000 |   391000 |   472325894 |  15647643304 |         0 |      0 |  1428938518 |      0 |      0 |         0 
 157784 Thread 69 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-1-15 |  1242000 |   428000 |   492384281 |  16291906824 |         0 |      0 |  1314280666 |      0 |      0 |         0 
 157785 Thread 70 - PartitionProcessorThre...3e-9aca-2e34ba46ced8-1-16 |  1187000 |   403000 |   469234672 |  15511258824 |         0 |      0 |  1367601881 |      0 |      0 |         0 
