                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 150156 Thread 1 - main                                                |   551000 |    75000 |    38101846 |   4733681193 |  21046272 |   1024 |     3495343 |      0 |      0 |         0 
 150178 Thread 2 - Reference Handler                                   |     8000 |        0 |      970648 |     64058796 |         0 |      0 |           0 |      0 |      0 |         0 
 150179 Thread 3 - Finalizer                                           |     3000 |     1000 |      288140 |     30156816 |     13312 |      0 |      856171 |      0 |      0 |         0 
 150180 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 150181 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 150191 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29136000 | 32862000 | 18271699841 | 603670609415 | 636277760 | 126976 | 19542099021 | 117426 |      0 |         0 
 150192 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   189000 |    48000 |    69892581 |   2310317554 |   6875136 |   4096 |    59608485 | 257262 |      0 |         0 
 150195 Thread 14 - PartitionProcessorThre...5ca-882a-3036da7500de-1-0 |  1328000 |   462000 |   527582625 |  17463139453 |         0 |      0 |  1473859813 |      0 |      0 |         0 
 150196 Thread 15 - PartitionProcessorThre...5ca-882a-3036da7500de-1-1 |  1336000 |   446000 |   523478801 |  17378929043 |     36864 |      0 |  1228254216 |      0 |      0 |         0 
 150197 Thread 16 - PartitionProcessorThre...5ca-882a-3036da7500de-1-2 |  1269000 |   444000 |   502712578 |  16711261961 |         0 |      0 |  1208498874 |      0 |      0 |         0 
 150198 Thread 17 - PartitionProcessorThre...5ca-882a-3036da7500de-1-3 |  1263000 |   463000 |   507395598 |  16841304969 |         0 |      0 |  1298906925 |      0 |      0 |         0 
 150199 Thread 18 - PartitionProcessorThre...5ca-882a-3036da7500de-1-4 |  1354000 |   479000 |   536643774 |  17875832778 |         0 |      0 |  1430548002 |      0 |      0 |         0 
 150200 Thread 19 - PartitionProcessorThre...5ca-882a-3036da7500de-1-5 |  1374000 |   472000 |   542729278 |  18009232406 |      1024 |      0 |  1690776490 |      0 |      0 |         0 
 150201 Thread 20 - PartitionProcessorThre...5ca-882a-3036da7500de-1-6 |  1232000 |   424000 |   486615356 |  16157603762 |      3072 |      0 |  1452683109 | 191203 |      0 |         0 
 150202 Thread 21 - PartitionProcessorThre...5ca-882a-3036da7500de-1-7 |  1325000 |   452000 |   520768188 |  17336348801 |         0 |      0 |  1469438584 |      0 |      0 |         0 
 150203 Thread 22 - PartitionProcessorThre...5ca-882a-3036da7500de-1-8 |  1320000 |   441000 |   516316325 |  17176897094 |    122880 |      0 |  1305854406 |      0 |      0 |         0 
 150204 Thread 23 - PartitionProcessorThre...5ca-882a-3036da7500de-1-9 |  1301000 |   444000 |   513481879 |  17025213981 |      1024 |      0 |  1556488674 |      0 |      0 |         0 
 150205 Thread 24 - PartitionProcessorThre...ca-882a-3036da7500de-1-10 |  1299000 |   430000 |   508418801 |  16869992957 |      3072 |      0 |  1641221854 |      0 |      0 |         0 
 150206 Thread 25 - PartitionProcessorThre...ca-882a-3036da7500de-1-11 |  1434000 |   484000 |   566841949 |  18715037438 |      1024 |      0 |  1592962758 |      0 |      0 |         0 
