                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 120867 Thread 1 - main                                                |   566000 |    68000 |    39002815 |   4811212010 |  21055488 |   1024 |     5320783 |       0 |      0 |         0 
 120889 Thread 2 - Reference Handler                                   |     4000 |        0 |      374140 |     30932273 |         0 |      0 |       70363 |       0 |      0 |         0 
 120890 Thread 3 - Finalizer                                           |     5000 |        0 |      404124 |     37993390 |      5120 |      0 |     4825835 |       0 |      0 |         0 
 120891 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 120892 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        2399 |       0 |      0 |         0 
 120902 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27377000 | 29920000 | 17373676954 | 557682160982 | 586319872 | 129024 | 17200874967 |  107136 |      0 |         0 
 120903 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   175000 |    47000 |    67721483 |   2164331108 |   5557248 |   4096 |    21336481 | 1020591 |      0 |         0 
 120906 Thread 14 - PartitionProcessorThre...dce-b176-62d07bef77ca-2-0 |  1267000 |   383000 |   496068164 |  16083473676 |     36864 |      0 |  1661889871 |       0 |      0 |         0 
 120907 Thread 15 - PartitionProcessorThre...dce-b176-62d07bef77ca-2-1 |  1235000 |   420000 |   501250808 |  16141420989 |         0 |      0 |  1703748732 |       0 |      0 |         0 
 120908 Thread 16 - PartitionProcessorThre...dce-b176-62d07bef77ca-2-2 |  1235000 |   398000 |   492512508 |  15925466524 |         0 |      0 |  1595959132 |       0 |      0 |         0 
 120909 Thread 17 - PartitionProcessorThre...dce-b176-62d07bef77ca-2-3 |  1215000 |   400000 |   487907664 |  15751483176 |         0 |      0 |  1547847955 |       0 |      0 |         0 
 120910 Thread 18 - PartitionProcessorThre...dce-b176-62d07bef77ca-2-4 |  1262000 |   448000 |   517770406 |  16679866965 |         0 |      0 |  1533808767 |       0 |      0 |         0 
 120911 Thread 19 - PartitionProcessorThre...dce-b176-62d07bef77ca-2-5 |  1284000 |   400000 |   505307175 |  16419665504 |    117760 |      0 |  1397448551 |       0 |      0 |         0 
 120912 Thread 20 - PartitionProcessorThre...dce-b176-62d07bef77ca-2-6 |  1208000 |   422000 |   490245086 |  15897982458 |      2048 |      0 |  1516455766 |       0 |      0 |         0 
 120913 Thread 21 - PartitionProcessorThre...dce-b176-62d07bef77ca-2-7 |  1253000 |   427000 |   507465925 |  16383892567 |         0 |      0 |  1434909422 |       0 |      0 |         0 
 120914 Thread 22 - PartitionProcessorThre...dce-b176-62d07bef77ca-2-8 |  1244000 |   368000 |   485859082 |  15723850415 |         0 |      0 |  1659016861 |       0 |      0 |         0 
 120915 Thread 23 - PartitionProcessorThre...dce-b176-62d07bef77ca-2-9 |  1187000 |   416000 |   484866793 |  15635976204 |         0 |      0 |  1433556196 |       0 |      0 |         0 
