                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 67758 Thread 1 - main                                                |   833000 |   130000 |    64049115 |   7390460787 |  34516992 |   1024 |     6262765 |      0 |      0 |         0 
 67780 Thread 2 - Reference Handler                                   |     5000 |     1000 |      617714 |     49859281 |         0 |      0 |     2759089 |      0 |      0 |         0 
 67781 Thread 3 - Finalizer                                           |     7000 |        0 |      615253 |     55541285 |      5120 |      0 |     1523532 |      0 |      0 |         0 
 67782 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 67783 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 67790 Thread 12 - RMI Scheduler(0)                                   |     3000 |     2000 |     1592621 |     48856671 |      2048 |      0 |       28583 |      0 |      0 |         0 
 67791 Thread 13 - RMI RenewClean-[10.231.182.152:39552]              |     1000 |        0 |       83007 |      7893574 |      1024 |      0 |           0 |      0 |      0 |         0 
 67792 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 67794 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 26315000 | 35103000 | 18740301874 | 598444507308 | 574646272 | 108544 | 14783614471 | 198292 |      0 |         0 
 67799 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   225000 |    38000 |    79350792 |   2558201776 |   5421056 |   5120 |    28697242 | 212909 |      0 |         0 
 67802 Thread 17 - PartitionProcessorThre...3f8-a776-644399b2059a-1-0 |  1323000 |   413000 |   524075996 |  16918997902 |     34816 |      0 |  1067780383 |      0 |      0 |         0 
 67803 Thread 18 - PartitionProcessorThre...3f8-a776-644399b2059a-1-1 |  1276000 |   394000 |   503772293 |  16282684777 |         0 |      0 |  1174374581 |      0 |      0 |         0 
 67804 Thread 19 - PartitionProcessorThre...3f8-a776-644399b2059a-1-2 |  1186000 |   451000 |   493144097 |  15959813382 |         0 |      0 |  1272987924 |      0 |      0 |         0 
 67805 Thread 20 - PartitionProcessorThre...3f8-a776-644399b2059a-1-3 |  1263000 |   465000 |   522380691 |  16849299952 |         0 |      0 |  1338763725 |      0 |      0 |         0 
 67806 Thread 21 - PartitionProcessorThre...3f8-a776-644399b2059a-1-4 |  1170000 |   431000 |   484107269 |  15610424468 |         0 |      0 |   975541733 |      0 |      0 |         0 
 67807 Thread 22 - PartitionProcessorThre...3f8-a776-644399b2059a-1-5 |  1277000 |   430000 |   517352921 |  16646184659 |         0 |      0 |  1217729337 |      0 |      0 |         0 
 67808 Thread 23 - PartitionProcessorThre...3f8-a776-644399b2059a-1-6 |  1194000 |   398000 |   482154090 |  15526193871 |      4096 |      0 |  1115729512 |      0 |      0 |         0 
 67809 Thread 24 - PartitionProcessorThre...3f8-a776-644399b2059a-1-7 |  1274000 |   402000 |   507263843 |  16343955824 |         0 |      0 |  1312080179 |      0 |      0 |         0 
 67810 Thread 25 - PartitionProcessorThre...3f8-a776-644399b2059a-1-8 |  1199000 |   444000 |   495070105 |  16018206382 |         0 |      0 |  1230392272 |      0 |      0 |         0 
 67811 Thread 26 - PartitionProcessorThre...3f8-a776-644399b2059a-1-9 |  1195000 |   411000 |   486936980 |  15662946878 |      1024 |      0 |  1085344712 |      0 |      0 |         0 
 67812 Thread 27 - PartitionProcessorThre...f8-a776-644399b2059a-1-10 |  1199000 |   386000 |   477047484 |  15451481500 |         0 |      0 |  1046029822 |      0 |      0 |         0 
 67813 Thread 28 - PartitionProcessorThre...f8-a776-644399b2059a-1-11 |  1224000 |   377000 |   483188551 |  15614656566 |         0 |      0 |  1195321699 |      0 |      0 |         0 
 67814 Thread 29 - PartitionProcessorThre...f8-a776-644399b2059a-1-12 |  1309000 |   437000 |   526209707 |  17022062573 |  10831872 |      0 |  1197643329 |      0 |      0 |         0 
 67815 Thread 30 - PartitionProcessorThre...f8-a776-644399b2059a-1-13 |  1212000 |   375000 |   478904363 |  15471852546 |         0 |      0 |  1100884526 |      0 |      0 |         0 
 67816 Thread 31 - PartitionProcessorThre...f8-a776-644399b2059a-1-14 |  1213000 |   439000 |   500322441 |  16108940421 |         0 |      0 |  1319683031 |      0 |      0 |         0 
 67817 Thread 32 - PartitionProcessorThre...f8-a776-644399b2059a-1-15 |  1212000 |   381000 |   482194211 |  15534662265 |         0 |      0 |  1276973979 |      0 |      0 |         0 
