                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 120908 Thread 1 - main                                                |   885000 |   185000 |    69748591 |   8212773768 |  34140160 |   1024 |    30145553 |      0 |      0 |         0 
 120930 Thread 2 - Reference Handler                                   |     5000 |        0 |      474957 |     40506414 |         0 |      0 |      107373 |      0 |      0 |         0 
 120931 Thread 3 - Finalizer                                           |     5000 |        0 |      634277 |     43267824 |      5120 |      0 |     1604324 |      0 |      0 |         0 
 120932 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 120933 Thread 5 - Signal Dispatcher                                   |     1000 |     1000 |      329269 |     16986035 |         0 |      0 |           0 |      0 |      0 |         0 
 120943 Thread 12 - RMI Scheduler(0)                                   |     3000 |     1000 |      962253 |     37033808 |      4096 |      0 |       22915 |      0 |      0 |         0 
 120944 Thread 13 - RMI RenewClean-[10.231.182.152:44101]              |     1000 |        0 |       81824 |      7893246 |      1024 |      0 |           0 |      0 |      0 |         0 
 120945 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 120949 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 29853000 | 30414000 | 17725735297 | 587136327827 | 573556736 | 132096 | 19191183832 | 220670 |      0 |         0 
 120951 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   222000 |    58000 |    81037909 |   2717104882 |   6232064 |   5120 |    37831123 | 434689 |      0 |         0 
 120955 Thread 17 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-2-0 |  1360000 |   389000 |   511180566 |  17046950024 |     33792 |      0 |  1688662448 |      0 |      0 |         0 
 120956 Thread 18 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-2-1 |  1276000 |   389000 |   487417086 |  16235318059 |         0 |      0 |  1781102706 |      0 |      0 |         0 
 120957 Thread 19 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-2-2 |  1349000 |   397000 |   513152296 |  17027768743 |         0 |      0 |  1909527980 |      0 |      0 |         0 
 120958 Thread 20 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-2-3 |  1216000 |   361000 |   462431226 |  15377290224 |         0 |      0 |  1767388748 |      0 |      0 |         0 
 120959 Thread 21 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-2-4 |  1252000 |   471000 |   505562753 |  16801963864 |         0 |      0 |  1773462484 |      0 |      0 |         0 
 120960 Thread 22 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-2-5 |  1354000 |   411000 |   516638597 |  17209916977 |         0 |      0 |  1778468307 |      0 |      0 |         0 
 120961 Thread 23 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-2-6 |  1289000 |   402000 |   494819039 |  16485596762 |    122880 |      0 |  1853105420 |      0 |      0 |         0 
 120962 Thread 24 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-2-7 |  1291000 |   393000 |   493174269 |  16418560923 |      3072 |      0 |  1902372574 |      0 |      0 |         0 
 120963 Thread 25 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-2-8 |  1343000 |   450000 |   527417703 |  17487127024 |         0 |      0 |  1714761560 |      0 |      0 |         0 
 120964 Thread 26 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-2-9 |  1333000 |   428000 |   517856124 |  17174701587 |  10831872 |      0 |  1870769651 |      0 |      0 |         0 
 120965 Thread 27 - PartitionProcessorThre...2a-8b8e-8b270bea19af-2-10 |  1338000 |   404000 |   509720191 |  16985162153 |         0 |      0 |  1789209333 |      0 |      0 |         0 
 120966 Thread 28 - PartitionProcessorThre...2a-8b8e-8b270bea19af-2-11 |  1289000 |   443000 |   508001199 |  16888844434 |         0 |      0 |  1869397205 |      0 |      0 |         0 
 120967 Thread 29 - PartitionProcessorThre...2a-8b8e-8b270bea19af-2-12 |  1256000 |   379000 |   478097472 |  15942498723 |         0 |      0 |  1695468247 |      0 |      0 |         0 
 120968 Thread 30 - PartitionProcessorThre...2a-8b8e-8b270bea19af-2-13 |  1361000 |   396000 |   515122656 |  17134960919 |         0 |      0 |  1886451738 |      0 |      0 |         0 
 120969 Thread 31 - PartitionProcessorThre...2a-8b8e-8b270bea19af-2-14 |  1405000 |   410000 |   531378370 |  17696330739 |         0 |      0 |  1937857829 |      0 |      0 |         0 
 120970 Thread 32 - PartitionProcessorThre...2a-8b8e-8b270bea19af-2-15 |  1456000 |   498000 |   572859433 |  19053281078 |         0 |      0 |  1899926415 |      0 |      0 |         0 
 120971 Thread 33 - PartitionProcessorThre...2a-8b8e-8b270bea19af-2-16 |  1299000 |   417000 |   502676312 |  16733634919 |         0 |      0 |  1814618431 |      0 |      0 |         0 
 120972 Thread 34 - PartitionProcessorThre...2a-8b8e-8b270bea19af-2-17 |  1336000 |   408000 |   510884652 |  17005440657 |         0 |      0 |  1819698696 |      0 |      0 |         0 
 120973 Thread 35 - PartitionProcessorThre...2a-8b8e-8b270bea19af-2-18 |  1295000 |   416000 |   500887793 |  16683833614 |         0 |      0 |  1895272373 |      0 |      0 |         0 
 120974 Thread 36 - PartitionProcessorThre...2a-8b8e-8b270bea19af-2-19 |  1320000 |   434000 |   512958808 |  17102870919 |         0 |      0 |  1775077111 |      0 |      0 |         0 
 120975 Thread 37 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-0-0 |  1292000 |   429000 |   506460867 |  16793394786 |         0 |      0 |  1694267797 |      0 |      0 |         0 
 120976 Thread 38 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-0-1 |  1343000 |   398000 |   511847714 |  16989393872 |         0 |      0 |  1875259557 |      0 |      0 |         0 
 120977 Thread 39 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-0-2 |  1265000 |   447000 |   504452539 |  16705751520 |         0 |      0 |  1800202073 |      0 |      0 |         0 
 120978 Thread 40 - PartitionProcessorThre...e2a-8b8e-8b270bea19af-0-3 |  1296000 |   404000 |   498955168 |  16588988337 |         0 |      0 |  1584513899 |      0 |      0 |         0 
