                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 104817 Thread 1 - main                                                |  1049000 |   106000 |    79764107 |   8167255571 |  15109120 |   1024 |     8103217 |      0 |      0 |         0 
 104824 Thread 2 - Reference Handler                                   |     1000 |     1000 |      108730 |     13721253 |         0 |      0 |      299191 |      0 |      0 |         0 
 104825 Thread 3 - Finalizer                                           |        0 |     1000 |       16886 |      6212687 |      5120 |      0 |       30437 |      0 |      0 |         0 
 104826 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |      122053 |      0 |      0 |         0 
 104832 Thread 11 - Common-Cleaner                                     |     1000 |        0 |       24445 |      6768882 |         0 |      0 |      341114 |      0 |      0 |         0 
 104838 Thread 13 - RMI Scheduler(0)                                   |        0 |     2000 |      479835 |     16868285 |      1024 |      0 |       28727 |      0 |      0 |         0 
 104844 Thread 14 - RMI RenewClean-[10.231.182.152:33760]              |     2000 |        0 |      170328 |     14875023 |         0 |      0 |           0 |      0 |      0 |         0 
 104845 Thread 15 - RMI GC Daemon                                      |     1000 |        0 |       82132 |      7437511 |         0 |      0 |      205262 |      0 |      0 |         0 
 104847 Thread 16 - logging-metrics-publisher                          |   209000 |    20000 |    80749565 |   2263626714 |     17408 | 323584 |   191684856 |      0 |      0 |         0 
 104849 Thread 17 - DecatonSubscriptionThread-decaton-benchmark        | 27144000 | 35926000 | 25302202657 | 622650327334 | 623766528 | 103424 | 18912890989 | 303810 |      0 |         0 
 104852 Thread 18 - kafka-coordinator-hear...hread | decaton-benchmark |   229000 |    50000 |   109612136 |   2751550675 |   6714368 |   5120 |    19090126 | 555276 |      0 |         0 
 104857 Thread 19 - PartitionProcessorThre...fe0-ad18-a0937b42e594-1-0 |  1985000 |   387000 |   951630460 |  23442296610 |     33792 |      0 |  1369484216 |      0 |      0 |         0 
 104858 Thread 20 - PartitionProcessorThre...fe0-ad18-a0937b42e594-1-1 |  2048000 |   472000 |  1015205565 |  24920968602 |         0 |      0 |  1506620805 |      0 |      0 |         0 
 104859 Thread 21 - PartitionProcessorThre...fe0-ad18-a0937b42e594-1-2 |  2047000 |   413000 |   989474354 |  24328312895 |         0 |      0 |  1376189921 |      0 |      0 |         0 
 104860 Thread 22 - PartitionProcessorThre...fe0-ad18-a0937b42e594-1-3 |  2030000 |   397000 |   978577112 |  23995452634 |      2048 |      0 |  1534461425 |      0 |      0 |         0 
 104861 Thread 23 - PartitionProcessorThre...fe0-ad18-a0937b42e594-1-4 |  1945000 |   400000 |   942889026 |  23188432560 |      4096 |      0 |  1598695513 |      0 |      0 |         0 
 104862 Thread 24 - PartitionProcessorThre...fe0-ad18-a0937b42e594-1-5 |  1965000 |   400000 |   952725690 |  23386479177 |         0 |      0 |  1457354677 |      0 |      0 |         0 
 104863 Thread 25 - PartitionProcessorThre...fe0-ad18-a0937b42e594-1-6 |  1983000 |   411000 |   966750468 |  23674631188 |      8192 |      0 |  1678131179 |      0 |      0 |         0 
 104864 Thread 26 - PartitionProcessorThre...fe0-ad18-a0937b42e594-1-7 |  2022000 |   392000 |   972788104 |  23868205403 |         0 |      0 |  1539673113 |      0 |      0 |         0 
 104865 Thread 27 - PartitionProcessorThre...fe0-ad18-a0937b42e594-1-8 |  2096000 |   415000 |  1012837303 |  24829097427 |      3072 |      0 |  1648127413 |      0 |      0 |         0 
 104866 Thread 28 - PartitionProcessorThre...fe0-ad18-a0937b42e594-1-9 |  2056000 |   431000 |  1002654827 |  24591386388 |         0 |      0 |  1673139019 |      0 |      0 |         0 
 104867 Thread 29 - PartitionProcessorThre...e0-ad18-a0937b42e594-1-10 |  2046000 |   418000 |   991138889 |  24365702259 |         0 |      0 |  1587562051 |      0 |      0 |         0 
 104868 Thread 30 - PartitionProcessorThre...e0-ad18-a0937b42e594-1-11 |  2092000 |   429000 |  1015116698 |  24931669763 |         0 |      0 |  1427137408 |      0 |      0 |         0 
 104869 Thread 31 - PartitionProcessorThre...e0-ad18-a0937b42e594-1-12 |  2004000 |   410000 |   973271061 |  23872120560 |         0 |      0 |  1513528109 |      0 |      0 |         0 
 104870 Thread 32 - PartitionProcessorThre...e0-ad18-a0937b42e594-1-13 |  1971000 |   408000 |   961387706 |  23528834243 |         0 |      0 |  1304864119 |      0 |      0 |         0 
