                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 101650 Thread 1 - main                                                |  1072000 |    96000 |    80175173 |   8212759994 |  15109120 |   1024 |     6813636 |       0 |      0 |         0 
 101657 Thread 2 - Reference Handler                                   |     2000 |     1000 |      275749 |     23544078 |         0 |      0 |     2014973 |       0 |      0 |         0 
 101658 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |       86788 |       0 |      0 |         0 
 101659 Thread 4 - Signal Dispatcher                                   |        0 |     1000 |      336023 |      9889960 |         0 |      0 |       60200 |       0 |      0 |         0 
 101665 Thread 11 - Common-Cleaner                                     |     3000 |        0 |      250050 |     23356117 |         0 |      0 |      297867 |       0 |      0 |         0 
 101670 Thread 13 - RMI Scheduler(0)                                   |     2000 |        0 |      402566 |     16803281 |      1024 |      0 |        4711 |       0 |      0 |         0 
 101676 Thread 14 - RMI RenewClean-[10.231.182.152:46080]              |     2000 |        0 |      164207 |     14678003 |         0 |      0 |           0 |       0 |      0 |         0 
 101677 Thread 15 - RMI GC Daemon                                      |        0 |     1000 |       80738 |      7372507 |         0 |      0 |       13727 |       0 |      0 |         0 
 101679 Thread 16 - logging-metrics-publisher                          |   242000 |    17000 |    85202694 |   2561696495 |     17408 | 413696 |    58740168 |       0 |      0 |         0 
 101682 Thread 17 - DecatonSubscriptionThread-decaton-benchmark        | 25569000 | 32454000 | 19000984695 | 572394536738 | 572206080 | 123904 | 18498344002 |  254093 |      0 |         0 
 101684 Thread 18 - kafka-coordinator-hear...hread | decaton-benchmark |   276000 |    49000 |   104791557 |   3190639003 |   6968320 |   7168 |    26907227 |  388991 |      0 |         0 
 101688 Thread 19 - PartitionProcessorThre...694-a8ec-9c5c49d0014a-1-0 |  1922000 |   363000 |   743418679 |  22565070107 |     34816 |      0 |  1531205854 |       0 |      0 |         0 
 101689 Thread 20 - PartitionProcessorThre...694-a8ec-9c5c49d0014a-1-1 |  1901000 |   353000 |   737279366 |  22270006935 |         0 |      0 |  1315043203 |       0 |      0 |         0 
 101690 Thread 21 - PartitionProcessorThre...694-a8ec-9c5c49d0014a-1-2 |  1913000 |   378000 |   744940995 |  22626303775 |      2048 |      0 |  1587833076 |       0 |      0 |         0 
 101691 Thread 22 - PartitionProcessorThre...694-a8ec-9c5c49d0014a-1-3 |  1974000 |   389000 |   769489327 |  23334358837 |         0 |      0 |  1424610026 |       0 |      0 |         0 
 101692 Thread 23 - PartitionProcessorThre...694-a8ec-9c5c49d0014a-1-4 |  1926000 |   378000 |   753092866 |  22754767614 |         0 |      0 |  1669743767 |       0 |      0 |         0 
 101693 Thread 24 - PartitionProcessorThre...694-a8ec-9c5c49d0014a-1-5 |  1917000 |   383000 |   748350448 |  22715301126 |         0 |      0 |  1491935655 |       0 |      0 |         0 
 101694 Thread 25 - PartitionProcessorThre...694-a8ec-9c5c49d0014a-1-6 |  1829000 |   368000 |   714400921 |  21695379357 |         0 |      0 |  1648328690 |       0 |      0 |         0 
 101695 Thread 26 - PartitionProcessorThre...694-a8ec-9c5c49d0014a-1-7 |  1874000 |   371000 |   734938952 |  22179249993 |         0 |      0 |  1473190690 |       0 |      0 |         0 
 101696 Thread 27 - PartitionProcessorThre...694-a8ec-9c5c49d0014a-1-8 |  1971000 |   380000 |   768131940 |  23217329923 |      5120 |      0 |  1449682091 |       0 |      0 |         0 
 101697 Thread 28 - PartitionProcessorThre...694-a8ec-9c5c49d0014a-1-9 |  1952000 |   340000 |   746853175 |  22636786786 |         0 |      0 |  1389909404 |       0 |      0 |         0 
 101698 Thread 29 - PartitionProcessorThre...94-a8ec-9c5c49d0014a-1-10 |  1916000 |   391000 |   753502378 |  22784315685 |         0 |      0 |  1494569926 |       0 |      0 |         0 
