                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 41584 Thread 1 - main                                                |   831000 |   141000 |    65815705 |   7481320518 |  34331648 |      0 |     8297325 |      0 |      0 |         0 
 41606 Thread 2 - Reference Handler                                   |     5000 |     1000 |      447769 |     45714828 |         0 |      0 |    10497280 |      0 |      0 |         0 
 41607 Thread 3 - Finalizer                                           |     8000 |        0 |      963773 |     65953093 |      5120 |      0 |     2606282 |      0 |      0 |         0 
 41608 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       10426 |      0 |      0 |         0 
 41609 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        4163 |      0 |      0 |         0 
 41619 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      641007 |     27278308 |      4096 |      0 |       18125 |      0 |      0 |         0 
 41620 Thread 13 - RMI RenewClean-[10.231.182.152:35669]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 41621 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |       13418 |      0 |      0 |         0 
 41623 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 30278000 | 34385000 | 18057065285 | 630143823288 | 624132096 | 121856 | 20684315523 |  98596 |      0 |         0 
 41624 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   209000 |    48000 |    71522394 |   2506679788 |   6905856 |   4096 |    28231877 | 182363 |      0 |         0 
 41629 Thread 17 - PartitionProcessorThre...bf1-8112-67fa74858556-0-0 |  1552000 |   446000 |   552571703 |  19473646089 |     35840 |      0 |  1546816529 |      0 |      0 |         0 
 41630 Thread 18 - PartitionProcessorThre...bf1-8112-67fa74858556-0-1 |  1487000 |   524000 |   555095469 |  19604779409 |      3072 |      0 |  1698546579 |      0 |      0 |         0 
 41631 Thread 19 - PartitionProcessorThre...bf1-8112-67fa74858556-0-2 |  1470000 |   467000 |   540686828 |  18894550570 |         0 |      0 |  1602120993 |      0 |      0 |         0 
 41632 Thread 20 - PartitionProcessorThre...bf1-8112-67fa74858556-0-3 |  1534000 |   461000 |   549678543 |  19447331640 |         0 |      0 |  1648964527 |      0 |      0 |         0 
 41633 Thread 21 - PartitionProcessorThre...bf1-8112-67fa74858556-0-4 |  1551000 |   472000 |   558427535 |  19718483964 |         0 |      0 |  1547811000 |      0 |      0 |         0 
 41634 Thread 22 - PartitionProcessorThre...bf1-8112-67fa74858556-0-5 |  1487000 |   493000 |   547308262 |  19303955206 |         0 |      0 |  1505377021 |      0 |      0 |         0 
 41635 Thread 23 - PartitionProcessorThre...bf1-8112-67fa74858556-0-6 |  1497000 |   475000 |   542436153 |  19218649238 |         0 |      0 |  1665583012 |      0 |      0 |         0 
 41636 Thread 24 - PartitionProcessorThre...bf1-8112-67fa74858556-0-7 |  1442000 |   418000 |   512542938 |  18132027824 |         0 |      0 |  1470363616 |      0 |      0 |         0 
 41637 Thread 25 - PartitionProcessorThre...bf1-8112-67fa74858556-0-8 |  1514000 |   452000 |   544163125 |  19170363148 |         0 |      0 |  1470729925 |      0 |      0 |         0 
 41638 Thread 26 - PartitionProcessorThre...bf1-8112-67fa74858556-0-9 |  1533000 |   415000 |   540101946 |  18996748144 |         0 |      0 |  1609845810 |      0 |      0 |         0 
 41639 Thread 27 - PartitionProcessorThre...f1-8112-67fa74858556-0-10 |  1602000 |   464000 |   572084230 |  20143646765 |         0 |      0 |  1343127406 |      0 |      0 |         0 
 41640 Thread 28 - PartitionProcessorThre...f1-8112-67fa74858556-0-11 |  1610000 |   477000 |   578216555 |  20352663226 |         0 |      0 |  1582990340 |      0 |      0 |         0 
 41641 Thread 29 - PartitionProcessorThre...f1-8112-67fa74858556-0-12 |  1576000 |   481000 |   570465168 |  20060799370 |         0 |      0 |  1584449835 |      0 |      0 |         0 
