                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 39320 Thread 1 - main                                                |   864000 |   149000 |    67523482 |   7780962084 |  34331648 |   1024 |     7049078 |       0 |      0 |         0 
 39342 Thread 2 - Reference Handler                                   |     6000 |        0 |      622769 |     48754433 |         0 |      0 |     1409839 |       0 |      0 |         0 
 39343 Thread 3 - Finalizer                                           |     7000 |        0 |      846550 |     56475749 |      5120 |      0 |     1926803 |       0 |      0 |         0 
 39344 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 39345 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        8733 |       0 |      0 |         0 
 39355 Thread 12 - RMI Scheduler(0)                                   |     2000 |     1000 |      689484 |     27311519 |      4096 |      0 |       14095 |       0 |      0 |         0 
 39356 Thread 13 - RMI RenewClean-[10.231.182.152:34486]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |       0 |      0 |         0 
 39357 Thread 14 - GC Daemon                                          |     1000 |        0 |       82558 |      7893253 |         0 |      0 |           0 |       0 |      0 |         0 
 39359 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 27124000 | 30475000 | 16724154912 | 561048321549 | 572171264 | 133120 | 19274148251 |  159963 |      0 |         0 
 39361 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   214000 |    31000 |    70112890 |   2381766796 |   7533568 |   5120 |    55699385 |  187526 |      0 |         0 
 39365 Thread 17 - PartitionProcessorThre...698-8d62-6969e6c24a52-1-0 |  1355000 |   417000 |   509373332 |  17252507808 |     35840 |      0 |  1617782037 |       0 |      0 |         0 
 39366 Thread 18 - PartitionProcessorThre...698-8d62-6969e6c24a52-1-1 |  1491000 |   387000 |   540531602 |  18298934648 |      6144 |      0 |  1687426476 |       0 |      0 |         0 
 39367 Thread 19 - PartitionProcessorThre...698-8d62-6969e6c24a52-1-2 |  1422000 |   390000 |   524769965 |  17670663461 |         0 |      0 |  1828210449 |       0 |      0 |         0 
 39368 Thread 20 - PartitionProcessorThre...698-8d62-6969e6c24a52-1-3 |  1437000 |   394000 |   527214430 |  17850342008 |         0 |      0 |  1979787058 |       0 |      0 |         0 
 39369 Thread 21 - PartitionProcessorThre...698-8d62-6969e6c24a52-1-4 |  1430000 |   441000 |   538175609 |  18238785758 |         0 |      0 |  1832475036 |       0 |      0 |         0 
 39370 Thread 22 - PartitionProcessorThre...698-8d62-6969e6c24a52-1-5 |  1403000 |   433000 |   529464485 |  17896951789 |         0 |      0 |  1821060864 |       0 |      0 |         0 
 39371 Thread 23 - PartitionProcessorThre...698-8d62-6969e6c24a52-1-6 |  1367000 |   425000 |   517143610 |  17467656703 |         0 |      0 |  1651436912 |       0 |      0 |         0 
 39372 Thread 24 - PartitionProcessorThre...698-8d62-6969e6c24a52-1-7 |  1414000 |   389000 |   521052477 |  17576738531 |         0 |      0 |  1562059306 |       0 |      0 |         0 
 39373 Thread 25 - PartitionProcessorThre...698-8d62-6969e6c24a52-1-8 |  1380000 |   397000 |   512956719 |  17323986746 |         0 |      0 |  1744267474 |       0 |      0 |         0 
 39374 Thread 26 - PartitionProcessorThre...698-8d62-6969e6c24a52-1-9 |  1415000 |   416000 |   529817801 |  17853154660 |         0 |      0 |  1563404976 |       0 |      0 |         0 
 39375 Thread 27 - PartitionProcessorThre...98-8d62-6969e6c24a52-1-10 |  1361000 |   413000 |   514246676 |  17295830461 |         0 |      0 |  1661311890 |       0 |      0 |         0 
 39376 Thread 28 - PartitionProcessorThre...98-8d62-6969e6c24a52-1-11 |  1411000 |   464000 |   539756828 |  18274418312 |         0 |      0 |  1632008769 |       0 |      0 |         0 
 39377 Thread 29 - PartitionProcessorThre...98-8d62-6969e6c24a52-1-12 |  1465000 |   420000 |   543891984 |  18374995632 |         0 |      0 |  1715747507 |       0 |      0 |         0 
