                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 96964 Thread 1 - main                                                |   804000 |   167000 |    63707135 |   7453657415 |  34336768 |   1024 |     6414330 |       0 |      0 |         0 
 96986 Thread 2 - Reference Handler                                   |     5000 |        0 |      818761 |     42888796 |         0 |      0 |     2185278 |       0 |      0 |         0 
 96987 Thread 3 - Finalizer                                           |     5000 |     1000 |      449632 |     45779851 |      5120 |      0 |     1475016 |       0 |      0 |         0 
 96988 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        1905 |       0 |      0 |         0 
 96989 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      285355 |      9757757 |         0 |      0 |           0 |       0 |      0 |         0 
 96996 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      563699 |     19515070 |      4096 |      0 |       94713 |       0 |      0 |         0 
 96997 Thread 13 - RMI RenewClean-[10.231.182.152:45016]              |        0 |        0 |           0 |            0 |      1024 |      0 |        6203 |       0 |      0 |         0 
 96998 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 97000 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 27827000 | 33701000 | 17256893481 | 599559917958 | 623787008 | 131072 | 21641664795 |  106212 |      0 |         0 
 97002 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   242000 |    55000 |    82239702 |   2888827015 |   7197696 |   5120 |    32496987 |  343904 |      0 |         0 
 97008 Thread 17 - PartitionProcessorThre...7ca-b088-70b4c3858165-0-0 |  1535000 |   445000 |   552674191 |  19293441835 |     34816 |      0 |  1609511012 |       0 |      0 |         0 
 97009 Thread 18 - PartitionProcessorThre...7ca-b088-70b4c3858165-0-1 |  1528000 |   505000 |   566852957 |  19825464268 |      3072 |      0 |  1546847293 |       0 |      0 |         0 
 97010 Thread 19 - PartitionProcessorThre...7ca-b088-70b4c3858165-0-2 |  1447000 |   473000 |   533885582 |  18715801217 |      1024 |      0 |  1806775320 |       0 |      0 |         0 
 97011 Thread 20 - PartitionProcessorThre...7ca-b088-70b4c3858165-0-3 |  1517000 |   441000 |   543091211 |  19093188479 |         0 |      0 |  1583729472 |       0 |      0 |         0 
 97012 Thread 21 - PartitionProcessorThre...7ca-b088-70b4c3858165-0-4 |  1469000 |   450000 |   534657391 |  18714433417 |      4096 |      0 |  1463528520 |       0 |      0 |         0 
 97013 Thread 22 - PartitionProcessorThre...7ca-b088-70b4c3858165-0-5 |  1509000 |   430000 |   539776234 |  18908642643 |         0 |      0 |  1647603753 |       0 |      0 |         0 
 97014 Thread 23 - PartitionProcessorThre...7ca-b088-70b4c3858165-0-6 |  1487000 |   467000 |   544637344 |  19056367503 |         0 |      0 |  1806246160 |       0 |      0 |         0 
 97015 Thread 24 - PartitionProcessorThre...7ca-b088-70b4c3858165-0-7 |  1464000 |   442000 |   532887746 |  18592195393 |         0 |      0 |  1644937601 |       0 |      0 |         0 
 97016 Thread 25 - PartitionProcessorThre...7ca-b088-70b4c3858165-0-8 |  1439000 |   450000 |   526634598 |  18422010401 |         0 |      0 |  1440981534 |       0 |      0 |         0 
 97017 Thread 26 - PartitionProcessorThre...7ca-b088-70b4c3858165-0-9 |  1435000 |   464000 |   528497071 |  18519853854 |         0 |      0 |  1612302807 |       0 |      0 |         0 
 97018 Thread 27 - PartitionProcessorThre...ca-b088-70b4c3858165-0-10 |  1483000 |   456000 |   541955090 |  18914187975 |         0 |      0 |  1659487362 |       0 |      0 |         0 
 97019 Thread 28 - PartitionProcessorThre...ca-b088-70b4c3858165-0-11 |  1518000 |   495000 |   561175055 |  19633032397 |         0 |      0 |  1740790244 |       0 |      0 |         0 
 97020 Thread 29 - PartitionProcessorThre...ca-b088-70b4c3858165-0-12 |  1449000 |   503000 |   542504953 |  19033695624 |         0 |      0 |  1608251335 |       0 |      0 |         0 
 97021 Thread 30 - PartitionProcessorThre...ca-b088-70b4c3858165-0-13 |  1471000 |   469000 |   539839528 |  18916943788 |         0 |      0 |  1573782893 |       0 |      0 |         0 
 97022 Thread 31 - PartitionProcessorThre...ca-b088-70b4c3858165-0-14 |  1497000 |   468000 |   548058539 |  19164160237 |         0 |      0 |  1496490944 |       0 |      0 |         0 
 97023 Thread 32 - PartitionProcessorThre...ca-b088-70b4c3858165-0-15 |  1496000 |   457000 |   543135695 |  19044413713 |         0 |      0 |  1746893734 |       0 |      0 |         0 
 97024 Thread 33 - PartitionProcessorThre...ca-b088-70b4c3858165-0-16 |  1457000 |   466000 |   536706887 |  18753043667 |         0 |      0 |  1777184067 |       0 |      0 |         0 
 97025 Thread 34 - PartitionProcessorThre...ca-b088-70b4c3858165-0-17 |  1437000 |   466000 |   533670883 |  18565624995 |         0 |      0 |  1689567193 |       0 |      0 |         0 
 97026 Thread 35 - PartitionProcessorThre...ca-b088-70b4c3858165-0-18 |  1517000 |   440000 |   546541438 |  19087486026 |         0 |      0 |  1651254621 |       0 |      0 |         0 
 97027 Thread 36 - PartitionProcessorThre...ca-b088-70b4c3858165-0-19 |  1426000 |   441000 |   522351528 |  18209021362 |         0 |      0 |  1649094430 |       0 |      0 |         0 
 97028 Thread 37 - PartitionProcessorThre...7ca-b088-70b4c3858165-1-0 |  1391000 |   454000 |   516768926 |  18008219526 |         0 |      0 |  1739050335 |       0 |      0 |         0 
 97029 Thread 38 - PartitionProcessorThre...7ca-b088-70b4c3858165-1-1 |  1402000 |   467000 |   526004149 |  18243128674 |      1024 |      0 |  1739221044 |       0 |      0 |         0 
 97030 Thread 39 - PartitionProcessorThre...7ca-b088-70b4c3858165-1-2 |  1402000 |   475000 |   528611715 |  18320635385 |         0 |      0 |  1641740222 |       0 |      0 |         0 
 97031 Thread 40 - PartitionProcessorThre...7ca-b088-70b4c3858165-1-3 |  1375000 |   494000 |   526585992 |  18242740823 |         0 |      0 |  1532355910 | 1230978 |      0 |         0 
