                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 94703 Thread 1 - main                                                |   850000 |   161000 |    67153150 |   7762521177 |  34336768 |   1024 |     8565232 |      0 |      0 |         0 
 94725 Thread 2 - Reference Handler                                   |     7000 |        0 |      896496 |     58511992 |         0 |      0 |      679785 |      0 |      0 |         0 
 94726 Thread 3 - Finalizer                                           |     8000 |        0 |      798789 |     65294921 |      5120 |      0 |     1053330 |      0 |      0 |         0 
 94727 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       26710 |      7163285 |         0 |      0 |     1774446 |      0 |      0 |         0 
 94728 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 94738 Thread 12 - RMI Scheduler(0)                                   |     2000 |     1000 |      669246 |     27278320 |      4096 |      0 |      100465 |      0 |      0 |         0 
 94739 Thread 13 - RMI RenewClean-[10.231.182.152:40323]              |        0 |        0 |           0 |            0 |      1024 |      0 |       18319 |      0 |      0 |         0 
 94740 Thread 14 - GC Daemon                                          |        0 |     1000 |       83238 |      7893257 |         0 |      0 |           0 |      0 |      0 |         0 
 94742 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 25797000 | 30453000 | 16786778899 | 547944472753 | 572739584 | 131072 | 18507569826 | 333615 |      0 |         0 
 94744 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   217000 |    43000 |    77436706 |   2534433308 |   6996992 |   5120 |    19264270 | 951787 |      0 |         0 
 94748 Thread 17 - PartitionProcessorThre...e38-b753-77ae66a8e810-2-0 |  1456000 |   397000 |   552569683 |  18068379108 |     38912 |      0 |  1850475504 |      0 |      0 |         0 
 94749 Thread 18 - PartitionProcessorThre...e38-b753-77ae66a8e810-2-1 |  1367000 |   416000 |   532027621 |  17390572854 |         0 |      0 |  1923701343 |      0 |      0 |         0 
 94750 Thread 19 - PartitionProcessorThre...e38-b753-77ae66a8e810-2-2 |  1349000 |   442000 |   533629465 |  17468734401 |         0 |      0 |  1710302947 |      0 |      0 |         0 
 94751 Thread 20 - PartitionProcessorThre...e38-b753-77ae66a8e810-2-3 |  1342000 |   419000 |   525822402 |  17176144124 |         0 |      0 |  1631952085 |      0 |      0 |         0 
 94752 Thread 21 - PartitionProcessorThre...e38-b753-77ae66a8e810-2-4 |  1359000 |   399000 |   524438121 |  17147138780 |      1024 |      0 |  1851934901 |      0 |      0 |         0 
 94753 Thread 22 - PartitionProcessorThre...e38-b753-77ae66a8e810-2-5 |  1377000 |   425000 |   538037480 |  17579296991 |         0 |      0 |  1851260654 |      0 |      0 |         0 
 94754 Thread 23 - PartitionProcessorThre...e38-b753-77ae66a8e810-2-6 |  1421000 |   386000 |   539353390 |  17627318358 |         0 |      0 |  1767556351 |      0 |      0 |         0 
