                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 73199 Thread 1 - main                                                |   588000 |    99000 |    41348580 |   5187812974 |  21047296 |   1024 |     7467362 |      0 |      0 |         0 
 73221 Thread 2 - Reference Handler                                   |     4000 |     1000 |      490238 |     38768847 |         0 |      0 |      171828 |      0 |      0 |         0 
 73222 Thread 3 - Finalizer                                           |     2000 |        0 |      173507 |     15397132 |     13312 |      0 |     3058861 |      0 |      0 |         0 
 73223 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       23660 |      0 |      0 |         0 
 73224 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      300000 |      9755031 |         0 |      0 |           0 |      0 |      0 |         0 
 73235 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27001000 | 29388000 | 16670678951 | 548822373370 | 586035200 | 134144 | 17081414486 | 230149 |      0 |         0 
 73236 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   177000 |    57000 |    69815628 |   2281449733 |   5798912 |   4096 |    16693788 | 343687 |      0 |         0 
 73239 Thread 14 - PartitionProcessorThre...a9d-91a0-a4dbc74e98ff-0-0 |  1181000 |   348000 |   449175060 |  14893007887 |     44032 |      0 |  1447582321 |      0 |      0 |         0 
 73240 Thread 15 - PartitionProcessorThre...a9d-91a0-a4dbc74e98ff-0-1 |  1159000 |   417000 |   465660533 |  15366009942 |         0 |      0 |  1235682765 |      0 |      0 |         0 
 73241 Thread 16 - PartitionProcessorThre...a9d-91a0-a4dbc74e98ff-0-2 |  1239000 |   420000 |   489482560 |  16171159321 |    118784 |      0 |  1349849809 |      0 |      0 |         0 
 73242 Thread 17 - PartitionProcessorThre...a9d-91a0-a4dbc74e98ff-0-3 |  1229000 |   411000 |   483328818 |  15993871766 |      1024 |      0 |  1454971198 |      0 |      0 |         0 
