                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 41359 Thread 1 - main                                                |   668000 |   142000 |    51883228 |   6182982085 |  22117376 |   1024 |     7341183 |       0 |      0 |         0 
 41381 Thread 2 - Reference Handler                                   |     5000 |        0 |      447507 |     39612308 |         0 |      0 |      717532 |       0 |      0 |         0 
 41382 Thread 3 - Finalizer                                           |     5000 |     1000 |      452156 |     46600386 |      5120 |      0 |     2438091 |       0 |      0 |         0 
 41383 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       10813 |       0 |      0 |         0 
 41384 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 41393 Thread 12 - RMI Scheduler(0)                                   |     4000 |        0 |     1006097 |     37033808 |      4096 |      0 |      946496 |       0 |      0 |         0 
 41394 Thread 13 - RMI RenewClean-[10.231.182.152:45096]              |        0 |        0 |           0 |            0 |      1024 |      0 |        9526 |       0 |      0 |         0 
 41395 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 41397 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 30652000 | 33850000 | 19769188313 | 628422929309 | 635609088 | 133120 | 19935424497 |  187905 |      0 |         0 
 41398 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   223000 |    73000 |    89299097 |   2883970163 |   7222272 |   5120 |    28660532 |  465458 |      0 |         0 
 41403 Thread 17 - PartitionProcessorThre...c27-87fa-f1f14d0c91fb-0-0 |  1443000 |   460000 |   580042546 |  18557653614 |     34816 |      0 |  1869873155 |       0 |      0 |         0 
 41404 Thread 18 - PartitionProcessorThre...c27-87fa-f1f14d0c91fb-0-1 |  1493000 |   458000 |   594597225 |  19040028363 |         0 |      0 |  1720075130 |       0 |      0 |         0 
 41405 Thread 19 - PartitionProcessorThre...c27-87fa-f1f14d0c91fb-0-2 |  1521000 |   478000 |   606227815 |  19500643082 |      7168 |      0 |  1758845596 |       0 |      0 |         0 
 41406 Thread 20 - PartitionProcessorThre...c27-87fa-f1f14d0c91fb-0-3 |  1502000 |   454000 |   598080600 |  19091782481 |      1024 |      0 |  1926565196 |       0 |      0 |         0 
 41407 Thread 21 - PartitionProcessorThre...c27-87fa-f1f14d0c91fb-0-4 |  1504000 |   427000 |   584927206 |  18838763340 |    117760 |      0 |  1735826730 |       0 |      0 |         0 
 41408 Thread 22 - PartitionProcessorThre...c27-87fa-f1f14d0c91fb-0-5 |  1389000 |   478000 |   571752839 |  18222423235 |      1024 |      0 |  1943378079 |       0 |      0 |         0 
 41409 Thread 23 - PartitionProcessorThre...c27-87fa-f1f14d0c91fb-0-6 |  1390000 |   438000 |   560383304 |  17841121813 |         0 |      0 |  1992409082 |       0 |      0 |         0 
 41410 Thread 24 - PartitionProcessorThre...c27-87fa-f1f14d0c91fb-0-7 |  1431000 |   469000 |   579252698 |  18545239602 |         0 |      0 |  2043162752 |       0 |      0 |         0 
 41411 Thread 25 - PartitionProcessorThre...c27-87fa-f1f14d0c91fb-0-8 |  1424000 |   465000 |   575751854 |  18436776735 |         0 |      0 |  1884299779 |       0 |      0 |         0 
 41412 Thread 26 - PartitionProcessorThre...c27-87fa-f1f14d0c91fb-0-9 |  1427000 |   516000 |   594979471 |  18964021051 |         0 |      0 |  1906278576 |       0 |      0 |         0 
 41413 Thread 27 - PartitionProcessorThre...27-87fa-f1f14d0c91fb-0-10 |  1463000 |   451000 |   586691472 |  18681020598 |         0 |      0 |  1861203833 |       0 |      0 |         0 
 41414 Thread 28 - PartitionProcessorThre...27-87fa-f1f14d0c91fb-0-11 |  1371000 |   473000 |   566208858 |  17999055653 |         0 |      0 |  1910135805 |       0 |      0 |         0 
 41415 Thread 29 - PartitionProcessorThre...27-87fa-f1f14d0c91fb-0-12 |  1492000 |   464000 |   594804675 |  19088928711 |         0 |      0 |  1819512965 |       0 |      0 |         0 
