                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 38346 Thread 1 - main                                                |   713000 |   118000 |    50727693 |   6313325030 |  22117376 |   2048 |    11308310 |      0 |      0 |         0 
 38368 Thread 2 - Reference Handler                                   |     9000 |        0 |     1176671 |     76733792 |         0 |      0 |      456937 |      0 |      0 |         0 
 38369 Thread 3 - Finalizer                                           |    10000 |        0 |      956242 |     81901925 |      5120 |      0 |     4691269 |      0 |      0 |         0 
 38370 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       26707 |      7228289 |         0 |      0 |       18486 |      0 |      0 |         0 
 38371 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       14028 |      0 |      0 |         0 
 38380 Thread 12 - RMI Scheduler(0)                                   |     4000 |     1000 |     1343945 |     46848746 |      4096 |      0 |      207442 |      0 |      0 |         0 
 38381 Thread 13 - RMI RenewClean-[10.231.182.152:33789]              |        0 |        0 |           0 |            0 |      1024 |      0 |       17252 |      0 |      0 |         0 
 38382 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 38385 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 29716000 | 30903000 | 18326490487 | 590347066546 | 585915392 | 154624 | 18669017471 | 244744 |      0 |         0 
 38386 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   294000 |    63000 |   108628991 |   3480147132 |   5574656 |   7168 |    25588332 | 365173 |      0 |         0 
 38390 Thread 17 - PartitionProcessorThre...ce8-9ab2-606a66e41363-1-0 |  1238000 |   411000 |   495646790 |  16080793606 |     33792 |      0 |  1933650017 |      0 |      0 |         0 
 38391 Thread 18 - PartitionProcessorThre...ce8-9ab2-606a66e41363-1-1 |  1295000 |   418000 |   518217844 |  16712100938 |         0 |      0 |  2068407778 |      0 |      0 |         0 
 38392 Thread 19 - PartitionProcessorThre...ce8-9ab2-606a66e41363-1-2 |  1228000 |   392000 |   487643317 |  15807755853 |         0 |      0 |  1693567676 |      0 |      0 |         0 
 38393 Thread 20 - PartitionProcessorThre...ce8-9ab2-606a66e41363-1-3 |  1294000 |   409000 |   512914282 |  16612313950 |      7168 |      0 |  1925538880 |      0 |      0 |         0 
 38394 Thread 21 - PartitionProcessorThre...ce8-9ab2-606a66e41363-1-4 |  1311000 |   390000 |   512610426 |  16594945454 |         0 |      0 |  1480615430 |      0 |      0 |         0 
 38395 Thread 22 - PartitionProcessorThre...ce8-9ab2-606a66e41363-1-5 |  1243000 |   399000 |   495175754 |  16020368103 |         0 |      0 |  1759606160 |      0 |      0 |         0 
 38396 Thread 23 - PartitionProcessorThre...ce8-9ab2-606a66e41363-1-6 |  1326000 |   405000 |   522283094 |  16886851645 |    117760 |      0 |  1728368874 |      0 |      0 |         0 
