                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 109178 Thread 1 - main                                                |   832000 |   115000 |    62048353 |   7268062048 |  34258944 |   1024 |     8935139 |      0 |      0 |         0 
 109201 Thread 2 - Reference Handler                                   |     9000 |        0 |     1208433 |     76806796 |         0 |      0 |     1652912 |      0 |      0 |         0 
 109202 Thread 3 - Finalizer                                           |    11000 |        0 |      977054 |     87419011 |      5120 |      0 |       50738 |      0 |      0 |         0 
 109203 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       11178 |      0 |      0 |         0 
 109204 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 109213 Thread 12 - RMI Scheduler(0)                                   |     1000 |        0 |      289296 |      9757519 |      4096 |      0 |       19990 |      0 |      0 |         0 
 109214 Thread 13 - RMI RenewClean-[10.231.182.152:43757]              |     1000 |        0 |       81890 |      7893242 |      1024 |      0 |       13711 |      0 |      0 |         0 
 109215 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 109217 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28399000 | 34264000 | 18155283126 | 610737721735 | 624971776 | 126976 | 19183676195 | 268645 |      0 |         0 
 109219 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   205000 |    46000 |    71320132 |   2442191721 |   6021120 |   4096 |    24155665 | 249031 |      0 |         0 
 109223 Thread 17 - PartitionProcessorThre...c2b-8cf4-47ed25ae5451-1-0 |  1289000 |   461000 |   505642976 |  17072892275 |         0 |      0 |  1505020766 |      0 |      0 |         0 
 109224 Thread 18 - PartitionProcessorThre...c2b-8cf4-47ed25ae5451-1-1 |  1378000 |   505000 |   543482343 |  18355266900 |     41984 |      0 |  1691074334 |      0 |      0 |         0 
 109225 Thread 19 - PartitionProcessorThre...c2b-8cf4-47ed25ae5451-1-2 |  1247000 |   490000 |   502278500 |  16945917240 |         0 |      0 |  1616377968 |      0 |      0 |         0 
 109226 Thread 20 - PartitionProcessorThre...c2b-8cf4-47ed25ae5451-1-3 |  1299000 |   446000 |   505130484 |  17025020142 |         0 |      0 |  1641613907 |      0 |      0 |         0 
 109227 Thread 21 - PartitionProcessorThre...c2b-8cf4-47ed25ae5451-1-4 |  1290000 |   487000 |   512902707 |  17335671873 |         0 |      0 |  1639836114 |      0 |      0 |         0 
 109228 Thread 22 - PartitionProcessorThre...c2b-8cf4-47ed25ae5451-1-5 |  1318000 |   454000 |   511928937 |  17285657310 |         0 |      0 |  1483293481 |      0 |      0 |         0 
 109229 Thread 23 - PartitionProcessorThre...c2b-8cf4-47ed25ae5451-1-6 |  1340000 |   516000 |   535499906 |  18107278759 |         0 |      0 |  1665731305 |      0 |      0 |         0 
 109230 Thread 24 - PartitionProcessorThre...c2b-8cf4-47ed25ae5451-1-7 |  1356000 |   487000 |   530797546 |  17979599021 |         0 |      0 |  1771170690 |      0 |      0 |         0 
 109231 Thread 25 - PartitionProcessorThre...c2b-8cf4-47ed25ae5451-1-8 |  1364000 |   481000 |   532570210 |  18000940294 |         0 |      0 |  1605110347 |      0 |      0 |         0 
 109232 Thread 26 - PartitionProcessorThre...c2b-8cf4-47ed25ae5451-1-9 |  1352000 |   446000 |   518470726 |  17540784873 |         0 |      0 |  1722754576 |      0 |      0 |         0 
 109233 Thread 27 - PartitionProcessorThre...2b-8cf4-47ed25ae5451-1-10 |  1362000 |   493000 |   535686031 |  18098421232 |         0 |      0 |  1767512394 |      0 |      0 |         0 
 109234 Thread 28 - PartitionProcessorThre...2b-8cf4-47ed25ae5451-1-11 |  1332000 |   477000 |   523428722 |  17650638158 |      1024 |      0 |  1575262299 |      0 |      0 |         0 
 109235 Thread 29 - PartitionProcessorThre...2b-8cf4-47ed25ae5451-1-12 |  1358000 |   480000 |   528659675 |  17931227080 |         0 |      0 |  1673717312 |      0 |      0 |         0 
 109236 Thread 30 - PartitionProcessorThre...2b-8cf4-47ed25ae5451-1-13 |  1412000 |   482000 |   547520417 |  18477992521 |         0 |      0 |  1641598627 |      0 |      0 |         0 
 109237 Thread 31 - PartitionProcessorThre...2b-8cf4-47ed25ae5451-1-14 |  1444000 |   490000 |   559641640 |  18871046935 |         0 |      0 |  1621875260 |      0 |      0 |         0 
 109238 Thread 32 - PartitionProcessorThre...2b-8cf4-47ed25ae5451-1-15 |  1390000 |   477000 |   541271972 |  18217475103 |         0 |      0 |  1590606116 |      0 |      0 |         0 
 109239 Thread 33 - PartitionProcessorThre...2b-8cf4-47ed25ae5451-1-16 |  1371000 |   498000 |   542087265 |  18238994412 |         0 |      0 |  1691310932 |      0 |      0 |         0 
 109240 Thread 34 - PartitionProcessorThre...2b-8cf4-47ed25ae5451-1-17 |  1306000 |   462000 |   513442660 |  17252284092 |         0 |      0 |  1614260131 |      0 |      0 |         0 
