                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 114456 Thread 1 - main                                                |   798000 |   190000 |    65528861 |   7575338169 |  34258944 |   1024 |     9813816 |      0 |      0 |         0 
 114478 Thread 2 - Reference Handler                                   |     7000 |        0 |      955058 |     59158539 |         0 |      0 |     2464913 |      0 |      0 |         0 
 114479 Thread 3 - Finalizer                                           |     7000 |        0 |      557374 |     54566648 |      5120 |      0 |      926889 |      0 |      0 |         0 
 114480 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 114481 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       14985 |      0 |      0 |         0 
 114517 Thread 12 - RMI Scheduler(0)                                   |     3000 |     1000 |     1008832 |     37065003 |      4096 |      0 |      129428 |      0 |      0 |         0 
 114518 Thread 13 - RMI RenewClean-[10.231.182.152:46655]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 114519 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 114521 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28683000 | 30837000 | 17733502687 | 579871155273 | 573855744 | 151552 | 17617596797 | 231172 |      0 |         0 
 114523 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   248000 |    67000 |    92985663 |   3062894647 |   5854208 |   6144 |    25509066 | 709406 |      0 |         0 
 114526 Thread 17 - PartitionProcessorThre...4bb-a07f-81bdf0fe187f-2-0 |  1348000 |   457000 |   539996156 |  17599774427 |     33792 |      0 |  1432002446 |      0 |      0 |         0 
 114527 Thread 18 - PartitionProcessorThre...4bb-a07f-81bdf0fe187f-2-1 |  1342000 |   428000 |   528794933 |  17260214119 |         0 |      0 |  1593972075 |      0 |      0 |         0 
 114528 Thread 19 - PartitionProcessorThre...4bb-a07f-81bdf0fe187f-2-2 |  1344000 |   418000 |   528699640 |  17188587428 |         0 |      0 |  1836221317 |      0 |      0 |         0 
 114529 Thread 20 - PartitionProcessorThre...4bb-a07f-81bdf0fe187f-2-3 |  1322000 |   400000 |   514606305 |  16795279760 |      2048 |      0 |  1660214089 |      0 |      0 |         0 
 114530 Thread 21 - PartitionProcessorThre...4bb-a07f-81bdf0fe187f-2-4 |  1313000 |   412000 |   515742832 |  16827260627 |         0 |      0 |  1285823207 |      0 |      0 |         0 
