                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 98038 Thread 1 - main                                                |   570000 |    86000 |    39728736 |   4979724943 |  21054464 |   2048 |     6280427 |      0 |      0 |         0 
 98060 Thread 2 - Reference Handler                                   |     5000 |        0 |      652191 |     40685082 |         0 |      0 |     2322812 |      0 |      0 |         0 
 98061 Thread 3 - Finalizer                                           |     4000 |     1000 |      687085 |     40718269 |      5120 |      0 |     2223334 |      0 |      0 |         0 
 98062 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 98063 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        6912 |      0 |      0 |         0 
 98073 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29127000 | 32517000 | 18713598612 | 600282500029 | 636743680 | 136192 | 19732511138 | 138939 |      0 |         0 
 98074 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   193000 |    39000 |    69557491 |   2259973120 |   6377472 |   5120 |    32950568 | 324162 |      0 |         0 
 98078 Thread 14 - PartitionProcessorThre...c8b-8baa-8c422e9c31f8-0-0 |  1309000 |   467000 |   539975711 |  17322060211 |     38912 |      0 |  1446354562 |      0 |      0 |         0 
 98079 Thread 15 - PartitionProcessorThre...c8b-8baa-8c422e9c31f8-0-1 |  1371000 |   440000 |   551472207 |  17670486231 |         0 |      0 |  1536565617 |      0 |      0 |         0 
 98080 Thread 16 - PartitionProcessorThre...c8b-8baa-8c422e9c31f8-0-2 |  1308000 |   424000 |   526139215 |  16896384735 |         0 |      0 |  1534083254 |      0 |      0 |         0 
 98081 Thread 17 - PartitionProcessorThre...c8b-8baa-8c422e9c31f8-0-3 |  1264000 |   455000 |   522304422 |  16772685563 |         0 |      0 |  1526823808 |      0 |      0 |         0 
 98082 Thread 18 - PartitionProcessorThre...c8b-8baa-8c422e9c31f8-0-4 |  1350000 |   500000 |   564738734 |  18050203449 |         0 |      0 |  1502196627 |      0 |      0 |         0 
 98083 Thread 19 - PartitionProcessorThre...c8b-8baa-8c422e9c31f8-0-5 |  1288000 |   448000 |   530162437 |  16939835473 |         0 |      0 |  1550609090 |      0 |      0 |         0 
 98084 Thread 20 - PartitionProcessorThre...c8b-8baa-8c422e9c31f8-0-6 |  1259000 |   485000 |   528860171 |  17015589508 |         0 |      0 |  1348177551 |      0 |      0 |         0 
