                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 95174 Thread 1 - main                                                |   565000 |    69000 |    37808893 |   4799375088 |  21054464 |   1024 |     4717168 |       0 |      0 |         0 
 95196 Thread 2 - Reference Handler                                   |     7000 |     1000 |     1105425 |     65303765 |         0 |      0 |      285771 |       0 |      0 |         0 
 95197 Thread 3 - Finalizer                                           |     5000 |        0 |      488320 |     38768847 |      5120 |      0 |      772469 |       0 |      0 |         0 
 95198 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 95199 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 95210 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 25853000 | 29464000 | 16253840186 | 538385305329 | 586062848 | 126976 | 16800715144 |  108241 |      0 |         0 
 95211 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   178000 |    45000 |    65445515 |   2172261374 |   5794816 |   4096 |    26982825 | 1148279 |      0 |         0 
 95215 Thread 14 - PartitionProcessorThre...da4-b365-bca495a684ab-1-0 |  1092000 |   402000 |   440259254 |  14558971774 |      1024 |      0 |  1464031190 |       0 |      0 |         0 
 95216 Thread 15 - PartitionProcessorThre...da4-b365-bca495a684ab-1-1 |  1192000 |   434000 |   478366414 |  15841532864 |     33792 |      0 |  1564772215 |       0 |      0 |         0 
 95217 Thread 16 - PartitionProcessorThre...da4-b365-bca495a684ab-1-2 |  1179000 |   416000 |   469143726 |  15553554598 |      1024 |      0 |  1234672977 |       0 |      0 |         0 
 95218 Thread 17 - PartitionProcessorThre...da4-b365-bca495a684ab-1-3 |  1165000 |   411000 |   464310109 |  15364657133 |         0 |      0 |  1374579763 |       0 |      0 |         0 
 95219 Thread 18 - PartitionProcessorThre...da4-b365-bca495a684ab-1-4 |  1152000 |   408000 |   460012566 |  15216260895 |         0 |      0 |  1567384991 |       0 |      0 |         0 
 95220 Thread 19 - PartitionProcessorThre...da4-b365-bca495a684ab-1-5 |  1184000 |   421000 |   472687390 |  15641697708 |    125952 |      0 |  1440368043 |       0 |      0 |         0 
 95221 Thread 20 - PartitionProcessorThre...da4-b365-bca495a684ab-1-6 |  1181000 |   427000 |   474292691 |  15682155903 |      1024 |      0 |  1437958977 |       0 |      0 |         0 
 95222 Thread 21 - PartitionProcessorThre...da4-b365-bca495a684ab-1-7 |  1164000 |   394000 |   460386879 |  15195734559 |         0 |      0 |  1652757856 |       0 |      0 |         0 
 95223 Thread 22 - PartitionProcessorThre...da4-b365-bca495a684ab-1-8 |  1257000 |   443000 |   501938804 |  16581661266 |         0 |      0 |  1513073031 |       0 |      0 |         0 
 95224 Thread 23 - PartitionProcessorThre...da4-b365-bca495a684ab-1-9 |  1181000 |   353000 |   451762949 |  14961146126 |         0 |      0 |  1445849329 |       0 |      0 |         0 
 95225 Thread 24 - PartitionProcessorThre...a4-b365-bca495a684ab-1-10 |  1172000 |   373000 |   453729129 |  15067273344 |      6144 |      0 |  1527737571 |       0 |      0 |         0 
 95226 Thread 25 - PartitionProcessorThre...a4-b365-bca495a684ab-1-11 |  1268000 |   383000 |   484841851 |  16103125157 |         0 |      0 |  1558896228 |       0 |      0 |         0 
 95227 Thread 26 - PartitionProcessorThre...a4-b365-bca495a684ab-1-12 |  1184000 |   413000 |   469867066 |  15576758989 |         0 |      0 |  1535513437 |       0 |      0 |         0 
 95228 Thread 27 - PartitionProcessorThre...a4-b365-bca495a684ab-1-13 |  1109000 |   410000 |   449391113 |  14816984844 |         0 |      0 |  1498699322 |       0 |      0 |         0 
 95229 Thread 28 - PartitionProcessorThre...a4-b365-bca495a684ab-1-14 |  1191000 |   397000 |   467677922 |  15489434075 |         0 |      0 |  1279096574 |       0 |      0 |         0 
 95230 Thread 29 - PartitionProcessorThre...a4-b365-bca495a684ab-1-15 |  1124000 |   424000 |   456290883 |  15097524040 |     34816 |      0 |  1215838608 |       0 |      0 |         0 
 95231 Thread 30 - PartitionProcessorThre...a4-b365-bca495a684ab-1-16 |  1163000 |   412000 |   465514203 |  15362567227 |         0 |      0 |  1521433387 |       0 |      0 |         0 
 95232 Thread 31 - PartitionProcessorThre...a4-b365-bca495a684ab-1-17 |  1203000 |   420000 |   478802117 |  15831156251 |      1024 |      0 |  1537981136 |       0 |      0 |         0 
 95233 Thread 32 - PartitionProcessorThre...a4-b365-bca495a684ab-1-18 |  1233000 |   413000 |   485464289 |  16054364543 |         0 |      0 |  1293416284 |       0 |      0 |         0 
 95234 Thread 33 - PartitionProcessorThre...a4-b365-bca495a684ab-1-19 |  1172000 |   403000 |   466214265 |  15363891497 |         0 |      0 |  1479125799 |       0 |      0 |         0 
 95235 Thread 34 - PartitionProcessorThre...da4-b365-bca495a684ab-0-0 |  1201000 |   452000 |   489497539 |  16125744981 |         0 |      0 |  1392315075 |       0 |      0 |         0 
 95236 Thread 35 - PartitionProcessorThre...da4-b365-bca495a684ab-0-1 |  1210000 |   402000 |   477258668 |  15725973169 |         0 |      0 |  1386222586 |       0 |      0 |         0 
 95237 Thread 36 - PartitionProcessorThre...da4-b365-bca495a684ab-0-2 |  1105000 |   460000 |   463646375 |  15266898680 |         0 |      0 |  1254839057 |       0 |      0 |         0 
 95238 Thread 37 - PartitionProcessorThre...da4-b365-bca495a684ab-0-3 |  1162000 |   410000 |   466353629 |  15335223376 |         0 |      0 |  1283063743 |       0 |      0 |         0 
 95239 Thread 38 - PartitionProcessorThre...da4-b365-bca495a684ab-0-4 |  1217000 |   412000 |   482645129 |  15891337661 |         0 |      0 |  1398148120 |       0 |      0 |         0 
 95240 Thread 39 - PartitionProcessorThre...da4-b365-bca495a684ab-0-5 |  1123000 |   399000 |   450532539 |  14847528466 |         0 |      0 |  1455286409 |       0 |      0 |         0 
 95241 Thread 40 - PartitionProcessorThre...da4-b365-bca495a684ab-0-6 |  1169000 |   388000 |   460306641 |  15189137809 |         0 |      0 |  1311196552 |       0 |      0 |         0 
 95242 Thread 41 - PartitionProcessorThre...da4-b365-bca495a684ab-0-7 |  1152000 |   415000 |   464104594 |  15286577942 |         0 |      0 |  1417308667 |       0 |      0 |         0 
 95243 Thread 42 - PartitionProcessorThre...da4-b365-bca495a684ab-0-8 |  1203000 |   381000 |   468631504 |  15452832844 |         0 |      0 |  1503212071 |       0 |      0 |         0 
 95244 Thread 43 - PartitionProcessorThre...da4-b365-bca495a684ab-0-9 |  1176000 |   389000 |   463611281 |  15267289962 |         0 |      0 |  1506422701 |       0 |      0 |         0 
 95245 Thread 44 - PartitionProcessorThre...a4-b365-bca495a684ab-0-10 |  1169000 |   388000 |   461409406 |  15189186008 |         0 |      0 |  1434161685 |       0 |      0 |         0 
 95246 Thread 45 - PartitionProcessorThre...a4-b365-bca495a684ab-0-11 |  1185000 |   423000 |   475957297 |  15686707356 |         0 |      0 |  1448258949 |       0 |      0 |         0 
 95247 Thread 46 - PartitionProcessorThre...a4-b365-bca495a684ab-0-12 |  1069000 |   365000 |   424509383 |  13989436083 |         0 |      0 |  1343294735 |       0 |      0 |         0 
 95248 Thread 47 - PartitionProcessorThre...a4-b365-bca495a684ab-0-13 |  1164000 |   392000 |   461710953 |  15179254001 |         0 |      0 |  1280474533 |       0 |      0 |         0 
 95249 Thread 48 - PartitionProcessorThre...a4-b365-bca495a684ab-0-14 |  1185000 |   385000 |   463821789 |  15315894950 |         0 |      0 |  1198231055 |       0 |      0 |         0 
 95250 Thread 49 - PartitionProcessorThre...a4-b365-bca495a684ab-0-15 |  1181000 |   414000 |   472898769 |  15559995626 |         0 |      0 |  1343807859 |       0 |      0 |         0 
 95251 Thread 50 - PartitionProcessorThre...a4-b365-bca495a684ab-0-16 |  1150000 |   356000 |   446427824 |  14691776278 |         0 |      0 |  1432234571 |       0 |      0 |         0 
 95252 Thread 51 - PartitionProcessorThre...a4-b365-bca495a684ab-0-17 |  1125000 |   362000 |   439956887 |  14506229470 |         0 |      0 |  1405080139 |       0 |      0 |         0 
 95253 Thread 52 - PartitionProcessorThre...a4-b365-bca495a684ab-0-18 |  1116000 |   417000 |   454680586 |  14955067735 |         0 |      0 |  1424451585 |       0 |      0 |         0 
 95254 Thread 53 - PartitionProcessorThre...a4-b365-bca495a684ab-0-19 |  1197000 |   444000 |   486181410 |  16008926993 |         0 |      0 |  1345886858 |       0 |      0 |         0 
 95255 Thread 54 - PartitionProcessorThre...da4-b365-bca495a684ab-2-0 |  1187000 |   400000 |   471280269 |  15482170477 |         0 |      0 |  1396049679 |       0 |      0 |         0 
 95256 Thread 55 - PartitionProcessorThre...da4-b365-bca495a684ab-2-1 |  1190000 |   406000 |   473970969 |  15569628450 |         0 |      0 |  1331020475 |       0 |      0 |         0 
 95257 Thread 56 - PartitionProcessorThre...da4-b365-bca495a684ab-2-2 |  1168000 |   394000 |   463606707 |  15237937833 |         0 |      0 |  1260420233 |       0 |      0 |         0 
 95258 Thread 57 - PartitionProcessorThre...da4-b365-bca495a684ab-2-3 |  1230000 |   423000 |   489809820 |  16125686915 |         0 |      0 |  1344784722 |       0 |      0 |         0 
 95259 Thread 58 - PartitionProcessorThre...da4-b365-bca495a684ab-2-4 |  1198000 |   405000 |   475622617 |  15638193993 |         0 |      0 |  1395695929 |       0 |      0 |         0 
 95260 Thread 59 - PartitionProcessorThre...da4-b365-bca495a684ab-2-5 |  1210000 |   430000 |   485848328 |  15998605778 |         0 |      0 |  1344316097 |       0 |      0 |         0 
 95261 Thread 60 - PartitionProcessorThre...da4-b365-bca495a684ab-2-6 |  1141000 |   439000 |   468851918 |  15413661282 |         0 |      0 |  1395785152 |       0 |      0 |         0 
 95262 Thread 61 - PartitionProcessorThre...da4-b365-bca495a684ab-2-7 |  1228000 |   366000 |   472109613 |  15550248770 |         0 |      0 |  1368897113 |       0 |      0 |         0 
 95263 Thread 62 - PartitionProcessorThre...da4-b365-bca495a684ab-2-8 |  1185000 |   439000 |   482321383 |  15842851919 |         0 |      0 |  1470848520 |       0 |      0 |         0 
 95264 Thread 63 - PartitionProcessorThre...da4-b365-bca495a684ab-2-9 |  1182000 |   417000 |   474553199 |  15599177626 |         0 |      0 |  1503325571 |       0 |      0 |         0 
