                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 70435 Thread 1 - main                                                |   581000 |    75000 |    41418662 |   4969576060 |  21203968 |   1024 |     1438063 |      0 |      0 |         0 
 70457 Thread 2 - Reference Handler                                   |     6000 |     1000 |      883632 |     55686507 |         0 |      0 |       54331 |      0 |      0 |         0 
 70458 Thread 3 - Finalizer                                           |     5000 |        0 |      612445 |     40286835 |      5120 |      0 |     1095275 |      0 |      0 |         0 
 70459 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 70460 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 70470 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30746000 | 33068000 | 20271082056 | 621454006523 | 637165568 | 125952 | 19278854685 | 152059 |      0 |         0 
 70471 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   168000 |    38000 |    64822573 |   2007967991 |   5792768 |   4096 |    32350058 | 206603 |      0 |         0 
 70475 Thread 14 - PartitionProcessorThre...0d7-814c-b5b110894951-0-0 |  1308000 |   427000 |   540968024 |  16889945394 |    158720 |      0 |  1594635819 |      0 |      0 |         0 
 70476 Thread 15 - PartitionProcessorThre...0d7-814c-b5b110894951-0-1 |  1359000 |   461000 |   573004180 |  17755923902 |         0 |      0 |  1261523729 |      0 |      0 |         0 
 70477 Thread 16 - PartitionProcessorThre...0d7-814c-b5b110894951-0-2 |  1319000 |   552000 |   585303524 |  18243925410 |      1024 |      0 |  1426503998 |      0 |      0 |         0 
 70478 Thread 17 - PartitionProcessorThre...0d7-814c-b5b110894951-0-3 |  1360000 |   503000 |   585505914 |  18178689140 |         0 |      0 |  1506156127 |      0 |      0 |         0 
 70479 Thread 18 - PartitionProcessorThre...0d7-814c-b5b110894951-0-4 |  1310000 |   480000 |   562602790 |  17463391535 |         0 |      0 |  1549522162 |      0 |      0 |         0 
 70480 Thread 19 - PartitionProcessorThre...0d7-814c-b5b110894951-0-5 |  1260000 |   437000 |   532605344 |  16557666805 |         0 |      0 |  1548798491 |      0 |      0 |         0 
 70481 Thread 20 - PartitionProcessorThre...0d7-814c-b5b110894951-0-6 |  1221000 |   511000 |   543280001 |  16897806324 |         0 |      0 |  1473844721 |      0 |      0 |         0 
 70482 Thread 21 - PartitionProcessorThre...0d7-814c-b5b110894951-0-7 |  1273000 |   467000 |   549614383 |  16977426746 |         0 |      0 |  1622282883 |      0 |      0 |         0 
 70483 Thread 22 - PartitionProcessorThre...0d7-814c-b5b110894951-0-8 |  1378000 |   475000 |   579230746 |  18079182007 |         0 |      0 |  1591518302 |      0 |      0 |         0 
 70484 Thread 23 - PartitionProcessorThre...0d7-814c-b5b110894951-0-9 |  1323000 |   482000 |   566819036 |  17611382965 |         0 |      0 |  1753254910 |      0 |      0 |         0 
 70485 Thread 24 - PartitionProcessorThre...d7-814c-b5b110894951-0-10 |  1334000 |   431000 |   552791004 |  17218230187 |     43008 |      0 |  1822092776 |      0 |      0 |         0 
 70486 Thread 25 - PartitionProcessorThre...d7-814c-b5b110894951-0-11 |  1334000 |   428000 |   553852473 |  17191282734 |         0 |      0 |  1691905230 |      0 |      0 |         0 
 70487 Thread 26 - PartitionProcessorThre...d7-814c-b5b110894951-0-12 |  1361000 |   477000 |   578810528 |  17934192097 |         0 |      0 |  1525661909 |      0 |      0 |         0 
 70488 Thread 27 - PartitionProcessorThre...d7-814c-b5b110894951-0-13 |  1355000 |   506000 |   584967125 |  18157376921 |         0 |      0 |  1619525702 |      0 |      0 |         0 
 70489 Thread 28 - PartitionProcessorThre...d7-814c-b5b110894951-0-14 |  1303000 |   496000 |   566067204 |  17553017781 |         0 |      0 |  1370884981 |      0 |      0 |         0 
 70490 Thread 29 - PartitionProcessorThre...d7-814c-b5b110894951-0-15 |  1289000 |   452000 |   547857997 |  16986490723 |      2048 |      0 |  1810691279 |      0 |      0 |         0 
 70491 Thread 30 - PartitionProcessorThre...d7-814c-b5b110894951-0-16 |  1215000 |   450000 |   525174173 |  16245825957 |         0 |      0 |  1494677336 |      0 |      0 |         0 
 70492 Thread 31 - PartitionProcessorThre...d7-814c-b5b110894951-0-17 |  1372000 |   518000 |   594005325 |  18440761886 |         0 |      0 |  1708009811 |      0 |      0 |         0 
 70493 Thread 32 - PartitionProcessorThre...d7-814c-b5b110894951-0-18 |  1270000 |   455000 |   541917579 |  16829756687 |         0 |      0 |  1641946387 |      0 |      0 |         0 
 70494 Thread 33 - PartitionProcessorThre...d7-814c-b5b110894951-0-19 |  1255000 |   430000 |   528624114 |  16440708539 |         0 |      0 |  1536743315 |      0 |      0 |         0 
 70495 Thread 34 - PartitionProcessorThre...0d7-814c-b5b110894951-1-0 |  1262000 |   476000 |   557003657 |  16959662141 |         0 |      0 |  1528281481 |      0 |      0 |         0 
 70496 Thread 35 - PartitionProcessorThre...0d7-814c-b5b110894951-1-1 |  1241000 |   464000 |   545891618 |  16636627977 |         0 |      0 |  1486783927 |      0 |      0 |         0 
 70497 Thread 36 - PartitionProcessorThre...0d7-814c-b5b110894951-1-2 |  1207000 |   450000 |   528827946 |  16168397883 |         0 |      0 |  1232064202 |      0 |      0 |         0 
 70498 Thread 37 - PartitionProcessorThre...0d7-814c-b5b110894951-1-3 |  1189000 |   429000 |   518082716 |  15787403133 |         0 |      0 |  1354965596 |      0 |      0 |         0 
 70499 Thread 38 - PartitionProcessorThre...0d7-814c-b5b110894951-1-4 |  1203000 |   459000 |   531820423 |  16217366242 |         0 |      0 |  1548359287 |      0 |      0 |         0 
 70500 Thread 39 - PartitionProcessorThre...0d7-814c-b5b110894951-1-5 |  1180000 |   435000 |   516159423 |  15758807235 |         0 |      0 |  1419515812 |      0 |      0 |         0 
