                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 69082 Thread 1 - main                                                |   722000 |   146000 |    51633432 |   6603912917 |  22117376 |   1024 |    13557957 |      0 |      0 |         0 
 69104 Thread 2 - Reference Handler                                   |     6000 |        0 |      762394 |     49401042 |         0 |      0 |       87045 |      0 |      0 |         0 
 69105 Thread 3 - Finalizer                                           |     6000 |        0 |      600753 |     49296792 |      5120 |      0 |     1609868 |      0 |      0 |         0 
 69106 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       27215 |      0 |      0 |         0 
 69107 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        8907 |      0 |      0 |         0 
 69118 Thread 12 - RMI Scheduler(0)                                   |        0 |     2000 |      360957 |     17518761 |      4096 |      0 |       11875 |      0 |      0 |         0 
 69119 Thread 13 - RMI RenewClean-[10.231.182.152:37972]              |     1000 |        0 |       81937 |      7893246 |      1024 |      0 |           0 |      0 |      0 |         0 
 69120 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 69122 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 30681000 | 30588000 | 17525296207 | 596673923880 | 585731072 | 137216 | 18706251393 | 264319 |      0 |         0 
 69123 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   221000 |    46000 |    75907522 |   2598288308 |   5801984 |   5120 |    42688017 | 230235 |      0 |         0 
 69127 Thread 17 - PartitionProcessorThre...a5a-b83e-97021bc686b9-1-0 |  1339000 |   449000 |   505754754 |  17409549329 |     94208 |      0 |  1937085852 |      0 |      0 |         0 
 69128 Thread 18 - PartitionProcessorThre...a5a-b83e-97021bc686b9-1-1 |  1307000 |   397000 |   485535066 |  16617307450 |     64512 |      0 |  1723470719 |      0 |      0 |         0 
 69129 Thread 19 - PartitionProcessorThre...a5a-b83e-97021bc686b9-1-2 |  1360000 |   429000 |   510216023 |  17454740766 |         0 |      0 |  1813382175 |      0 |      0 |         0 
 69130 Thread 20 - PartitionProcessorThre...a5a-b83e-97021bc686b9-1-3 |  1427000 |   444000 |   532546292 |  18254698692 |  10831872 |      0 |  1982684996 |      0 |      0 |         0 
 69131 Thread 21 - PartitionProcessorThre...a5a-b83e-97021bc686b9-1-4 |  1364000 |   410000 |   507969570 |  17307652012 |         0 |      0 |  1689392445 |      0 |      0 |         0 
