                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 98417 Thread 1 - main                                                |   829000 |   166000 |    63952951 |   7633453038 |  34140160 |   1024 |     8457344 |      0 |      0 |         0 
 98439 Thread 2 - Reference Handler                                   |     3000 |     1000 |      393476 |     32593089 |         0 |      0 |     1286872 |      0 |      0 |         0 
 98440 Thread 3 - Finalizer                                           |     4000 |     1000 |      651566 |     41434757 |      5120 |      0 |     3742378 |      0 |      0 |         0 
 98441 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       13041 |      0 |      0 |         0 
 98442 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |      104140 |      0 |      0 |         0 
 98453 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      663367 |     27276285 |      4096 |      0 |      492368 |      0 |      0 |         0 
 98454 Thread 13 - RMI RenewClean-[10.231.182.152:37586]              |        0 |        0 |           0 |            0 |      1024 |      0 |       11724 |      0 |      0 |         0 
 98455 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 98457 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 32483000 | 34005000 | 19356282867 | 648000311895 | 622917632 | 130048 | 19172508597 | 143291 |      0 |         0 
 98459 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   236000 |    59000 |    83732378 |   2860756222 |   7990272 |   5120 |    35778872 | 205431 |      0 |         0 
 98462 Thread 17 - PartitionProcessorThre...833-b730-933a748b4e12-1-0 |  1345000 |   487000 |   530513082 |  17858122684 |    151552 |      0 |  1738117947 |      0 |      0 |         0 
 98463 Thread 18 - PartitionProcessorThre...833-b730-933a748b4e12-1-1 |  1383000 |   464000 |   536762422 |  18015078086 |         0 |      0 |  1784262936 |      0 |      0 |         0 
 98464 Thread 19 - PartitionProcessorThre...833-b730-933a748b4e12-1-2 |  1384000 |   483000 |   544301461 |  18213468360 |      1024 |      0 |  1742742536 |      0 |      0 |         0 
 98465 Thread 20 - PartitionProcessorThre...833-b730-933a748b4e12-1-3 |  1458000 |   518000 |   575118898 |  19275893172 |         0 |      0 |  1732590314 |      0 |      0 |         0 
 98466 Thread 21 - PartitionProcessorThre...833-b730-933a748b4e12-1-4 |  1450000 |   489000 |   563041836 |  18913718516 |         0 |      0 |  1759721744 |      0 |      0 |         0 
 98467 Thread 22 - PartitionProcessorThre...833-b730-933a748b4e12-1-5 |  1337000 |   479000 |   527846340 |  17710031168 |      7168 |      0 |  1818542561 |      0 |      0 |         0 
 98468 Thread 23 - PartitionProcessorThre...833-b730-933a748b4e12-1-6 |  1343000 |   478000 |   529551246 |  17764826356 |         0 |      0 |  1943805556 |      0 |      0 |         0 
 98469 Thread 24 - PartitionProcessorThre...833-b730-933a748b4e12-1-7 |  1328000 |   396000 |   501110164 |  16819608231 |         0 |      0 |  1824209091 |      0 |      0 |         0 
 98470 Thread 25 - PartitionProcessorThre...833-b730-933a748b4e12-1-8 |  1319000 |   467000 |   519797933 |  17425172676 |         0 |      0 |  1545805703 |      0 |      0 |         0 
 98471 Thread 26 - PartitionProcessorThre...833-b730-933a748b4e12-1-9 |  1420000 |   477000 |   550969160 |  18505082375 |         0 |      0 |  1684020753 |      0 |      0 |         0 
 98472 Thread 27 - PartitionProcessorThre...33-b730-933a748b4e12-1-10 |  1438000 |   480000 |   558785320 |  18713252606 |         0 |      0 |  1784094612 |      0 |      0 |         0 
 98473 Thread 28 - PartitionProcessorThre...33-b730-933a748b4e12-1-11 |  1399000 |   486000 |   546721172 |  18386845672 |         0 |      0 |  1689804093 |      0 |      0 |         0 
 98474 Thread 29 - PartitionProcessorThre...33-b730-933a748b4e12-1-12 |  1441000 |   451000 |   550099007 |  18457691098 |         0 |      0 |  1612784369 |      0 |      0 |         0 
 98475 Thread 30 - PartitionProcessorThre...33-b730-933a748b4e12-1-13 |  1356000 |   481000 |   533372062 |  17919404825 |         0 |      0 |  1833905545 |      0 |      0 |         0 
 98476 Thread 31 - PartitionProcessorThre...33-b730-933a748b4e12-1-14 |  1379000 |   443000 |   530511785 |  17777487184 |      1024 |      0 |  1783738641 |      0 |      0 |         0 
 98477 Thread 32 - PartitionProcessorThre...33-b730-933a748b4e12-1-15 |  1385000 |   570000 |   567394644 |  19070687852 |         0 |      0 |  1953201064 |      0 |      0 |         0 
 98478 Thread 33 - PartitionProcessorThre...33-b730-933a748b4e12-1-16 |  1273000 |   446000 |   498414809 |  16768026004 |         0 |      0 |  1681119132 |      0 |      0 |         0 
 98479 Thread 34 - PartitionProcessorThre...33-b730-933a748b4e12-1-17 |  1383000 |   489000 |   544142207 |  18262053680 |         0 |      0 |  1960300720 |      0 |      0 |         0 
 98480 Thread 35 - PartitionProcessorThre...33-b730-933a748b4e12-1-18 |  1337000 |   427000 |   512005621 |  17205495204 |         0 |      0 |  1588662913 |      0 |      0 |         0 
 98481 Thread 36 - PartitionProcessorThre...33-b730-933a748b4e12-1-19 |  1380000 |   504000 |   547765328 |  18379539922 |         0 |      0 |  1911004191 |      0 |      0 |         0 
