                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 95318 Thread 1 - main                                                |   846000 |   138000 |    65518435 |   7547329381 |  34140160 |   2048 |    10685018 |       0 |      0 |         0 
 95340 Thread 2 - Reference Handler                                   |     7000 |        0 |      728765 |     57336117 |         0 |      0 |       29977 |       0 |      0 |         0 
 95341 Thread 3 - Finalizer                                           |     8000 |     1000 |     1093093 |     74259007 |      5120 |      0 |     1379697 |       0 |      0 |         0 
 95342 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       14022 |       0 |      0 |         0 
 95343 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      299789 |      9757746 |         0 |      0 |           0 |       0 |      0 |         0 
 95352 Thread 12 - RMI Scheduler(0)                                   |     3000 |     2000 |     1264714 |     46822542 |      4096 |      0 |      232782 |       0 |      0 |         0 
 95353 Thread 13 - RMI RenewClean-[10.231.182.152:38631]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |       0 |      0 |         0 
 95354 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 95357 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28977000 | 30362000 | 17379068511 | 578153292606 | 572667904 | 153600 | 18833911027 |  305339 |      0 |         0 
 95358 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   287000 |    84000 |   108659467 |   3613116569 |   6986752 |   7168 |    69348985 |  473458 |      0 |         0 
 95362 Thread 17 - PartitionProcessorThre...ee5-9520-861ab32abd84-2-0 |  1253000 |   388000 |   480855481 |  15990639899 |     34816 |      0 |  1850577540 |       0 |      0 |         0 
 95363 Thread 18 - PartitionProcessorThre...ee5-9520-861ab32abd84-2-1 |  1270000 |   401000 |   490602817 |  16301921806 |         0 |      0 |  1839842574 |       0 |      0 |         0 
 95364 Thread 19 - PartitionProcessorThre...ee5-9520-861ab32abd84-2-2 |  1299000 |   423000 |   505882426 |  16794064860 |      7168 |      0 |  1864628429 |       0 |      0 |         0 
 95365 Thread 20 - PartitionProcessorThre...ee5-9520-861ab32abd84-2-3 |  1309000 |   426000 |   510269625 |  16922437309 |     52224 |      0 |  1831448597 |       0 |      0 |         0 
 95366 Thread 21 - PartitionProcessorThre...ee5-9520-861ab32abd84-2-4 |  1389000 |   447000 |   539932234 |  17910835754 |         0 |      0 |  1992711644 |       0 |      0 |         0 
 95367 Thread 22 - PartitionProcessorThre...ee5-9520-861ab32abd84-2-5 |  1270000 |   439000 |   503346856 |  16672901274 |         0 |      0 |  1889293414 |       0 |      0 |         0 
 95368 Thread 23 - PartitionProcessorThre...ee5-9520-861ab32abd84-2-6 |  1375000 |   393000 |   520555235 |  17250146606 |         0 |      0 |  1966025057 |       0 |      0 |         0 
 95369 Thread 24 - PartitionProcessorThre...ee5-9520-861ab32abd84-2-7 |  1234000 |   424000 |   487518645 |  16172582915 |     64512 |      0 |  1789591704 |       0 |      0 |         0 
