                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 13863 Thread 1 - main                                                |  1002000 |   120000 |    75739845 |   7881885024 |  14834688 |   1024 |     7616993 |      0 |      0 |         0 
 13870 Thread 2 - Reference Handler                                   |        0 |        0 |           0 |            0 |         0 |      0 |      177044 |      0 |      0 |         0 
 13871 Thread 3 - Finalizer                                           |     1000 |        0 |       16894 |      6212687 |      5120 |      0 |       17653 |      0 |      0 |         0 
 13872 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        5409 |      0 |      0 |         0 
 13878 Thread 11 - Common-Cleaner                                     |     1000 |     2000 |      251773 |     21924546 |         0 |      0 |      329372 |      0 |      0 |         0 
 13884 Thread 13 - RMI Scheduler(0)                                   |     3000 |        0 |     1065914 |     29660472 |      1024 |      0 |      380545 |      0 |      0 |         0 
 13890 Thread 14 - RMI RenewClean-[10.231.182.152:39266]              |     2000 |        0 |      167132 |     14745015 |         0 |      0 |           0 |      0 |      0 |         0 
 13891 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |       68176 |      0 |      0 |         0 
 13894 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 25272000 | 36270000 | 21699529462 | 607159651471 | 625320960 |  98304 | 13503849167 | 130260 |      0 |         0 
 13896 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   229000 |    35000 |    90334866 |   2593963483 |   5050368 |   4096 |     7809843 | 165072 |      0 |         0 
 13963 Thread 18 - PartitionProcessorThre...923-b999-dcaf043f3beb-1-0 |  1186000 |   420000 |   559673555 |  15843060874 |     45056 |      0 |   888814559 |      0 |      0 |         0 
 13964 Thread 19 - PartitionProcessorThre...923-b999-dcaf043f3beb-1-1 |  1093000 |   418000 |   528048946 |  14921449581 |      1024 |      0 |  1017498179 |      0 |      0 |         0 
 13965 Thread 20 - PartitionProcessorThre...923-b999-dcaf043f3beb-1-2 |  1086000 |   410000 |   520953774 |  14763957077 |         0 |      0 |  1149722704 |      0 |      0 |         0 
 13966 Thread 21 - PartitionProcessorThre...923-b999-dcaf043f3beb-1-3 |  1068000 |   410000 |   515933895 |  14592137097 |         0 |      0 |   980860791 |      0 |      0 |         0 
 13967 Thread 22 - PartitionProcessorThre...923-b999-dcaf043f3beb-1-4 |  1157000 |   475000 |   572300715 |  16114943827 |         0 |      0 |   945963583 |      0 |      0 |         0 
 13968 Thread 23 - PartitionProcessorThre...923-b999-dcaf043f3beb-1-5 |  1077000 |   403000 |   516681692 |  14604175105 |         0 |      0 |   748938400 |      0 |      0 |         0 
 13969 Thread 24 - PartitionProcessorThre...923-b999-dcaf043f3beb-1-6 |  1097000 |   433000 |   533792012 |  15098274230 |         0 |      0 |   997446768 |      0 |      0 |         0 
