                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 24105 Thread 1 - main                                                |   822000 |   157000 |    64745842 |   7522973908 |  34323456 |   1024 |    11817147 |       0 |      0 |         0 
 24127 Thread 2 - Reference Handler                                   |     8000 |     1000 |      933070 |     72653312 |         0 |      0 |      807960 |  150863 |      0 |         0 
 24128 Thread 3 - Finalizer                                           |     5000 |     1000 |      540523 |     47849257 |     13312 |      0 |      572864 |       0 |      0 |         0 
 24129 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       26675 |      7227285 |         0 |      0 |       20883 |       0 |      0 |         0 
 24130 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       28070 |       0 |      0 |         0 
 24141 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      587542 |     19515062 |      4096 |      0 |       95785 |       0 |      0 |         0 
 24142 Thread 13 - RMI RenewClean-[10.231.182.152:33036]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |       0 |      0 |         0 
 24143 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |       10103 |       0 |      0 |         0 
 24145 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 27293000 | 30307000 | 16737769706 | 561159942638 | 574261248 | 136192 | 19185980446 |  139308 |      0 |         0 
 24146 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   227000 |    43000 |    77642018 |   2627355304 |   5447680 |   5120 |    27456623 |  299288 |      0 |         0 
 24150 Thread 17 - PartitionProcessorThre...5ed-9956-e011163d7d0b-1-0 |  1421000 |   421000 |   535312613 |  17960875664 |     33792 |      0 |  1658414564 |       0 |      0 |         0 
 24151 Thread 18 - PartitionProcessorThre...5ed-9956-e011163d7d0b-1-1 |  1429000 |   414000 |   534855738 |  17970044226 |      3072 |      0 |  1714358762 |       0 |      0 |         0 
 24152 Thread 19 - PartitionProcessorThre...5ed-9956-e011163d7d0b-1-2 |  1459000 |   411000 |   543583102 |  18236793543 |     12288 |      0 |  1640380783 |       0 |      0 |         0 
 24153 Thread 20 - PartitionProcessorThre...5ed-9956-e011163d7d0b-1-3 |  1427000 |   411000 |   535416535 |  17928330027 |         0 |      0 |  1679800412 |       0 |      0 |         0 
 24154 Thread 21 - PartitionProcessorThre...5ed-9956-e011163d7d0b-1-4 |  1465000 |   419000 |   548728152 |  18381488613 |         0 |      0 |  1593312808 |       0 |      0 |         0 
 24155 Thread 22 - PartitionProcessorThre...5ed-9956-e011163d7d0b-1-5 |  1412000 |   443000 |   539821996 |  18095817613 |      4096 |      0 |  1560593775 |       0 |      0 |         0 
 24156 Thread 23 - PartitionProcessorThre...5ed-9956-e011163d7d0b-1-6 |  1354000 |   438000 |   519724621 |  17480847242 |      1024 |      0 |  1694715961 |       0 |      0 |         0 
