                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 23412 Thread 1 - main                                                |   817000 |   165000 |    63804732 |   7544139090 |  34258944 |   1024 |    22297207 |      0 |      0 |         0 
 23434 Thread 2 - Reference Handler                                   |     5000 |        0 |      542546 |     41475542 |         0 |      0 |     3284582 |      0 |      0 |         0 
 23435 Thread 3 - Finalizer                                           |     6000 |        0 |      474605 |     46673386 |      5120 |      0 |     1485940 |      0 |      0 |         0 
 23436 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |        0 |      102957 |      7966277 |         0 |      0 |      130439 |      0 |      0 |         0 
 23437 Thread 5 - Signal Dispatcher                                   |        0 |     2000 |      597519 |     19545683 |         0 |      0 |      125482 |      0 |      0 |         0 
 23446 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      663874 |     27276261 |      4096 |      0 |      117370 |      0 |      0 |         0 
 23447 Thread 13 - RMI RenewClean-[10.231.182.152:42703]              |        0 |        0 |           0 |            0 |      1024 |      0 |      112540 |      0 |      0 |         0 
 23448 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |      107373 |      0 |      0 |         0 
 23450 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 31696000 | 34395000 | 19268721345 | 644074533298 | 624425984 | 125952 | 19215541987 | 145503 |      0 |         0 
 23453 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   217000 |    48000 |    75164776 |   2576900667 |   6525952 |   5120 |    20866749 | 524875 |      0 |         0 
 23456 Thread 17 - PartitionProcessorThre...225-a814-5a6e7a4ad737-2-0 |  1481000 |   482000 |   567812914 |  19139566552 |         0 |      0 |  1897298485 |      0 |      0 |         0 
 23457 Thread 18 - PartitionProcessorThre...225-a814-5a6e7a4ad737-2-1 |  1420000 |   486000 |   552328055 |  18581021400 |     33792 |      0 |  1705053208 |      0 |      0 |         0 
 23458 Thread 19 - PartitionProcessorThre...225-a814-5a6e7a4ad737-2-2 |  1404000 |   495000 |   547761290 |  18507909818 |         0 |      0 |  1546046334 |      0 |      0 |         0 
 23459 Thread 20 - PartitionProcessorThre...225-a814-5a6e7a4ad737-2-3 |  1401000 |   478000 |   544809528 |  18318208278 |      4096 |      0 |  1840976450 |      0 |      0 |         0 
 23460 Thread 21 - PartitionProcessorThre...225-a814-5a6e7a4ad737-2-4 |  1392000 |   469000 |   538388587 |  18143270220 |      3072 |      0 |  1603784704 |      0 |      0 |         0 
 23461 Thread 22 - PartitionProcessorThre...225-a814-5a6e7a4ad737-2-5 |  1450000 |   488000 |   558927621 |  18890082083 |         0 |      0 |  1643905279 |      0 |      0 |         0 
 23462 Thread 23 - PartitionProcessorThre...225-a814-5a6e7a4ad737-2-6 |  1424000 |   464000 |   544133422 |  18401754173 |         0 |      0 |  1568612373 |      0 |      0 |         0 
 23463 Thread 24 - PartitionProcessorThre...225-a814-5a6e7a4ad737-2-7 |  1391000 |   512000 |   549213946 |  18551429794 |         0 |      0 |  1714213520 |      0 |      0 |         0 
 23464 Thread 25 - PartitionProcessorThre...225-a814-5a6e7a4ad737-2-8 |  1420000 |   464000 |   545120083 |  18369375099 |         0 |      0 |  1478139005 |      0 |      0 |         0 
 23465 Thread 26 - PartitionProcessorThre...225-a814-5a6e7a4ad737-2-9 |  1471000 |   475000 |   563990547 |  18976183314 |         0 |      0 |  1631949800 |      0 |      0 |         0 
 23466 Thread 27 - PartitionProcessorThre...25-a814-5a6e7a4ad737-2-10 |  1444000 |   474000 |   554081836 |  18696546755 |         0 |      0 |  1682701292 |      0 |      0 |         0 
 23467 Thread 28 - PartitionProcessorThre...25-a814-5a6e7a4ad737-2-11 |  1419000 |   504000 |   556820012 |  18751517509 |      1024 |      0 |  1627975697 |      0 |      0 |         0 
 23468 Thread 29 - PartitionProcessorThre...25-a814-5a6e7a4ad737-2-12 |  1427000 |   505000 |   561198286 |  18840721794 |         0 |      0 |  1543096820 |      0 |      0 |         0 
 23469 Thread 30 - PartitionProcessorThre...25-a814-5a6e7a4ad737-2-13 |  1486000 |   482000 |   569861086 |  19190557325 |         0 |      0 |  1605970459 |      0 |      0 |         0 
 23470 Thread 31 - PartitionProcessorThre...25-a814-5a6e7a4ad737-2-14 |  1430000 |   445000 |   543650165 |  18286508130 |         0 |      0 |  1710633113 |      0 |      0 |         0 
 23471 Thread 32 - PartitionProcessorThre...25-a814-5a6e7a4ad737-2-15 |  1412000 |   473000 |   544501290 |  18377515263 |         0 |      0 |  1567892243 |      0 |      0 |         0 
 23472 Thread 33 - PartitionProcessorThre...25-a814-5a6e7a4ad737-2-16 |  1422000 |   502000 |   557304645 |  18761368318 |         0 |      0 |  1693444800 |      0 |      0 |         0 
 23473 Thread 34 - PartitionProcessorThre...25-a814-5a6e7a4ad737-2-17 |  1400000 |   482000 |   544368649 |  18346772302 |         0 |      0 |  1812775456 |      0 |      0 |         0 
 23474 Thread 35 - PartitionProcessorThre...25-a814-5a6e7a4ad737-2-18 |  1364000 |   458000 |   527581008 |  17764425091 |         0 |      0 |  1741777688 |      0 |      0 |         0 
 23475 Thread 36 - PartitionProcessorThre...25-a814-5a6e7a4ad737-2-19 |  1372000 |   521000 |   547666567 |  18457445591 |         0 |      0 |  1695244804 |      0 |      0 |         0 
 23480 Thread 37 - PartitionProcessorThre...225-a814-5a6e7a4ad737-1-0 |  1397000 |   466000 |   546986137 |  18184342794 |         0 |      0 |  1586716603 |      0 |      0 |         0 
 23481 Thread 38 - PartitionProcessorThre...225-a814-5a6e7a4ad737-1-1 |  1410000 |   456000 |   547243227 |  18212773040 |         0 |      0 |  1423058409 |      0 |      0 |         0 
 23482 Thread 39 - PartitionProcessorThre...225-a814-5a6e7a4ad737-1-2 |  1318000 |   482000 |   528365977 |  17568644333 |         0 |      0 |  1563610167 |      0 |      0 |         0 
 23483 Thread 40 - PartitionProcessorThre...225-a814-5a6e7a4ad737-1-3 |  1372000 |   446000 |   532596442 |  17745041997 |      1024 |      0 |  1636645301 |      0 |      0 |         0 
 23484 Thread 41 - PartitionProcessorThre...225-a814-5a6e7a4ad737-1-4 |  1416000 |   447000 |   546237583 |  18183992036 |         0 |      0 |  1467219401 |      0 |      0 |         0 
 23485 Thread 42 - PartitionProcessorThre...225-a814-5a6e7a4ad737-1-5 |  1412000 |   491000 |   557701938 |  18574063142 |         0 |      0 |  1696554632 |      0 |      0 |         0 
 23487 Thread 43 - PartitionProcessorThre...225-a814-5a6e7a4ad737-1-6 |  1436000 |   534000 |   577289153 |  19229486286 |         0 |      0 |  1646493288 |      0 |      0 |         0 
 23488 Thread 44 - PartitionProcessorThre...225-a814-5a6e7a4ad737-1-7 |  1426000 |   460000 |   553257907 |  18409538579 |         0 |      0 |  1525774265 |      0 |      0 |         0 
 23489 Thread 45 - PartitionProcessorThre...225-a814-5a6e7a4ad737-1-8 |  1452000 |   464000 |   561257008 |  18700518333 |      1024 |      0 |  1636343476 |      0 |      0 |         0 
 23490 Thread 46 - PartitionProcessorThre...225-a814-5a6e7a4ad737-1-9 |  1329000 |   470000 |   526358391 |  17558603537 |         0 |      0 |  1766298563 |      0 |      0 |         0 
 23491 Thread 47 - PartitionProcessorThre...25-a814-5a6e7a4ad737-1-10 |  1407000 |   468000 |   549892110 |  18301708630 |         0 |      0 |  1453179372 |      0 |      0 |         0 
 23492 Thread 48 - PartitionProcessorThre...25-a814-5a6e7a4ad737-1-11 |  1450000 |   486000 |   567541254 |  18896926029 |         0 |      0 |  1775442546 |      0 |      0 |         0 
 23493 Thread 49 - PartitionProcessorThre...25-a814-5a6e7a4ad737-1-12 |  1343000 |   461000 |   528987520 |  17608318693 |         0 |      0 |  1610041523 |      0 |      0 |         0 
 23494 Thread 50 - PartitionProcessorThre...25-a814-5a6e7a4ad737-1-13 |  1353000 |   438000 |   523226337 |  17481123099 |         0 |      0 |  1458895803 |      0 |      0 |         0 
 23495 Thread 51 - PartitionProcessorThre...25-a814-5a6e7a4ad737-1-14 |  1414000 |   444000 |   544040606 |  18134812036 |         0 |      0 |  1499294429 |      0 |      0 |         0 
 23496 Thread 52 - PartitionProcessorThre...25-a814-5a6e7a4ad737-1-15 |  1401000 |   469000 |   548166364 |  18253071907 |         0 |      0 |  1799970648 |      0 |      0 |         0 
 23497 Thread 53 - PartitionProcessorThre...25-a814-5a6e7a4ad737-1-16 |  1369000 |   500000 |   548365817 |  18242744474 |         0 |      0 |  1775638432 |      0 |      0 |         0 
 23498 Thread 54 - PartitionProcessorThre...25-a814-5a6e7a4ad737-1-17 |  1344000 |   454000 |   527447169 |  17549648755 |         0 |      0 |  1614981000 |      0 |      0 |         0 
 23499 Thread 55 - PartitionProcessorThre...25-a814-5a6e7a4ad737-1-18 |  1382000 |   501000 |   551704461 |  18378970591 |         0 |      0 |  1697870768 |      0 |      0 |         0 
 23500 Thread 56 - PartitionProcessorThre...25-a814-5a6e7a4ad737-1-19 |  1411000 |   496000 |   558610918 |  18613440810 |         0 |      0 |  1657190437 |      0 |      0 |         0 
 23556 Thread 57 - PartitionProcessorThre...225-a814-5a6e7a4ad737-0-0 |  1315000 |   451000 |   519673821 |  17237172083 |         0 |      0 |  1545236859 |      0 |      0 |         0 
 23557 Thread 58 - PartitionProcessorThre...225-a814-5a6e7a4ad737-0-1 |  1387000 |   485000 |   550067997 |  18271638939 |         0 |      0 |  1483300580 |      0 |      0 |         0 
 23558 Thread 59 - PartitionProcessorThre...225-a814-5a6e7a4ad737-0-2 |  1402000 |   488000 |   555739458 |  18447728240 |         0 |      0 |  1547098298 |      0 |      0 |         0 
 23563 Thread 60 - PartitionProcessorThre...225-a814-5a6e7a4ad737-0-3 |  1387000 |   468000 |   545420419 |  18106464880 |         0 |      0 |  1478716789 |      0 |      0 |         0 
 23564 Thread 61 - PartitionProcessorThre...225-a814-5a6e7a4ad737-0-4 |  1297000 |   467000 |   518672497 |  17217206044 |         0 |      0 |  1491800948 |      0 |      0 |         0 
 23565 Thread 62 - PartitionProcessorThre...225-a814-5a6e7a4ad737-0-5 |  1435000 |   455000 |   556010422 |  18447759450 |         0 |      0 |  1597844073 |      0 |      0 |         0 
 23566 Thread 63 - PartitionProcessorThre...225-a814-5a6e7a4ad737-0-6 |  1313000 |   505000 |   535023552 |  17745081435 |         0 |      0 |  1348294908 |      0 |      0 |         0 
 23567 Thread 64 - PartitionProcessorThre...225-a814-5a6e7a4ad737-0-7 |  1332000 |   494000 |   537344134 |  17822935130 |         0 |      0 |  1318382342 |      0 |      0 |         0 
 23569 Thread 65 - PartitionProcessorThre...225-a814-5a6e7a4ad737-0-8 |  1396000 |   484000 |   553405837 |  18349747341 |         0 |      0 |  1471290583 |      0 |      0 |         0 
 23570 Thread 66 - PartitionProcessorThre...225-a814-5a6e7a4ad737-0-9 |  1424000 |   455000 |   553085532 |  18340239513 |         0 |      0 |  1480177330 |      0 |      0 |         0 
 23575 Thread 67 - PartitionProcessorThre...25-a814-5a6e7a4ad737-0-10 |  1261000 |   470000 |   509346716 |  16896127201 |         0 |      0 |  1495136202 |      0 |      0 |         0 
 23579 Thread 68 - PartitionProcessorThre...25-a814-5a6e7a4ad737-0-11 |  1424000 |   454000 |   552255622 |  18331227044 |         0 |      0 |  1679786276 |      0 |      0 |         0 
 23581 Thread 69 - PartitionProcessorThre...25-a814-5a6e7a4ad737-0-12 |  1363000 |   465000 |   537978137 |  17843074380 |         0 |      0 |  1606662264 |      0 |      0 |         0 
 23583 Thread 70 - PartitionProcessorThre...25-a814-5a6e7a4ad737-0-13 |  1369000 |   456000 |   536664833 |  17813083982 |         0 |      0 |  1662544495 |      0 |      0 |         0 
 23584 Thread 71 - PartitionProcessorThre...25-a814-5a6e7a4ad737-0-14 |  1393000 |   478000 |   550778723 |  18262054544 |         0 |      0 |  1604283551 |      0 |      0 |         0 
 23585 Thread 72 - PartitionProcessorThre...25-a814-5a6e7a4ad737-0-15 |  1385000 |   488000 |   551320356 |  18281818259 |         0 |      0 |  1475761218 |      0 |      0 |         0 
 23587 Thread 73 - PartitionProcessorThre...25-a814-5a6e7a4ad737-0-16 |  1410000 |   495000 |   560348418 |  18593872497 |         0 |      0 |  1471918965 |      0 |      0 |         0 
