                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 71410 Thread 1 - main                                                |   574000 |    84000 |    39887819 |   4966845826 |  21054464 |   2048 |     6904143 |      0 |      0 |         0 
 71432 Thread 2 - Reference Handler                                   |     5000 |        0 |      490332 |     38768847 |         0 |      0 |     2807883 |      0 |      0 |         0 
 71433 Thread 3 - Finalizer                                           |     5000 |     1000 |      700351 |     47748199 |      5120 |      0 |     1068149 |      0 |      0 |         0 
 71434 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 71435 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |       30023 |      7292289 |         0 |      0 |           0 |      0 |      0 |         0 
 71444 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29161000 | 32216000 | 18920882793 | 597733543393 | 635914240 | 133120 | 18755013343 | 108985 |      0 |         0 
 71450 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   179000 |    56000 |    72187089 |   2292736855 |   7228416 |   5120 |    67591373 | 722256 |      0 |         0 
 71453 Thread 14 - PartitionProcessorThre...12b-a917-2c25752693eb-2-0 |  1336000 |   493000 |   558542340 |  17828758293 |     36864 |      0 |  1523050686 |      0 |      0 |         0 
 71454 Thread 15 - PartitionProcessorThre...12b-a917-2c25752693eb-2-1 |  1258000 |   442000 |   521073449 |  16586397321 |         0 |      0 |  1616955883 |      0 |      0 |         0 
 71455 Thread 16 - PartitionProcessorThre...12b-a917-2c25752693eb-2-2 |  1245000 |   421000 |   509561602 |  16256252411 |      4096 |      0 |  1567951900 |      0 |      0 |         0 
 71456 Thread 17 - PartitionProcessorThre...12b-a917-2c25752693eb-2-3 |  1293000 |   422000 |   526818395 |  16735543239 |         0 |      0 |  1668801384 |      0 |      0 |         0 
 71457 Thread 18 - PartitionProcessorThre...12b-a917-2c25752693eb-2-4 |  1215000 |   499000 |   524145121 |  16715387438 |     40960 |      0 |  1585564482 |      0 |      0 |         0 
 71458 Thread 19 - PartitionProcessorThre...12b-a917-2c25752693eb-2-5 |  1258000 |   390000 |   503722512 |  16079257903 |         0 |      0 |  1746984549 |      0 |      0 |         0 
 71459 Thread 20 - PartitionProcessorThre...12b-a917-2c25752693eb-2-6 |  1302000 |   467000 |   541296555 |  17255406512 |    117760 |      0 |  1701351099 |      0 |      0 |         0 
 71460 Thread 21 - PartitionProcessorThre...12b-a917-2c25752693eb-2-7 |  1265000 |   453000 |   526237297 |  16758377645 |         0 |      0 |  1558494072 |      0 |      0 |         0 
 71461 Thread 22 - PartitionProcessorThre...12b-a917-2c25752693eb-2-8 |  1292000 |   451000 |   535228777 |  17007077942 |         0 |      0 |  1446151548 |      0 |      0 |         0 
 71462 Thread 23 - PartitionProcessorThre...12b-a917-2c25752693eb-2-9 |  1183000 |   458000 |   502401684 |  16009978282 |         0 |      0 |  1514061998 |      0 |      0 |         0 
 71463 Thread 24 - PartitionProcessorThre...2b-a917-2c25752693eb-2-10 |  1263000 |   415000 |   513565391 |  16374213270 |         0 |      0 |  1402999025 |      0 |      0 |         0 
 71464 Thread 25 - PartitionProcessorThre...2b-a917-2c25752693eb-2-11 |  1217000 |   436000 |   504787622 |  16126939411 |      1024 |      0 |  1568455088 |      0 |      0 |         0 
 71465 Thread 26 - PartitionProcessorThre...2b-a917-2c25752693eb-2-12 |  1358000 |   463000 |   556471586 |  17767105344 |         0 |      0 |  1543955368 |      0 |      0 |         0 
