                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 122051 Thread 1 - main                                                |   936000 |   149000 |    75680970 |   8363733568 |  34516992 |   1024 |    15745146 |      0 |      0 |         0 
 122073 Thread 2 - Reference Handler                                   |     8000 |     1000 |      973765 |     75275175 |         0 |      0 |      847886 |      0 |      0 |         0 
 122074 Thread 3 - Finalizer                                           |     9000 |        0 |      951214 |     75060988 |      5120 |      0 |     2765827 |      0 |      0 |         0 
 122075 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        4482 |      0 |      0 |         0 
 122076 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       16252 |      0 |      0 |         0 
 122087 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      377109 |     17523417 |      2048 |      0 |      263651 |      0 |      0 |         0 
 122088 Thread 13 - RMI RenewClean-[10.231.182.152:40129]              |     1000 |        0 |       82902 |      7828570 |      1024 |      0 |           0 |      0 |      0 |         0 
 122089 Thread 14 - GC Daemon                                          |     1000 |        0 |       83089 |      7893574 |         0 |      0 |           0 |      0 |      0 |         0 
 122091 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28694000 | 37856000 | 19289953222 | 648451912244 | 572298240 | 115712 | 19777785869 | 239365 |      0 |         0 
 122092 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   324000 |    66000 |   112804792 |   3803036151 |   7797760 |   6144 |    27368599 | 279330 |      0 |         0 
 122096 Thread 17 - PartitionProcessorThre...b2a-a78d-943fa03252f2-1-0 |  1408000 |   466000 |   544393679 |  18271819866 |     34816 |      0 |  1679957365 |      0 |      0 |         0 
 122097 Thread 18 - PartitionProcessorThre...b2a-a78d-943fa03252f2-1-1 |  1400000 |   468000 |   543482179 |  18224080585 |         0 |      0 |  1770789015 |      0 |      0 |         0 
 122098 Thread 19 - PartitionProcessorThre...b2a-a78d-943fa03252f2-1-2 |  1417000 |   489000 |   553838453 |  18593630401 |      4096 |      0 |  1506529628 |      0 |      0 |         0 
 122099 Thread 20 - PartitionProcessorThre...b2a-a78d-943fa03252f2-1-3 |  1418000 |   422000 |   535349945 |  17952205448 |         0 |      0 |  1794003510 |      0 |      0 |         0 
