                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 133928 Thread 1 - main                                                |   589000 |    78000 |    41190502 |   5059370494 |  21055488 |   2048 |     5135412 |       0 |      0 |         0 
 133950 Thread 2 - Reference Handler                                   |     6000 |        0 |      758871 |     48521656 |         0 |      0 |        2356 |       0 |      0 |         0 
 133951 Thread 3 - Finalizer                                           |     5000 |     1000 |      672515 |     47746199 |      5120 |      0 |     4970854 |       0 |      0 |         0 
 133952 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        9142 |       0 |      0 |         0 
 133953 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 133962 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30981000 | 32434000 | 19267453168 | 617572177209 | 636157952 | 142336 | 19610239263 |  190901 |      0 |         0 
 133964 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   222000 |    63000 |    86454108 |   2778625323 |   6934528 |   6144 |    23664221 |  560768 |      0 |         0 
 133967 Thread 14 - PartitionProcessorThre...220-8dae-154e765f9c7d-2-0 |  1339000 |   438000 |   538559379 |  17325200992 |     39936 |      0 |  1482491153 |       0 |      0 |         0 
 133968 Thread 15 - PartitionProcessorThre...220-8dae-154e765f9c7d-2-1 |  1421000 |   456000 |   568608382 |  18311501844 |         0 |      0 |  1271702986 |       0 |      0 |         0 
 133969 Thread 16 - PartitionProcessorThre...220-8dae-154e765f9c7d-2-2 |  1262000 |   468000 |   524112144 |  16880079629 |         0 |      0 |  1250609336 |       0 |      0 |         0 
 133970 Thread 17 - PartitionProcessorThre...220-8dae-154e765f9c7d-2-3 |  1355000 |   435000 |   543884691 |  17465463192 |         0 |      0 |  1443140070 |       0 |      0 |         0 
 133971 Thread 18 - PartitionProcessorThre...220-8dae-154e765f9c7d-2-4 |  1333000 |   411000 |   528473586 |  17014070973 |         0 |      0 |  1522525515 |       0 |      0 |         0 
 133972 Thread 19 - PartitionProcessorThre...220-8dae-154e765f9c7d-2-5 |  1361000 |   456000 |   551724429 |  17725141043 |         0 |      0 |  1353398790 |       0 |      0 |         0 
 133973 Thread 20 - PartitionProcessorThre...220-8dae-154e765f9c7d-2-6 |  1273000 |   463000 |   525697008 |  16936079360 |         0 |      0 |  1404192288 |       0 |      0 |         0 
 133974 Thread 21 - PartitionProcessorThre...220-8dae-154e765f9c7d-2-7 |  1333000 |   443000 |   537201715 |  17324944516 |    118784 |      0 |  1322596997 |       0 |      0 |         0 
 133975 Thread 22 - PartitionProcessorThre...220-8dae-154e765f9c7d-2-8 |  1335000 |   425000 |   533765109 |  17171362684 |         0 |      0 |  1383108667 |       0 |      0 |         0 
 133976 Thread 23 - PartitionProcessorThre...220-8dae-154e765f9c7d-2-9 |  1335000 |   438000 |   537332879 |  17296743086 |         0 |      0 |  1354577784 |       0 |      0 |         0 
 133977 Thread 24 - PartitionProcessorThre...20-8dae-154e765f9c7d-2-10 |  1281000 |   435000 |   519959457 |  16742937793 |         0 |      0 |  1341840655 |       0 |      0 |         0 
 133978 Thread 25 - PartitionProcessorThre...20-8dae-154e765f9c7d-2-11 |  1331000 |   389000 |   522195590 |  16781885106 |         0 |      0 |  1365410905 |       0 |      0 |         0 
 133979 Thread 26 - PartitionProcessorThre...20-8dae-154e765f9c7d-2-12 |  1269000 |   467000 |   527317246 |  16936413746 |         0 |      0 |  1516199617 |       0 |      0 |         0 
 133980 Thread 27 - PartitionProcessorThre...20-8dae-154e765f9c7d-2-13 |  1286000 |   431000 |   521333430 |  16751461809 |         0 |      0 |  1617576481 |       0 |      0 |         0 
 133981 Thread 28 - PartitionProcessorThre...20-8dae-154e765f9c7d-2-14 |  1267000 |   418000 |   511234094 |  16440229071 |         0 |      0 |  1384984154 |       0 |      0 |         0 
 133982 Thread 29 - PartitionProcessorThre...20-8dae-154e765f9c7d-2-15 |  1330000 |   488000 |   552272332 |  17736727571 |         0 |      0 |  1521270467 |       0 |      0 |         0 
