                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 131426 Thread 1 - main                                                |   574000 |    86000 |    40110291 |   4988883041 |  21055488 |   1024 |     4977292 |      0 |      0 |         0 
 131448 Thread 2 - Reference Handler                                   |     8000 |        0 |      959156 |     64056796 |         0 |      0 |           0 |      0 |      0 |         0 
 131449 Thread 3 - Finalizer                                           |     6000 |     1000 |      604507 |     53528531 |      5120 |      0 |      656963 |      0 |      0 |         0 
 131450 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        5447 |      0 |      0 |         0 
 131451 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      297179 |      9755031 |         0 |      0 |           0 |      0 |      0 |         0 
 131460 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26516000 | 29442000 | 16260588827 | 544618260695 | 585268224 | 133120 | 17977734375 | 129888 |      0 |         0 
 131462 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   187000 |    53000 |    70212292 |   2338155565 |   6646784 |   5120 |    18295729 | 370492 |      0 |         0 
 131465 Thread 14 - PartitionProcessorThre...fa2-bf19-5df6b626738a-2-0 |  1207000 |   432000 |   476489411 |  15978726747 |     36864 |      0 |  1415440831 |      0 |      0 |         0 
 131466 Thread 15 - PartitionProcessorThre...fa2-bf19-5df6b626738a-2-1 |  1179000 |   387000 |   455902063 |  15274822430 |         0 |      0 |  1417633899 |      0 |      0 |         0 
 131467 Thread 16 - PartitionProcessorThre...fa2-bf19-5df6b626738a-2-2 |  1256000 |   402000 |   480374606 |  16171636751 |         0 |      0 |  1391929139 |      0 |      0 |         0 
 131468 Thread 17 - PartitionProcessorThre...fa2-bf19-5df6b626738a-2-3 |  1233000 |   433000 |   484536340 |  16249115454 |         0 |      0 |  1575105301 |      0 |      0 |         0 
 131469 Thread 18 - PartitionProcessorThre...fa2-bf19-5df6b626738a-2-4 |  1184000 |   449000 |   476328258 |  15927367727 |         0 |      0 |  1522073353 |      0 |      0 |         0 
 131470 Thread 19 - PartitionProcessorThre...fa2-bf19-5df6b626738a-2-5 |  1309000 |   455000 |   512640789 |  17201955707 |     67584 |      0 |  1629105180 |      0 |      0 |         0 
 131471 Thread 20 - PartitionProcessorThre...fa2-bf19-5df6b626738a-2-6 |  1200000 |   384000 |   460482809 |  15448757887 |      3072 |      0 |  1555459374 |      0 |      0 |         0 
 131472 Thread 21 - PartitionProcessorThre...fa2-bf19-5df6b626738a-2-7 |  1198000 |   380000 |   458313524 |  15390620391 |         0 |      0 |  1604989137 |      0 |      0 |         0 
 131473 Thread 22 - PartitionProcessorThre...fa2-bf19-5df6b626738a-2-8 |  1195000 |   434000 |   474451868 |  15890016110 |     53248 |      0 |  1599739268 |      0 |      0 |         0 
 131474 Thread 23 - PartitionProcessorThre...fa2-bf19-5df6b626738a-2-9 |  1252000 |   429000 |   488084571 |  16388918438 |     26624 |      0 |  1550558376 |      0 |      0 |         0 
 131475 Thread 24 - PartitionProcessorThre...a2-bf19-5df6b626738a-2-10 |  1160000 |   377000 |   446646255 |  14991485598 |         0 |      0 |  1457333085 |      0 |      0 |         0 
 131476 Thread 25 - PartitionProcessorThre...a2-bf19-5df6b626738a-2-11 |  1181000 |   357000 |   448293802 |  15000574462 |         0 |      0 |  1342079174 |      0 |      0 |         0 
 131477 Thread 26 - PartitionProcessorThre...a2-bf19-5df6b626738a-2-12 |  1126000 |   390000 |   441347075 |  14786482493 |         0 |      0 |  1357976425 |      0 |      0 |         0 
 131478 Thread 27 - PartitionProcessorThre...a2-bf19-5df6b626738a-2-13 |  1182000 |   357000 |   445761481 |  15012431208 |         0 |      0 |  1309621724 |      0 |      0 |         0 
 131479 Thread 28 - PartitionProcessorThre...a2-bf19-5df6b626738a-2-14 |  1188000 |   402000 |   462115141 |  15510067860 |         0 |      0 |  1405902539 |      0 |      0 |         0 
 131480 Thread 29 - PartitionProcessorThre...a2-bf19-5df6b626738a-2-15 |  1209000 |   416000 |   471712829 |  15849755821 |         0 |      0 |  1477984434 |      0 |      0 |         0 
 131481 Thread 30 - PartitionProcessorThre...a2-bf19-5df6b626738a-2-16 |  1267000 |   384000 |   480487321 |  16101787399 |     15360 |      0 |  1329200807 |      0 |      0 |         0 
 131482 Thread 31 - PartitionProcessorThre...a2-bf19-5df6b626738a-2-17 |  1231000 |   385000 |   471351926 |  15764264684 |      1024 |      0 |  1420642006 |      0 |      0 |         0 
 131483 Thread 32 - PartitionProcessorThre...a2-bf19-5df6b626738a-2-18 |  1211000 |   445000 |   482859247 |  16151988196 |         0 |      0 |  1281517499 |      0 |      0 |         0 
 131484 Thread 33 - PartitionProcessorThre...a2-bf19-5df6b626738a-2-19 |  1305000 |   416000 |   499246121 |  16787517336 |         0 |      0 |  1519434737 |      0 |      0 |         0 
 131485 Thread 34 - PartitionProcessorThre...fa2-bf19-5df6b626738a-0-0 |  1177000 |   370000 |   452665602 |  15092048860 |         0 |      0 |  1170969926 |      0 |      0 |         0 
 131486 Thread 35 - PartitionProcessorThre...fa2-bf19-5df6b626738a-0-1 |  1138000 |   399000 |   450653102 |  14994401020 |         0 |      0 |  1519233758 |      0 |      0 |         0 
 131487 Thread 36 - PartitionProcessorThre...fa2-bf19-5df6b626738a-0-2 |  1174000 |   404000 |   462880055 |  15394027880 |         0 |      0 |  1428837458 |      0 |      0 |         0 
 131488 Thread 37 - PartitionProcessorThre...fa2-bf19-5df6b626738a-0-3 |  1234000 |   424000 |   485596950 |  16173962676 |         0 |      0 |  1594420724 |      0 |      0 |         0 
 131489 Thread 38 - PartitionProcessorThre...fa2-bf19-5df6b626738a-0-4 |  1172000 |   408000 |   462869567 |  15413467860 |         0 |      0 |  1537284256 |      0 |      0 |         0 
 131490 Thread 39 - PartitionProcessorThre...fa2-bf19-5df6b626738a-0-5 |  1175000 |   395000 |   459668051 |  15316271505 |         0 |      0 |  1400813143 |      0 |      0 |         0 
 131491 Thread 40 - PartitionProcessorThre...fa2-bf19-5df6b626738a-0-6 |  1159000 |   407000 |   458456110 |  15276817423 |         0 |      0 |  1570098900 |      0 |      0 |         0 
 131492 Thread 41 - PartitionProcessorThre...fa2-bf19-5df6b626738a-0-7 |  1190000 |   436000 |   477359356 |  15862325508 |         0 |      0 |  1402620850 |      0 |      0 |         0 
 131493 Thread 42 - PartitionProcessorThre...fa2-bf19-5df6b626738a-0-8 |  1137000 |   407000 |   452340540 |  15062394673 |         0 |      0 |  1274427302 |      0 |      0 |         0 
 131494 Thread 43 - PartitionProcessorThre...fa2-bf19-5df6b626738a-0-9 |  1126000 |   379000 |   440331969 |  14681986411 |         0 |      0 |  1367377097 |      0 |      0 |         0 
