                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 9551 Thread 1 - main                                                |   794000 |   126000 |    61592568 |   7078334225 |  34535424 |   1024 |    13813050 |      0 |      0 |         0 
 9573 Thread 2 - Reference Handler                                   |     6000 |        0 |      710542 |     50551687 |         0 |      0 |     3407202 |      0 |      0 |         0 
 9574 Thread 3 - Finalizer                                           |     6000 |     1000 |      734957 |     57612804 |      5120 |      0 |      945601 |      0 |      0 |         0 
 9575 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 9576 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |       26710 |      7228289 |         0 |      0 |           0 |      0 |      0 |         0 
 9584 Thread 12 - RMI Scheduler(0)                                   |     1000 |        0 |      288328 |      9759867 |      2048 |      0 |       89386 |      0 |      0 |         0 
 9585 Thread 13 - RMI RenewClean-[10.231.182.152:37636]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 9586 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 9589 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28481000 | 39102000 | 19642810531 | 658870638913 | 624350208 | 106496 | 16105807459 | 172180 |      0 |         0 
 9591 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   213000 |    38000 |    71570206 |   2444082952 |   6978560 |   5120 |    17622086 | 254528 |      0 |         0 
 9596 Thread 17 - PartitionProcessorThre...f3d-b909-cbbc94158864-2-0 |  1204000 |   440000 |   477993074 |  16046017065 |         0 |      0 |  1005003444 |      0 |      0 |         0 
 9597 Thread 18 - PartitionProcessorThre...f3d-b909-cbbc94158864-2-1 |  1150000 |   454000 |   465664727 |  15654079928 |         0 |      0 |   833383474 | 802165 |      0 |         0 
 9598 Thread 19 - PartitionProcessorThre...f3d-b909-cbbc94158864-2-2 |  1251000 |   457000 |   496150152 |  16665266545 |     33792 |      0 |  1090095803 |      0 |      0 |         0 
 9599 Thread 20 - PartitionProcessorThre...f3d-b909-cbbc94158864-2-3 |  1230000 |   396000 |   472493512 |  15871594291 |         0 |      0 |  1169791412 |      0 |      0 |         0 
 9600 Thread 21 - PartitionProcessorThre...f3d-b909-cbbc94158864-2-4 |  1320000 |   470000 |   519809148 |  17470705482 |         0 |      0 |  1065089715 |      0 |      0 |         0 
 9601 Thread 22 - PartitionProcessorThre...f3d-b909-cbbc94158864-2-5 |  1272000 |   441000 |   498172676 |  16718115322 |         0 |      0 |  1088006203 |      0 |      0 |         0 
 9602 Thread 23 - PartitionProcessorThre...f3d-b909-cbbc94158864-2-6 |  1223000 |   409000 |   475205746 |  15929968651 |         0 |      0 |   935027299 |      0 |      0 |         0 
 9603 Thread 24 - PartitionProcessorThre...f3d-b909-cbbc94158864-2-7 |  1150000 |   450000 |   465121332 |  15616209158 |         0 |      0 |   901222624 |      0 |      0 |         0 
 9604 Thread 25 - PartitionProcessorThre...f3d-b909-cbbc94158864-2-8 |  1257000 |   439000 |   491999824 |  16553914310 |         0 |      0 |  1100476890 |      0 |      0 |         0 
 9605 Thread 26 - PartitionProcessorThre...f3d-b909-cbbc94158864-2-9 |  1196000 |   446000 |   477671637 |  16027490686 |      1024 |      0 |   964662648 |      0 |      0 |         0 
 9606 Thread 27 - PartitionProcessorThre...3d-b909-cbbc94158864-2-10 |  1276000 |   424000 |   492947102 |  16589990439 |         0 |      0 |  1011600574 |      0 |      0 |         0 
 9607 Thread 28 - PartitionProcessorThre...3d-b909-cbbc94158864-2-11 |  1237000 |   408000 |   478403184 |  16055812998 |         0 |      0 |   808836271 |      0 |      0 |         0 
 9608 Thread 29 - PartitionProcessorThre...3d-b909-cbbc94158864-2-12 |  1298000 |   472000 |   514146961 |  17274922724 |      1024 |      0 |  1156254356 |      0 |      0 |         0 
 9609 Thread 30 - PartitionProcessorThre...3d-b909-cbbc94158864-2-13 |  1306000 |   392000 |   491857015 |  16569393713 |         0 |      0 |   965241209 |      0 |      0 |         0 
 9610 Thread 31 - PartitionProcessorThre...3d-b909-cbbc94158864-2-14 |  1188000 |   442000 |   473408570 |  15908021315 |      3072 |      0 |  1096995781 |      0 |      0 |         0 
