                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 4372 Thread 1 - main                                                |   612000 |   116000 |    42498549 |   5513638147 |  21206016 |   1024 |     3016302 |       0 |      0 |         0 
 4394 Thread 2 - Reference Handler                                   |     6000 |     2000 |      888628 |     64054234 |         0 |      0 |      235061 |       0 |      0 |         0 
 4395 Thread 3 - Finalizer                                           |     3000 |        0 |      431996 |     25286988 |      5120 |      0 |      313209 |       0 |      0 |         0 
 4396 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 4397 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 4407 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 31684000 | 34640000 | 19521692074 | 645950910897 | 636042240 | 134144 | 19370264153 |   80196 |      0 |         0 
 4408 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   234000 |    56000 |    84305417 |   2819720624 |   6947840 |   5120 |    44483871 |  536160 |      0 |         0 
 4411 Thread 14 - PartitionProcessorThre...251-9bef-be6b4ce86b74-2-0 |  1446000 |   493000 |   565046766 |  18901194204 |     33792 |      0 |  1810642409 |       0 |      0 |         0 
 4412 Thread 15 - PartitionProcessorThre...251-9bef-be6b4ce86b74-2-1 |  1354000 |   447000 |   529156707 |  17572749142 |      4096 |      0 |  1877498413 |       0 |      0 |         0 
 4413 Thread 16 - PartitionProcessorThre...251-9bef-be6b4ce86b74-2-2 |  1412000 |   482000 |   554081610 |  18479445149 |         0 |      0 |  1734375097 |       0 |      0 |         0 
 4414 Thread 17 - PartitionProcessorThre...251-9bef-be6b4ce86b74-2-3 |  1364000 |   460000 |   535216168 |  17797965556 |         0 |      0 |  1952441939 |       0 |      0 |         0 
 4415 Thread 18 - PartitionProcessorThre...251-9bef-be6b4ce86b74-2-4 |  1413000 |   467000 |   552088145 |  18341414821 |         0 |      0 |  1896185359 |       0 |      0 |         0 
 4416 Thread 19 - PartitionProcessorThre...251-9bef-be6b4ce86b74-2-5 |  1392000 |   490000 |   553705875 |  18364220524 |         0 |      0 |  1926689936 |       0 |      0 |         0 
 4417 Thread 20 - PartitionProcessorThre...251-9bef-be6b4ce86b74-2-6 |  1342000 |   463000 |   531945450 |  17612408685 |         0 |      0 |  1801966973 |       0 |      0 |         0 
 4418 Thread 21 - PartitionProcessorThre...251-9bef-be6b4ce86b74-2-7 |  1371000 |   477000 |   543069461 |  18031689814 |         0 |      0 |  1977990453 |       0 |      0 |         0 
