                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 118151 Thread 1 - main                                                |   565000 |    88000 |    39829549 |   4945975201 |  21055488 |   1024 |     3501986 |       0 |      0 |         0 
 118173 Thread 2 - Reference Handler                                   |     7000 |     1000 |     1016593 |     64332812 |         0 |      0 |     2143440 |       0 |      0 |         0 
 118174 Thread 3 - Finalizer                                           |     5000 |     1000 |      518160 |     45829964 |      5120 |      0 |     1114795 |       0 |      0 |         0 
 118175 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 118176 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      299519 |      9756035 |         0 |      0 |           0 |       0 |      0 |         0 
 118185 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28007000 | 32688000 | 17925434154 | 591015769987 | 635676672 | 116736 | 19591622973 |  422320 |      0 |         0 
 118187 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   158000 |    44000 |    58848062 |   1967082679 |   7409664 |   4096 |    33248012 | 1009505 |      0 |         0 
 118190 Thread 14 - PartitionProcessorThre...8c3-9218-037179ffa29d-0-0 |  1232000 |   466000 |   495486500 |  16540474196 |     37888 |      0 |  1446979965 |       0 |      0 |         0 
 118191 Thread 15 - PartitionProcessorThre...8c3-9218-037179ffa29d-0-1 |  1252000 |   403000 |   484292430 |  16138268618 |    121856 |      0 |  1436222017 |       0 |      0 |         0 
 118192 Thread 16 - PartitionProcessorThre...8c3-9218-037179ffa29d-0-2 |  1349000 |   465000 |   533477219 |  17695737176 |         0 |      0 |  1635020417 |       0 |      0 |         0 
 118193 Thread 17 - PartitionProcessorThre...8c3-9218-037179ffa29d-0-3 |  1376000 |   451000 |   534786023 |  17821544223 |         0 |      0 |  1669045642 |       0 |      0 |         0 
 118194 Thread 18 - PartitionProcessorThre...8c3-9218-037179ffa29d-0-4 |  1327000 |   442000 |   518022203 |  17254612496 |         0 |      0 |  1667585788 |       0 |      0 |         0 
 118195 Thread 19 - PartitionProcessorThre...8c3-9218-037179ffa29d-0-5 |  1368000 |   507000 |   549725480 |  18294217609 |         0 |      0 |  1643842665 |       0 |      0 |         0 
 118196 Thread 20 - PartitionProcessorThre...8c3-9218-037179ffa29d-0-6 |  1248000 |   472000 |   503526153 |  16781468965 |         0 |      0 |  1495742177 |       0 |      0 |         0 
 118197 Thread 21 - PartitionProcessorThre...8c3-9218-037179ffa29d-0-7 |  1313000 |   428000 |   511031356 |  16987913352 |         0 |      0 |  1545331268 |       0 |      0 |         0 
 118198 Thread 22 - PartitionProcessorThre...8c3-9218-037179ffa29d-0-8 |  1305000 |   457000 |   515778965 |  17191485516 |         0 |      0 |  1615050545 |       0 |      0 |         0 
 118199 Thread 23 - PartitionProcessorThre...8c3-9218-037179ffa29d-0-9 |  1310000 |   429000 |   508938676 |  16967019422 |         0 |      0 |  1566507010 |       0 |      0 |         0 
 118200 Thread 24 - PartitionProcessorThre...c3-9218-037179ffa29d-0-10 |  1240000 |   470000 |   501213735 |  16683423067 |      1024 |      0 |  1599289811 |       0 |      0 |         0 
 118201 Thread 25 - PartitionProcessorThre...c3-9218-037179ffa29d-0-11 |  1273000 |   443000 |   503748820 |  16737527344 |     43008 |      0 |  1502089453 |       0 |      0 |         0 
 118202 Thread 26 - PartitionProcessorThre...c3-9218-037179ffa29d-0-12 |  1238000 |   420000 |   486384493 |  16176699688 |         0 |      0 |  1631291217 |       0 |      0 |         0 
 118203 Thread 27 - PartitionProcessorThre...c3-9218-037179ffa29d-0-13 |  1317000 |   417000 |   508507660 |  16918345086 |         0 |      0 |  1629871443 |       0 |      0 |         0 
 118204 Thread 28 - PartitionProcessorThre...c3-9218-037179ffa29d-0-14 |  1322000 |   459000 |   523593172 |  17376928621 |         0 |      0 |  1677218193 |       0 |      0 |         0 
 118205 Thread 29 - PartitionProcessorThre...c3-9218-037179ffa29d-0-15 |  1238000 |   469000 |   502593574 |  16655879618 |         0 |      0 |  1610290434 |       0 |      0 |         0 
 118206 Thread 30 - PartitionProcessorThre...c3-9218-037179ffa29d-0-16 |  1326000 |   449000 |   520533942 |  17319270563 |         0 |      0 |  1586938762 |       0 |      0 |         0 
 118207 Thread 31 - PartitionProcessorThre...c3-9218-037179ffa29d-0-17 |  1269000 |   423000 |   496110336 |  16509254579 |         0 |      0 |  1522450787 |       0 |      0 |         0 
 118208 Thread 32 - PartitionProcessorThre...c3-9218-037179ffa29d-0-18 |  1279000 |   436000 |   502921164 |  16732818141 |         0 |      0 |  1378843971 |       0 |      0 |         0 
 118209 Thread 33 - PartitionProcessorThre...c3-9218-037179ffa29d-0-19 |  1285000 |   435000 |   505356039 |  16782922246 |         0 |      0 |  1456701386 |       0 |      0 |         0 
 118210 Thread 34 - PartitionProcessorThre...8c3-9218-037179ffa29d-2-0 |  1278000 |   438000 |   510065356 |  16744718840 |         0 |      0 |  1357302103 |       0 |      0 |         0 
 118211 Thread 35 - PartitionProcessorThre...8c3-9218-037179ffa29d-2-1 |  1239000 |   518000 |   521084609 |  17144282465 |         0 |      0 |  1479815756 |       0 |      0 |         0 
 118212 Thread 36 - PartitionProcessorThre...8c3-9218-037179ffa29d-2-2 |  1306000 |   440000 |   517817797 |  17036838743 |         0 |      0 |  1263055750 |       0 |      0 |         0 
 118213 Thread 37 - PartitionProcessorThre...8c3-9218-037179ffa29d-2-3 |  1220000 |   440000 |   492922629 |  16198582528 |         0 |      0 |  1204370441 |       0 |      0 |         0 
 118214 Thread 38 - PartitionProcessorThre...8c3-9218-037179ffa29d-2-4 |  1250000 |   509000 |   522370477 |  17163878586 |         0 |      0 |  1430090076 |       0 |      0 |         0 
