                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 115718 Thread 1 - main                                                |   568000 |    65000 |    39068737 |   4805805685 |  21055488 |   1024 |    12349604 |      0 |      0 |         0 
 115740 Thread 2 - Reference Handler                                   |     6000 |     1000 |      890109 |     55826972 |         0 |      0 |      783923 |      0 |      0 |         0 
 115741 Thread 3 - Finalizer                                           |     7000 |        0 |      948382 |     56529425 |      5120 |      0 |      567505 |      0 |      0 |         0 
 115742 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       18371 |      0 |      0 |         0 
 115743 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       17427 |      0 |      0 |         0 
 115752 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26168000 | 29142000 | 16220637622 | 538273782309 | 586129408 | 128000 | 15765610048 | 165867 |      0 |         0 
 115753 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   182000 |    50000 |    68446503 |   2260145843 |   5697536 |   4096 |    21805957 | 128525 |      0 |         0 
 115756 Thread 14 - PartitionProcessorThre...d03-9f73-99122e11ab42-0-0 |  1220000 |   395000 |   469965379 |  15734555731 |     33792 |      0 |  1343605951 |      0 |      0 |         0 
 115757 Thread 15 - PartitionProcessorThre...d03-9f73-99122e11ab42-0-1 |  1213000 |   411000 |   475051469 |  15839512715 |      4096 |      0 |  1369277952 |      0 |      0 |         0 
 115758 Thread 16 - PartitionProcessorThre...d03-9f73-99122e11ab42-0-2 |  1090000 |   414000 |   439217743 |  14669355622 |         0 |      0 |  1658821312 |      0 |      0 |         0 
 115759 Thread 17 - PartitionProcessorThre...d03-9f73-99122e11ab42-0-3 |  1195000 |   410000 |   467680743 |  15654441786 |         0 |      0 |  1378762712 |      0 |      0 |         0 
 115760 Thread 18 - PartitionProcessorThre...d03-9f73-99122e11ab42-0-4 |  1185000 |   396000 |   461402091 |  15419039696 |     23552 |      0 |  1463715646 |      0 |      0 |         0 
 115761 Thread 19 - PartitionProcessorThre...d03-9f73-99122e11ab42-0-5 |  1241000 |   416000 |   484436465 |  16160204313 |      3072 |      0 |  1614192204 |      0 |      0 |         0 
 115762 Thread 20 - PartitionProcessorThre...d03-9f73-99122e11ab42-0-6 |  1261000 |   383000 |   480148489 |  16035919668 |         0 |      0 |  1302855104 |      0 |      0 |         0 
 115763 Thread 21 - PartitionProcessorThre...d03-9f73-99122e11ab42-0-7 |  1235000 |   401000 |   478376899 |  15957953204 |         0 |      0 |  1396093567 |      0 |      0 |         0 
 115764 Thread 22 - PartitionProcessorThre...d03-9f73-99122e11ab42-0-8 |  1146000 |   411000 |   455561102 |  15185270626 |    118784 |      0 |  1398273615 |      0 |      0 |         0 
 115765 Thread 23 - PartitionProcessorThre...d03-9f73-99122e11ab42-0-9 |  1143000 |   389000 |   446703270 |  14943377481 |         0 |      0 |  1605609168 |      0 |      0 |         0 
 115766 Thread 24 - PartitionProcessorThre...03-9f73-99122e11ab42-0-10 |  1157000 |   383000 |   450192216 |  15023506520 |         0 |      0 |  1330430549 |      0 |      0 |         0 
 115767 Thread 25 - PartitionProcessorThre...03-9f73-99122e11ab42-0-11 |  1203000 |   391000 |   465439114 |  15548274801 |         0 |      0 |  1467728689 |      0 |      0 |         0 
 115768 Thread 26 - PartitionProcessorThre...03-9f73-99122e11ab42-0-12 |  1191000 |   434000 |   474607356 |  15850125286 |         0 |      0 |  1496965597 |      0 |      0 |         0 
 115769 Thread 27 - PartitionProcessorThre...03-9f73-99122e11ab42-0-13 |  1188000 |   427000 |   472271922 |  15754463739 |         0 |      0 |  1539678220 |      0 |      0 |         0 
 115770 Thread 28 - PartitionProcessorThre...03-9f73-99122e11ab42-0-14 |  1220000 |   378000 |   466261942 |  15588522348 |         0 |      0 |  1445031158 |      0 |      0 |         0 
 115771 Thread 29 - PartitionProcessorThre...03-9f73-99122e11ab42-0-15 |  1166000 |   402000 |   458611715 |  15293921337 |         0 |      0 |  1608056683 |      0 |      0 |         0 
 115772 Thread 30 - PartitionProcessorThre...03-9f73-99122e11ab42-0-16 |  1150000 |   425000 |   459523266 |  15363142157 |      1024 |      0 |  1486814540 |      0 |      0 |         0 
 115773 Thread 31 - PartitionProcessorThre...03-9f73-99122e11ab42-0-17 |  1125000 |   419000 |   451070172 |  15060385887 |         0 |      0 |  1434309534 |      0 |      0 |         0 
 115774 Thread 32 - PartitionProcessorThre...03-9f73-99122e11ab42-0-18 |  1234000 |   426000 |   486028629 |  16192803258 |         0 |      0 |  1516152205 |      0 |      0 |         0 
 115775 Thread 33 - PartitionProcessorThre...03-9f73-99122e11ab42-0-19 |  1246000 |   445000 |   495592844 |  16495492047 |     13312 |      0 |  1556269073 |      0 |      0 |         0 
 115776 Thread 34 - PartitionProcessorThre...d03-9f73-99122e11ab42-2-0 |  1142000 |   407000 |   455511540 |  15110619661 |         0 |      0 |  1278499995 |      0 |      0 |         0 
 115777 Thread 35 - PartitionProcessorThre...d03-9f73-99122e11ab42-2-1 |  1196000 |   430000 |   479036516 |  15862521504 |         0 |      0 |  1378377050 |      0 |      0 |         0 
 115778 Thread 36 - PartitionProcessorThre...d03-9f73-99122e11ab42-2-2 |  1133000 |   438000 |   462656755 |  15325990594 |  10831872 |      0 |  1410976228 |      0 |      0 |         0 
 115779 Thread 37 - PartitionProcessorThre...d03-9f73-99122e11ab42-2-3 |  1139000 |   418000 |   458059067 |  15189400852 |         0 |      0 |  1345951818 |      0 |      0 |         0 
 115780 Thread 38 - PartitionProcessorThre...d03-9f73-99122e11ab42-2-4 |  1192000 |   422000 |   474679696 |  15744919489 |         0 |      0 |  1533351587 |      0 |      0 |         0 
 115781 Thread 39 - PartitionProcessorThre...d03-9f73-99122e11ab42-2-5 |  1125000 |   401000 |   448960743 |  14887102973 |         0 |      0 |  1545598824 |      0 |      0 |         0 
 115782 Thread 40 - PartitionProcessorThre...d03-9f73-99122e11ab42-2-6 |  1129000 |   363000 |   440109360 |  14555256278 |         0 |      0 |  1429587140 |      0 |      0 |         0 
 115783 Thread 41 - PartitionProcessorThre...d03-9f73-99122e11ab42-2-7 |  1181000 |   395000 |   464307294 |  15374675950 |         0 |      0 |  1609538741 |      0 |      0 |         0 
 115784 Thread 42 - PartitionProcessorThre...d03-9f73-99122e11ab42-2-8 |  1242000 |   425000 |   490675672 |  16262555907 |         0 |      0 |  1340578809 |      0 |      0 |         0 
 115785 Thread 43 - PartitionProcessorThre...d03-9f73-99122e11ab42-2-9 |  1205000 |   420000 |   478074423 |  15852745602 |         0 |      0 |  1337262340 |      0 |      0 |         0 
 115786 Thread 44 - PartitionProcessorThre...03-9f73-99122e11ab42-2-10 |  1143000 |   417000 |   458675594 |  15218495860 |         0 |      0 |  1269957304 |      0 |      0 |         0 
 115787 Thread 45 - PartitionProcessorThre...03-9f73-99122e11ab42-2-11 |  1159000 |   410000 |   462439946 |  15306731762 |         0 |      0 |  1341530648 |      0 |      0 |         0 
 115788 Thread 46 - PartitionProcessorThre...03-9f73-99122e11ab42-2-12 |  1184000 |   442000 |   479147844 |  15862037571 |         0 |      0 |  1367149196 |      0 |      0 |         0 
 115789 Thread 47 - PartitionProcessorThre...03-9f73-99122e11ab42-2-13 |  1157000 |   411000 |   461952848 |  15296351247 |         0 |      0 |  1347748056 |      0 |      0 |         0 
 115790 Thread 48 - PartitionProcessorThre...03-9f73-99122e11ab42-2-14 |  1199000 |   448000 |   484515251 |  16067149282 |         0 |      0 |  1444014735 |      0 |      0 |         0 
 115791 Thread 49 - PartitionProcessorThre...03-9f73-99122e11ab42-2-15 |  1166000 |   370000 |   451887208 |  14984537419 |         0 |      0 |  1519370615 |      0 |      0 |         0 
 115792 Thread 50 - PartitionProcessorThre...03-9f73-99122e11ab42-2-16 |  1182000 |   394000 |   464397653 |  15374329356 |      1024 |      0 |  1422544400 |      0 |      0 |         0 
 115793 Thread 51 - PartitionProcessorThre...03-9f73-99122e11ab42-2-17 |  1103000 |   422000 |   448141118 |  14877144071 |         0 |      0 |  1030910082 |      0 |      0 |         0 
 115794 Thread 52 - PartitionProcessorThre...03-9f73-99122e11ab42-2-18 |  1140000 |   411000 |   456876700 |  15130792766 |         0 |      0 |  1347360982 |      0 |      0 |         0 
 115795 Thread 53 - PartitionProcessorThre...03-9f73-99122e11ab42-2-19 |  1180000 |   391000 |   461873712 |  15325688141 |         0 |      0 |  1242949256 |      0 |      0 |         0 
 115796 Thread 54 - PartitionProcessorThre...d03-9f73-99122e11ab42-1-0 |  1143000 |   390000 |   454142762 |  14955573384 |         0 |      0 |  1612837133 |      0 |      0 |         0 
 115797 Thread 55 - PartitionProcessorThre...d03-9f73-99122e11ab42-1-1 |  1106000 |   370000 |   437516231 |  14399210231 |         0 |      0 |  1324238708 |      0 |      0 |         0 
 115798 Thread 56 - PartitionProcessorThre...d03-9f73-99122e11ab42-1-2 |  1146000 |   366000 |   448192169 |  14750169114 |         0 |      0 |  1406220021 |      0 |      0 |         0 
