                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 105036 Thread 1 - main                                                |   548000 |    88000 |    39130311 |   4826060771 |  21055488 |   1024 |     4501134 |      0 |      0 |         0 
 105058 Thread 2 - Reference Handler                                   |     7000 |        0 |      885136 |     56358230 |         0 |      0 |      767024 |      0 |      0 |         0 
 105059 Thread 3 - Finalizer                                           |     5000 |        0 |      495609 |     38768847 |      5120 |      0 |     1312898 |      0 |      0 |         0 
 105060 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |      556624 |      0 |      0 |         0 
 105061 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        1293 |      0 |      0 |         0 
 105071 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26393000 | 29379000 | 16484457287 | 542803783793 | 585923584 | 135168 | 16981771654 | 108491 |      0 |         0 
 105072 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   194000 |    50000 |    72380233 |   2376771804 |   5949440 |   5120 |    25562943 | 419293 |      0 |         0 
 105075 Thread 14 - PartitionProcessorThre...b10-b318-2c959d644453-1-0 |  1279000 |   391000 |   491763057 |  16281392231 |     58368 |      0 |  1507221087 |      0 |      0 |         0 
 105076 Thread 15 - PartitionProcessorThre...b10-b318-2c959d644453-1-1 |  1213000 |   426000 |   483964065 |  15982184383 |      3072 |      0 |  1398021393 |      0 |      0 |         0 
 105077 Thread 16 - PartitionProcessorThre...b10-b318-2c959d644453-1-2 |  1168000 |   404000 |   465270136 |  15334790723 |         0 |      0 |  1288952922 |      0 |      0 |         0 
 105078 Thread 17 - PartitionProcessorThre...b10-b318-2c959d644453-1-3 |  1177000 |   377000 |   457623605 |  15158190544 |         0 |      0 |  1234598797 |      0 |      0 |         0 
 105079 Thread 18 - PartitionProcessorThre...b10-b318-2c959d644453-1-4 |  1200000 |   424000 |   480329491 |  15839844446 |         0 |      0 |  1392048786 |      0 |      0 |         0 
 105080 Thread 19 - PartitionProcessorThre...b10-b318-2c959d644453-1-5 |  1237000 |   419000 |   491393210 |  16154588297 |         0 |      0 |  1488493186 |      0 |      0 |         0 
 105081 Thread 20 - PartitionProcessorThre...b10-b318-2c959d644453-1-6 |  1137000 |   365000 |   441540425 |  14643814911 |    117760 |      0 |  1396382033 |      0 |      0 |         0 
 105082 Thread 21 - PartitionProcessorThre...b10-b318-2c959d644453-1-7 |  1200000 |   398000 |   472304722 |  15586520786 |         0 |      0 |  1362415918 |      0 |      0 |         0 
 105083 Thread 22 - PartitionProcessorThre...b10-b318-2c959d644453-1-8 |  1190000 |   406000 |   471112234 |  15569218950 |         0 |      0 |  1306702551 |      0 |      0 |         0 
