                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 39829 Thread 1 - main                                                |   546000 |    87000 |    39921069 |   4787251456 |  21055488 |   1024 |    10273613 |      0 |      0 |         0 
 39851 Thread 2 - Reference Handler                                   |     6000 |        0 |      611242 |     46605445 |         0 |      0 |      475653 |      0 |      0 |         0 
 39852 Thread 3 - Finalizer                                           |     8000 |     1000 |      755968 |     68426249 |      5120 |      0 |      745345 |      0 |      0 |         0 
 39853 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        1420 |      0 |      0 |         0 
 39854 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 39863 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28636000 | 31942000 | 19112351764 | 589819092877 | 637478912 | 124928 | 18862424721 | 114545 |      0 |         0 
 39865 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   169000 |    46000 |    67190042 |   2095562785 |   5681152 |   4096 |    77678914 | 457821 |      0 |         0 
 39868 Thread 14 - PartitionProcessorThre...dda-a835-083291a2ac26-0-0 |  1293000 |   478000 |   557975859 |  17272091281 |     33792 |      0 |  1835039500 |      0 |      0 |         0 
 39869 Thread 15 - PartitionProcessorThre...dda-a835-083291a2ac26-0-1 |  1351000 |   457000 |   570242328 |  17638612195 |         0 |      0 |  1655996268 |      0 |      0 |         0 
 39870 Thread 16 - PartitionProcessorThre...dda-a835-083291a2ac26-0-2 |  1280000 |   426000 |   536684414 |  16636419410 |     64512 |      0 |  1704431711 |      0 |      0 |         0 
 39871 Thread 17 - PartitionProcessorThre...dda-a835-083291a2ac26-0-3 |  1261000 |   400000 |   524182961 |  16204302570 |     53248 |      0 |  1682596046 |      0 |      0 |         0 
 39872 Thread 18 - PartitionProcessorThre...dda-a835-083291a2ac26-0-4 |  1270000 |   446000 |   539629543 |  16742446917 |      1024 |      0 |  1513965215 |      0 |      0 |         0 
 39873 Thread 19 - PartitionProcessorThre...dda-a835-083291a2ac26-0-5 |  1365000 |   445000 |   571987461 |  17659070933 |         0 |      0 |  1665843687 |      0 |      0 |         0 
 39874 Thread 20 - PartitionProcessorThre...dda-a835-083291a2ac26-0-6 |  1294000 |   504000 |   568518949 |  17541307312 |      2048 |      0 |  1388714347 |      0 |      0 |         0 
 39875 Thread 21 - PartitionProcessorThre...dda-a835-083291a2ac26-0-7 |  1335000 |   471000 |   570332308 |  17620266757 |         0 |      0 |  1481726921 |      0 |      0 |         0 
 39876 Thread 22 - PartitionProcessorThre...dda-a835-083291a2ac26-0-8 |  1332000 |   428000 |   555656434 |  17172071566 |         0 |      0 |  1306227809 |      0 |      0 |         0 
 39877 Thread 23 - PartitionProcessorThre...dda-a835-083291a2ac26-0-9 |  1320000 |   442000 |   555538703 |  17191085093 |         0 |      0 |  1641197272 |      0 |      0 |         0 
 39878 Thread 24 - PartitionProcessorThre...da-a835-083291a2ac26-0-10 |  1314000 |   452000 |   555680598 |  17226675687 |         0 |      0 |  1495709639 |      0 |      0 |         0 
 39879 Thread 25 - PartitionProcessorThre...da-a835-083291a2ac26-0-11 |  1337000 |   492000 |   576773472 |  17840875593 |      3072 |      0 |  1654728712 |      0 |      0 |         0 
 39880 Thread 26 - PartitionProcessorThre...da-a835-083291a2ac26-0-12 |  1273000 |   461000 |   545859828 |  16919616828 |      1024 |      0 |  1461135047 |      0 |      0 |         0 
 39881 Thread 27 - PartitionProcessorThre...da-a835-083291a2ac26-0-13 |  1292000 |   433000 |   543151637 |  16832307296 |         0 |      0 |  1514172908 |      0 |      0 |         0 
 39882 Thread 28 - PartitionProcessorThre...da-a835-083291a2ac26-0-14 |  1281000 |   433000 |   541322750 |  16724694292 |         0 |      0 |  1671857968 |      0 |      0 |         0 
 39883 Thread 29 - PartitionProcessorThre...da-a835-083291a2ac26-0-15 |  1225000 |   433000 |   523354899 |  16177990886 |     43008 |      0 |  1576641529 |      0 |      0 |         0 
 39884 Thread 30 - PartitionProcessorThre...da-a835-083291a2ac26-0-16 |  1335000 |   437000 |   559411297 |  17290593972 |         0 |      0 |  1353972834 |      0 |      0 |         0 
 39885 Thread 31 - PartitionProcessorThre...da-a835-083291a2ac26-0-17 |  1234000 |   466000 |   536695516 |  16588603175 |         0 |      0 |  1508377626 |      0 |      0 |         0 
 39886 Thread 32 - PartitionProcessorThre...da-a835-083291a2ac26-0-18 |  1312000 |   435000 |   551433875 |  17045897894 |         0 |      0 |  1541332033 |      0 |      0 |         0 
 39887 Thread 33 - PartitionProcessorThre...da-a835-083291a2ac26-0-19 |  1382000 |   452000 |   578931859 |  17896128765 |         0 |      0 |  1404646575 |      0 |      0 |         0 
 39888 Thread 34 - PartitionProcessorThre...dda-a835-083291a2ac26-1-0 |  1262000 |   467000 |   547482691 |  16872293124 |         0 |      0 |  1388755551 |      0 |      0 |         0 
 39889 Thread 35 - PartitionProcessorThre...dda-a835-083291a2ac26-1-1 |  1236000 |   440000 |   530653246 |  16354844328 |         0 |      0 |  1565527845 |      0 |      0 |         0 
 39890 Thread 36 - PartitionProcessorThre...dda-a835-083291a2ac26-1-2 |  1267000 |   461000 |   546236777 |  16861742062 |         0 |      0 |  1522456476 |      0 |      0 |         0 
 39891 Thread 37 - PartitionProcessorThre...dda-a835-083291a2ac26-1-3 |  1336000 |   428000 |   559252273 |  17212684816 |         0 |      0 |  1451156291 |      0 |      0 |         0 
 39892 Thread 38 - PartitionProcessorThre...dda-a835-083291a2ac26-1-4 |  1361000 |   473000 |   581435547 |  17895919023 |         0 |      0 |  1407948199 |      0 |      0 |         0 
 39893 Thread 39 - PartitionProcessorThre...dda-a835-083291a2ac26-1-5 |  1361000 |   437000 |   569185203 |  17544944640 |         0 |      0 |  1531295790 |      0 |      0 |         0 
 39894 Thread 40 - PartitionProcessorThre...dda-a835-083291a2ac26-1-6 |  1226000 |   453000 |   531955551 |  16383459832 |         0 |      0 |  1593005516 |      0 |      0 |         0 
 39895 Thread 41 - PartitionProcessorThre...dda-a835-083291a2ac26-1-7 |  1275000 |   427000 |   539899438 |  16609063945 |         0 |      0 |  1467906899 |      0 |      0 |         0 
 39896 Thread 42 - PartitionProcessorThre...dda-a835-083291a2ac26-1-8 |  1348000 |   423000 |   562041391 |  17281914722 |         0 |      0 |  1429620606 |      0 |      0 |         0 
 39897 Thread 43 - PartitionProcessorThre...dda-a835-083291a2ac26-1-9 |  1328000 |   467000 |   568421988 |  17515140960 |         0 |      0 |  1469494299 |      0 |      0 |         0 
