                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 6720 Thread 1 - main                                                |   766000 |   138000 |    58280662 |   6924367670 |  34339840 |   1024 |     9755293 |      0 |      0 |         0 
 6742 Thread 2 - Reference Handler                                   |     5000 |     1000 |      705734 |     50545718 |         0 |      0 |       83319 |      0 |      0 |         0 
 6743 Thread 3 - Finalizer                                           |     5000 |        0 |      344898 |     37813570 |      5120 |      0 |     1380972 |      0 |      0 |         0 
 6744 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       10029 |      0 |      0 |         0 
 6745 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        5853 |      0 |      0 |         0 
 6754 Thread 12 - RMI Scheduler(0)                                   |     3000 |     1000 |     1000390 |     37095285 |      4096 |      0 |      193811 |      0 |      0 |         0 
 6755 Thread 13 - RMI RenewClean-[10.231.182.152:35603]              |     1000 |        0 |       82503 |      7893261 |      1024 |      0 |           0 |      0 |      0 |         0 
 6756 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 6758 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 23939000 | 33988000 | 17037192736 | 564440152636 | 574179328 | 135168 | 16811188870 | 207658 |      0 |         0 
 6759 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   193000 |    48000 |    69810710 |   2349518585 |   5526528 |   5120 |    20047777 | 233204 |      0 |         0 
 6762 Thread 17 - PartitionProcessorThre...c5a-8278-329f4e5dd89e-2-0 |  1155000 |   444000 |   467976868 |  15585048484 |     34816 |      0 |  1318588851 |      0 |      0 |         0 
 6763 Thread 18 - PartitionProcessorThre...c5a-8278-329f4e5dd89e-2-1 |  1194000 |   406000 |   470765309 |  15607666121 |         0 |      0 |  1059833478 |      0 |      0 |         0 
 6764 Thread 19 - PartitionProcessorThre...c5a-8278-329f4e5dd89e-2-2 |  1141000 |   394000 |   450580548 |  14971122285 |      4096 |      0 |  1133079543 |      0 |      0 |         0 
 6765 Thread 20 - PartitionProcessorThre...c5a-8278-329f4e5dd89e-2-3 |  1171000 |   438000 |   470965911 |  15690451140 |      1024 |      0 |   919757995 |      0 |      0 |         0 
 6766 Thread 21 - PartitionProcessorThre...c5a-8278-329f4e5dd89e-2-4 |  1221000 |   465000 |   493913317 |  16445393007 |         0 |      0 |  1124435274 |      0 |      0 |         0 
 6767 Thread 22 - PartitionProcessorThre...c5a-8278-329f4e5dd89e-2-5 |  1192000 |   404000 |   466847969 |  15562521089 |      2048 |      0 |  1115516901 |      0 |      0 |         0 
 6768 Thread 23 - PartitionProcessorThre...c5a-8278-329f4e5dd89e-2-6 |  1208000 |   441000 |   482998165 |  16085279316 |         0 |      0 |  1178914036 |      0 |      0 |         0 
 6769 Thread 24 - PartitionProcessorThre...c5a-8278-329f4e5dd89e-2-7 |  1130000 |   436000 |   460046466 |  15277674210 |         0 |      0 |   944390074 |      0 |      0 |         0 
